ID,Value
AFG,211.1
AGO,118.5
ALB,68
AND,
ARE,54.7
ARG,26.6
ARM,54.8
ATG,29.9
AUS,8.4
AUT,15.3
AZE,63.9
BDI,179.9
BEL,15.7
BEN,205
BFA,205
BGD,149
BGR,61.8
BHR,40.1
BHS,19.9
BIH,79.8
BLR,60.7
BLZ,68.6
BOL,63.7
BRA,29.9
BRB,31.1
BRN,13.3
BTN,124.5
BWA,101.3
CAF,211.9
CAN,7
CHE,10.1
CHL,25.3
CHN,112.7
CIV,269.1
CMR,208.1
COD,163.9
COG,130.7
COL,37
COM,172.4
CPV,99.5
CRI,23.3
CUB,49.5
CYP,20.1
CZE,29.6
DEU,16
DJI,159
DMA,
DNK,13.2
DOM,43
DZA,49.7
ECU,24.5
EGY,108.9
ERI,173.7
ESP,9.9
EST,25
ETH,144.4
FIN,7.2
FJI,99
FRA,9.7
FSM,151.8
GAB,76
GBR,13.8
GEO,101.8
GHA,203.8
GIN,243.3
GMB,237
GNB,214.7
GNQ,177.7
GRC,27.6
GRD,45.3
GTM,73.8
GUY,107.8
HND,60.7
HRV,35.5
HTI,184.3
HUN,38.8
IDN,112.4
IND,184.3
IRL,11.9
IRN,50.9
IRQ,75.1
ISL,8.7
ISR,15.4
ITA,15
JAM,25.4
JOR,51.2
JPN,11.9
KAZ,62.7
KEN,78.1
KGZ,110.7
KHM,149.8
KIR,140.2
KNA,
KOR,20.5
KWT,103.8
LAO,188.5
LBN,51.4
LBR,170.2
LBY,71.9
LCA,30
LIE,
LKA,79.8
LSO,177.6
LTU,34
LUX,11.6
LVA,41.3
MAR,49.1
MCO,
MDA,78.3
MDG,159.6
MDV,25.6
MEX,78.70659482
MHL,36.7
MKD,82.2
MLI,209.1
MLT,20.2
MMR,156.4
MNE,78.6
MNG,155.9
MOZ,110
MRT,169.5
MUS,38.3
MWI,115
MYS,47.4
NAM,145
NER,251.8
NGA,307.4
NIC,55.7
NIU,
NLD,13.7
NOR,8.6
NPL,193.8
NRU,
NZL,7.2
OMN,53.9
PAK,173.6
PAN,25.8
PER,63.9
PHL,185.2
PLW,
PNG,152
POL,37.9
PRK,207.2
PRT,9.8
PRY,57.5
PSE,
QAT,47.4
ROU,59.3
RUS,49.4
RWA,121.4
SAU,83.7
SDN,184.9
SEN,160.7
SGP,25.9
SLB,137
SLE,324.1
SLV,41.9
SMR,
SOM,212.8
SRB,62.5
SSD,165.1
STP,162.4
SUR,56.7
SVK,33.5
SVN,22.6
SWE,7.2
SWZ,137
SYC,49.3
SYR,75.2
TCD,280.1
TGO,249.6
THA,61.5
TJK,129.3
TKM,79.3
TLS,139.8
TON,73.3
TTO,38.6
TUN,56.1
TUR,46.6
TUV,
TWN,
TZA,139
UGA,155.7
UKR,70.7
URY,17.5
USA,13.3
UZB,81.1
VCT,47.6
VEN,34.6
VNM,64.5
VUT,135.6
WSM,85
XKX,
YEM,194.2
ZAF,86.7
ZMB,127.2
ZWE,133
VAT,
