ID,Value
AFG,2.138151191
AGO,10.27592954
ALB,20.55974625
AND,
ARE,11.29240738
ARG,13.4179133
ARM,23.12123933
ATG,23.18482167
AUS,29.60538594
AUT,12.02454778
AZE,
BDI,
BEL,
BEN,3.371190029
BFA,2.860797672
BGD,8.577993729
BGR,50.86830819
BHR,
BHS,26.07362939
BIH,28.32479273
BLR,0.783213971
BLZ,19.84798776
BOL,13.26289615
BRA,19.22038191
BRB,
BRN,18.18225896
BTN,17.02658507
BWA,7.697480125
CAF,0.680129708
CAN,21.47889537
CHE,40.73973883
CHL,15.19469401
CHN,
CIV,5.248176169
CMR,
COD,
COG,
COL,15.30683941
COM,3.060031702
CPV,31.20517534
CRI,20.73466266
CUB,
CYP,50.4570697
CZE,21.28750601
DEU,12.89184097
DJI,7.278351453
DMA,15.54833806
DNK,20.69120342
DOM,12.6503859
DZA,5.23304577
ECU,9.2626603
EGY,
ERI,
ESP,58.58787517
EST,10.08936978
ETH,
FIN,1.432575205
FJI,11.57934554
FRA,35.86318708
FSM,14.16611183
GAB,
GBR,
GEO,33.18839969
GHA,8.597382706
GIN,2.533004987
GMB,7.401557113
GNB,3.030528442
GNQ,
GRC,22.84723317
GRD,25.18162245
GTM,32.5166336
GUY,8.328836968
HND,19.57929773
HRV,32.50285545
HTI,2.635710921
HUN,14.64066708
IDN,16.8949762
IND,14.7209341
IRL,20.73139942
IRN,28.20635498
IRQ,3.997867979
ISL,34.8349693
ISR,17.86814748
ITA,44.62406568
JAM,6.626602586
JOR,14.68624492
JPN,34.02622819
KAZ,2.807682558
KEN,
KGZ,8.138751812
KHM,7.518774434
KIR,
KNA,31.74747154
KOR,15.44957603
KWT,14.24598309
LAO,3.128486959
LBN,23.81364646
LBR,
LBY,11.79152325
LCA,15.85419654
LIE,
LKA,
LSO,
LTU,13.61808542
LUX,71.07475306
LVA,16.44578837
MAR,24.5476659
MCO,
MDA,26.91387173
MDG,2.318711078
MDV,15.56015045
MEX,15.56015045
MHL,
MKD,25.64140978
MLI,5.146256825
MLT,32.39898561
MMR,4.704143075
MNE,43.55548986
MNG,
MOZ,4.139167606
MRT,8.322967285
MUS,18.60316337
MWI,
MYS,10.05629772
NAM,
NER,1.561325208
NGA,4.435412905
NIC,11.21829302
NIU,
NLD,11.8569245
NOR,5.502632822
NPL,11.36685941
NRU,
NZL,27.29862991
OMN,14.78631295
PAK,10.63133069
PAN,22.27773923
PER,7.548093946
PHL,9.049094541
PLW,
PNG,
POL,29.29015704
PRK,
PRT,30.23557894
PRY,10.2519292
PSE,12.43443065
QAT,9.459031395
ROU,26.62547696
RUS,29.22320587
RWA,6.061599534
SAU,8.535704723
SDN,3.339359049
SEN,5.566854331
SGP,8.487998358
SLB,4.279413613
SLE,
SLV,14.83233631
SMR,189.926843
SOM,
SRB,28.22656542
SSD,1.254261763
STP,24.83004264
SUR,
SVK,26.91227486
SVN,29.47346244
SWE,16.16405802
SWZ,5.23968655
SYC,52.32859342
SYR,
TCD,1.003079327
TGO,5.510077295
THA,11.88488369
TJK,
TKM,
TLS,5.334814314
TON,28.85378345
TTO,12.2439473
TUN,
TUR,17.38806766
TUV,
TWN,
TZA,
UGA,2.578918935
UKR,0.453999805
URY,10.9572495
USA,31.46160709
UZB,38.23990564
VCT,14.3285293
VEN,
VNM,3.413218239
VUT,
WSM,22.47714155
XKX,16.73945045
YEM,
ZAF,10.42760142
ZMB,4.513118236
ZWE,4.424425463
VAT,
