ID,Value
AFG,
AGO,-0.06
ALB,
AND,
ARE,
ARG,2
ARM,
ATG,
AUS,
AUT,
AZE,
BDI,0.311
BEL,
BEN,
BFA,
BGD,
BGR,
BHR,
BHS,
BIH,
BLR,
BLZ,
BOL,1.3
BRA,1.8
BRB,
BRN,
BTN,
BWA,
CAF,
CAN,
CHE,
CHL,0.41
CHN,
CIV,
CMR,
COD,
COG,
COL,-0.55
COM,
CPV,0.57
CRI,-0.04
CUB,
CYP,
CZE,
DEU,
DJI,
DMA,
DNK,
DOM,-0.84
DZA,
ECU,
EGY,
ERI,
ESP,
EST,
ETH,0.2
FIN,
FJI,
FRA,
FSM,
GAB,
GBR,
GEO,
GHA,-0.91
GIN,
GMB,
GNB,
GNQ,
GRC,
GRD,
GTM,-0.48
GUY,
HND,-0.6
HRV,
HTI,0.6
HUN,
IDN,
IND,
IRL,
IRN,
IRQ,
ISL,
ISR,0.12
ITA,-0.03
JAM,
JOR,
JPN,
KAZ,
KEN,0.19
KGZ,
KHM,
KIR,
KNA,
KOR,
KWT,
LAO,
LBN,
LBR,
LBY,
LCA,
LIE,
LKA,
LSO,
LTU,
LUX,
LVA,
MAR,0.51
MCO,
MDA,
MDG,
MDV,
MEX,0.6
MHL,
MKD,
MLI,
MLT,
MMR,
MNE,
MNG,
MOZ,1.8
MRT,
MUS,
MWI,0.7
MYS,
NAM,0.4
NER,0.12
NGA,18.9
NIC,-0.15
NIU,
NLD,
NOR,
NPL,
NRU,
NZL,
OMN,
PAK,
PAN,0.03
PER,0.8
PHL,
PLW,
PNG,
POL,
PRK,
PRT,
PRY,
PSE,
QAT,
ROU,
RUS,
RWA,1
SAU,
SDN,
SEN,
SGP,
SLB,
SLE,
SLV,-0.53
SMR,
SOM,0.04
SRB,
SSD,
STP,-0.89
SUR,
SVK,
SVN,
SWE,
SWZ,2.9
SYC,
SYR,
TCD,-0.38
TGO,0.01
THA,
TJK,
TKM,
TLS,
TON,
TTO,
TUN,
TUR,
TUV,
TWN,
TZA,0.14
UGA,0.9
UKR,
URY,
USA,
UZB,
VCT,
VEN,
VNM,
VUT,
WSM,
XKX,
YEM,
ZAF,0.39
ZMB,0.5
ZWE,0.31
VAT,
