ID,Value
AFG,0.16
AGO,0.21
ALB,0.18
AND,
ARE,0.36
ARG,0.25
ARM,0.24
ATG,0.28
AUS,0.35
AUT,0.15
AZE,0.23
BDI,0.06
BEL,0.2
BEN,0.31
BFA,0.1
BGD,0.15
BGR,0.36
BHR,0.54
BHS,0.22
BIH,0.59
BLR,0.37
BLZ,0.18
BOL,0.31
BRA,0.17
BRB,0.27
BRN,0.29
BTN,0.17
BWA,0.2
CAF,0.11
CAN,0.35
CHE,0.07
CHL,0.21
CHN,0.59
CIV,0.16
CMR,0.1
COD,0.08
COG,0.12
COL,0.14
COM,0.14
CPV,0.16
CRI,0.11
CUB,
CYP,0.24
CZE,0.32
DEU,0.28
DJI,0.2
DMA,0.18
DNK,0.13
DOM,0.16
DZA,0.28
ECU,0.25
EGY,0.22
ERI,0.09
ESP,0.16
EST,0.55
ETH,0.08
FIN,0.22
FJI,0.16
FRA,0.12
FSM,0.46
GAB,0.17
GBR,0.17
GEO,0.28
GHA,0.14
GIN,0.12
GMB,0.17
GNB,0.11
GNQ,0.15
GRC,0.26
GRD,0.19
GTM,0.16
GUY,0.38
HND,0.25
HRV,0.2
HTI,0.16
HUN,0.18
IDN,0.18
IND,0.32
IRL,0.15
IRN,0.49
IRQ,0.32
ISL,0.14
ISR,0.25
ITA,0.15
JAM,0.32
JOR,0.35
JPN,0.26
KAZ,0.61
KEN,0.11
KGZ,0.52
KHM,0.14
KIR,0.31
KNA,0.18
KOR,0.35
KWT,0.36
LAO,0.06
LBN,0.31
LBR,0.27
LBY,0.56
LCA,0.19
LIE,
LKA,0.08
LSO,0.43
LTU,0.17
LUX,0.18
LVA,0.16
MAR,0.24
MCO,
MDA,0.29
MDG,0.1
MDV,0.24
MEX,0.23
MHL,0.53
MKD,0.29
MLI,0.04
MLT,0.17
MMR,0.09
MNE,0.24
MNG,0.63
MOZ,0.29
MRT,0.18
MUS,0.18
MWI,0.07
MYS,0.33
NAM,0.17
NER,0.12
NGA,0.1
NIC,0.17
NIU,
NLD,0.22
NOR,0.15
NPL,0.13
NRU,0.32
NZL,0.22
OMN,0.38
PAK,0.2
PAN,0.11
PER,0.17
PHL,0.16
PLW,0.96
PNG,0.22
POL,0.16
PRK,0.35
PRT,0.17
PRY,0.1
PSE,0.13
QAT,0.38
ROU,0.18
RUS,0.46
RWA,0.04
SAU,0.39
SDN,0.1
SEN,0.27
SGP,0.13
SLB,0.16
SLE,0.11
SLV,0.14
SMR,
SOM,
SRB,0.4
SSD,0.07
STP,0.2
SUR,0.24
SVK,0.21
SVN,0.22
SWE,0.1
SWZ,0.12
SYC,0.22
SYR,0.4
TCD,0.03
TGO,0.28
THA,0.31
TJK,0.24
TKM,0.87
TLS,0.06
TON,0.23
TTO,1.1
TUN,0.24
TUR,0.2
TUV,0.32
TWN,
TZA,0.1
UGA,0.08
UKR,0.64
URY,0.1
USA,0.32
UZB,0.64
VCT,0.19
VEN,0.36
VNM,0.34
VUT,0.21
WSM,
XKX,
YEM,0.23
ZAF,0.72
ZMB,0.08
ZWE,0.41
VAT,
