ID,Value
AFG,0.07511
AGO,0.15075
ALB,0.98599
AND,
ARE,5.65437
ARG,1.05896
ARM,0.2504
ATG,1.32995
AUS,12.29401
AUT,6.16881
AZE,0.76264
BDI,0.02034
BEL,3.59274
BEN,0.03943
BFA,0.03756
BGD,0.16152
BGR,2.76331
BHR,4.46946
BHS,1.9609
BIH,2.42757
BLR,0.00739
BLZ,0.67192
BOL,0.21075
BRA,1.24504
BRB,1.44997
BRN,1.91107
BTN,0.46584
BWA,2.23711
CAF,0.02362
CAN,7.6925
CHE,4.40186
CHL,2.10194
CHN,2.69368
CIV,0.09557
CMR,0.07215
COD,0.03028
COG,0.14928
COL,3.03039
COM,
CPV,0.33109
CRI,0.57039
CUB,0.59484
CYP,2.41242
CZE,
DEU,5.64298
DJI,0.15494
DMA,
DNK,4.29798
DOM,0.32144
DZA,0.2454
ECU,1.56177
EGY,0.38428
ERI,0.02036
ESP,5.44867
EST,12.74551
ETH,
FIN,10.71251
FJI,0.51544
FRA,4.66296
FSM,
GAB,0.51561
GBR,3.82969
GEO,1.20052
GHA,0.19899
GIN,0.03398
GMB,0.04801
GNB,
GNQ,
GRC,9.68693
GRD,
GTM,0.17229
GUY,20.70735
HND,0.16471
HRV,1.96582
HTI,0.03674
HUN,4.04995
IDN,0.91508
IND,0.57116
IRL,2.52078
IRN,3.6944
IRQ,0.56933
ISL,4.60104
ISR,2.42565
ITA,4.23034
JAM,0.4309
JOR,0.43466
JPN,6.66666
KAZ,4.83682
KEN,0.12755
KGZ,1.78246
KHM,0.11297
KIR,
KNA,
KOR,7.67088
KWT,14.03785
LAO,0.22656
LBN,0.83478
LBR,0.02282
LBY,0.31008
LCA,
LIE,
LKA,0.26596
LSO,0.26932
LTU,9.58306
LUX,13.42016
LVA,3.87727
MAR,0.18053
MCO,
MDA,0.01114
MDG,0.04303
MDV,0.87945
MEX,1.16345
MHL,
MKD,
MLI,0.03092
MLT,3.12753
MMR,0.00998
MNE,3.48708
MNG,2.92108
MOZ,0.38217
MRT,0.15125
MUS,1.81733
MWI,0.04781
MYS,3.6001
NAM,0.98747
NER,0.06419
NGA,0.08671
NIC,0.10561
NIU,
NLD,4.31542
NOR,11.23165
NPL,0.06214
NRU,
NZL,3.76882
OMN,1.59246
PAK,0.15995
PAN,0.73717
PER,0.87313
PHL,0.37683
PLW,
PNG,0.13686
POL,3.41733
PRK,0.08545
PRT,3.28584
PRY,0.36197
PSE,
QAT,2.03563
ROU,4.47206
RUS,1.1791
RWA,0.04776
SAU,1.70752
SDN,
SEN,0.07249
SGP,15.71745
SLB,
SLE,0.04235
SLV,0.29142
SMR,
SOM,0.00387
SRB,
SSD,0.30621
STP,0.34311
SUR,1.93558
SVK,16.17617
SVN,5.0662
SWE,4.5717
SWZ,1.23183
SYC,2.44776
SYR,0.17716
TCD,0.26391
TGO,0.04533
THA,2.11697
TJK,0.23345
TKM,1.11919
TLS,
TON,
TTO,0.90487
TUN,0.46462
TUR,2.97622
TUV,
TWN,
TZA,0.04461
UGA,0.04156
UKR,1.84071
URY,1.12949
USA,8.45423
UZB,0.84169
VCT,
VEN,0.6649
VNM,0.52227
VUT,0.3901
WSM,0.40094
XKX,
YEM,0.09002
ZAF,1.83196
ZMB,0.11526
ZWE,0.06767
VAT,
