ID,Value
AFG,
AGO,
ALB,95.91
AND,
ARE,
ARG,
ARM,105.23
ATG,
AUS,
AUT,
AZE,109.14
BDI,
BEL,
BEN,
BFA,95.82
BGD,80.8
BGR,
BHR,
BHS,
BIH,
BLR,
BLZ,
BOL,
BRA,
BRB,
BRN,
BTN,
BWA,
CAF,
CAN,
CHE,
CHL,
CHN,
CIV,97.35
CMR,92.81
COD,
COG,
COL,
COM,
CPV,82.55
CRI,
CUB,
CYP,
CZE,
DEU,
DJI,
DMA,
DNK,
DOM,
DZA,
ECU,
EGY,
ERI,
ESP,
EST,
ETH,
FIN,
FJI,
FRA,
FSM,
GAB,
GBR,
GEO,
GHA,
GIN,
GMB,
GNB,98.44
GNQ,
GRC,
GRD,
GTM,
GUY,
HND,
HRV,
HTI,
HUN,
IDN,88.95
IND,100.75
IRL,
IRN,
IRQ,
ISL,
ISR,
ITA,
JAM,
JOR,
JPN,
KAZ,111.01
KEN,
KGZ,93.09
KHM,
KIR,
KNA,
KOR,
KWT,
LAO,
LBN,
LBR,
LBY,
LCA,
LIE,
LKA,90.53
LSO,131.33
LTU,
LUX,
LVA,
MAR,
MCO,
MDA,91.76
MDG,118.49
MDV,
MEX,
MHL,
MKD,95.53
MLI,84.52
MLT,
MMR,
MNE,100.52
MNG,
MOZ,
MRT,97.96
MUS,
MWI,96.14
MYS,
NAM,
NER,69.91
NGA,
NIC,
NIU,
NLD,
NOR,
NPL,
NRU,
NZL,
OMN,
PAK,
PAN,
PER,
PHL,84.93
PLW,
PNG,
POL,97.91
PRK,
PRT,
PRY,
PSE,
QAT,
ROU,96.1
RUS,101.97
RWA,99.74
SAU,
SDN,
SEN,
SGP,
SLB,
SLE,
SLV,
SMR,
SOM,68.63
SRB,93.81
SSD,
STP,
SUR,
SVK,
SVN,
SWE,
SWZ,
SYC,
SYR,
TCD,57.64
TGO,
THA,
TJK,115.44
TKM,86.54
TLS,83.5
TON,
TTO,
TUN,
TUR,102.38
TUV,
TWN,
TZA,86.87
UGA,100.07
UKR,
URY,
USA,
UZB,95.76
VCT,
VEN,
VNM,
VUT,
WSM,
XKX,
YEM,
ZAF,
ZMB,
ZWE,
VAT,
