ID,Value
AFG,100
AGO,100
ALB,79.06977
AND,
ARE,
ARG,82.6087
ARM,100
ATG,100
AUS,93.65079
AUT,0
AZE,100
BDI,42.85714
BEL,35.13514
BEN,100
BFA,100
BGD,100
BGR,4.05405
BHR,100
BHS,100
BIH,100
BLR,100
BLZ,100
BOL,88.46154
BRA,100
BRB,100
BRN,
BTN,8
BWA,55.55556
CAF,100
CAN,52.94118
CHE,11.53846
CHL,97.91667
CHN,99.17628
CIV,100
CMR,100
COD,100
COG,100
COL,100
COM,100
CPV,
CRI,100
CUB,100
CYP,88.23529
CZE,8.57143
DEU,5.17598
DJI,100
DMA,100
DNK,7.69231
DOM,100
DZA,100
ECU,100
EGY,100
ERI,100
ESP,26.41509
EST,90.90909
ETH,100
FIN,16.21622
FJI,100
FRA,70.19608
FSM,
GAB,100
GBR,71.98582
GEO,100
GHA,100
GIN,100
GMB,100
GNB,
GNQ,
GRC,14.28571
GRD,100
GTM,100
GUY,100
HND,100
HRV,5.26316
HTI,100
HUN,55.91398
IDN,70.70064
IND,99.55157
IRL,52.63158
IRN,100
IRQ,100
ISL,0
ISR,100
ITA,27.7551
JAM,100
JOR,100
JPN,100
KAZ,100
KEN,92.59259
KGZ,100
KHM,100
KIR,100
KNA,100
KOR,47.82609
KWT,
LAO,100
LBN,100
LBR,
LBY,100
LCA,100
LIE,
LKA,54.54545
LSO,100
LTU,65
LUX,0
LVA,18.18182
MAR,100
MCO,100
MDA,100
MDG,100
MDV,100
MEX,83.78378
MHL,
MKD,100
MLI,100
MLT,100
MMR,100
MNE,15.38462
MNG,97.56098
MOZ,100
MRT,100
MUS,80
MWI,69.23077
MYS,75
NAM,20
NER,45.83333
NGA,100
NIC,100
NIU,100
NLD,6.48148
NOR,6
NPL,100
NRU,
NZL,100
OMN,100
PAK,100
PAN,80
PER,85.29412
PHL,100
PLW,
PNG,100
POL,7.03125
PRK,100
PRT,2
PRY,83.33333
PSE,
QAT,
ROU,100
RUS,100
RWA,100
SAU,100
SDN,
SEN,50
SGP,
SLB,100
SLE,
SLV,100
SMR,
SOM,100
SRB,35.71429
SSD,
STP,100
SUR,100
SVK,33.33333
SVN,52.38095
SWE,11.32075
SWZ,100
SYC,100
SYR,100
TCD,100
TGO,100
THA,73.68421
TJK,100
TKM,100
TLS,
TON,100
TTO,100
TUN,87.5
TUR,66.26506
TUV,100
TWN,
TZA,43.75
UGA,100
UKR,53.84615
URY,89.28571
USA,36.95652
UZB,100
VCT,
VEN,100
VNM,55.55556
VUT,100
WSM,100
XKX,100
YEM,91.17647
ZAF,100
ZMB,85.71429
ZWE,
VAT,
