ID,Value
AFG,
AGO,
ALB,
AND,
ARE,
ARG,
ARM,
ATG,
AUS,369.76367
AUT,46.92856
AZE,
BDI,
BEL,188.79204
BEN,
BFA,
BGD,
BGR,
BHR,
BHS,
BIH,
BLR,
BLZ,
BOL,
BRA,
BRB,
BRN,
BTN,
BWA,
CAF,
CAN,377.14469
CHE,372.32278
CHL,
CHN,
CIV,
CMR,
COD,
COG,
COL,
COM,
CPV,
CRI,
CUB,
CYP,
CZE,5.93923
DEU,4457.3204
DJI,
DMA,
DNK,246.62223
DOM,
DZA,
ECU,
EGY,
ERI,
ESP,77.26093
EST,
ETH,
FIN,123.36636
FJI,
FRA,1879.6583
FSM,
GAB,
GBR,1865.12749
GEO,
GHA,
GIN,
GMB,
GNB,
GNQ,
GRC,0.00094
GRD,
GTM,
GUY,
HND,
HRV,
HTI,
HUN,3.70478
IDN,
IND,
IRL,39.28077
IRN,
IRQ,
ISL,7.68115
ISR,
ITA,95.91239
JAM,
JOR,
JPN,6528.26148
KAZ,
KEN,
KGZ,
KHM,
KIR,
KNA,
KOR,562.86208
KWT,
LAO,
LBN,
LBR,
LBY,
LCA,
LIE,
LKA,
LSO,
LTU,
LUX,37.10833
LVA,
MAR,
MCO,
MDA,
MDG,
MDV,
MEX,
MHL,
MKD,
MLI,
MLT,
MMR,
MNE,
MNG,
MOZ,
MRT,
MUS,
MWI,
MYS,
NAM,
NER,
NGA,
NIC,
NIU,
NLD,597.34754
NOR,383.22855
NPL,
NRU,
NZL,100.05115
OMN,
PAK,
PAN,
PER,
PHL,
PLW,
PNG,
POL,75.45024
PRK,
PRT,4.90569
PRY,
PSE,
QAT,
ROU,
RUS,
RWA,
SAU,
SDN,
SEN,
SGP,
SLB,
SLE,
SLV,
SMR,
SOM,
SRB,
SSD,
STP,
SUR,
SVK,1.05163
SVN,1.6207
SWE,327.2047
SWZ,
SYC,
SYR,
TCD,
TGO,
THA,
TJK,
TKM,
TLS,
TON,
TTO,
TUN,
TUR,
TUV,
TWN,
TZA,
UGA,
UKR,
URY,
USA,2702.11976
UZB,
VCT,
VEN,
VNM,
VUT,
WSM,
XKX,
YEM,
ZAF,
ZMB,
ZWE,
VAT,
