ID,Value
AFG,
AGO,
ALB,
AND,
ARE,
ARG,
ARM,
ATG,
AUS,268.28492
AUT,19.67959
AZE,
BDI,
BEL,130.80301
BEN,
BFA,
BGD,
BGR,
BHR,
BHS,
BIH,
BLR,
BLZ,
BOL,
BRA,
BRB,
BRN,
BTN,
BWA,
CAF,
CAN,22.94357
CHE,119.81321
CHL,
CHN,
CIV,
CMR,
COD,
COG,
COL,
COM,
CPV,
CRI,
CUB,
CYP,
CZE,3.62092
DEU,1111.23458
DJI,
DMA,
DNK,37.40033
DOM,
DZA,
ECU,
EGY,
ERI,
ESP,30.47376
EST,
ETH,
FIN,5.97146
FJI,
FRA,1904.93936
FSM,
GAB,
GBR,296.81052
GEO,
GHA,
GIN,
GMB,
GNB,
GNQ,
GRC,0.9568
GRD,
GTM,
GUY,
HND,
HRV,
HTI,
HUN,
IDN,
IND,
IRL,43.38769
IRN,
IRQ,
ISL,3.96322
ISR,
ITA,48.61805
JAM,
JOR,
JPN,677.45877
KAZ,
KEN,
KGZ,
KHM,
KIR,
KNA,
KOR,25.18087
KWT,
LAO,
LBN,
LBR,
LBY,
LCA,
LIE,
LKA,
LSO,
LTU,
LUX,8.97926
LVA,
MAR,
MCO,
MDA,
MDG,
MDV,
MEX,
MHL,
MKD,
MLI,
MLT,
MMR,
MNE,
MNG,
MOZ,
MRT,
MUS,
MWI,
MYS,
NAM,
NER,
NGA,
NIC,
NIU,
NLD,89.57559
NOR,420.82748
NPL,
NRU,
NZL,7.3037
OMN,
PAK,
PAN,
PER,
PHL,
PLW,
PNG,
POL,0.60903
PRK,
PRT,1.09724
PRY,
PSE,
QAT,
ROU,
RUS,
RWA,
SAU,
SDN,
SEN,
SGP,
SLB,
SLE,
SLV,
SMR,
SOM,
SRB,
SSD,
STP,
SUR,
SVK,0.08343
SVN,0.36019
SWE,234.94656
SWZ,
SYC,
SYR,
TCD,
TGO,
THA,
TJK,
TKM,
TLS,
TON,
TTO,
TUN,
TUR,
TUV,
TWN,
TZA,
UGA,
UKR,
URY,
USA,790.67005
UZB,
VCT,
VEN,
VNM,
VUT,
WSM,
XKX,
YEM,
ZAF,
ZMB,
ZWE,
VAT,
