ID,Value
AFG,0.02925
AGO,0.339
ALB,0.68876
AND,
ARE,3.76553
ARG,1.26448
ARM,2.82428
ATG,1.43235
AUS,13.07463
AUT,2.50207
AZE,0.48914
BDI,0.04716
BEL,2.28794
BEN,0.05105
BFA,0.80077
BGD,0.04094
BGR,1.66731
BHR,0.79586
BHS,1.23192
BIH,0.77557
BLR,0.01291
BLZ,0.80714
BOL,0.79928
BRA,0.98317
BRB,1.38985
BRN,1.65349
BTN,0.53543
BWA,4.99491
CAF,0.03332
CAN,5.90236
CHE,
CHL,2.56816
CHN,8.17468
CIV,2.27329
CMR,0.15416
COD,0.04034
COG,0.31909
COL,0.87014
COM,
CPV,0.38786
CRI,0.84812
CUB,2.29229
CYP,1.27285
CZE,
DEU,1.7258
DJI,0.19573
DMA,
DNK,2.22123
DOM,1.56859
DZA,0.1669
ECU,0.50189
EGY,0.12724
ERI,5.16619
ESP,1.68208
EST,1.47085
ETH,
FIN,2.84321
FJI,1.73801
FRA,1.47274
FSM,
GAB,0.37015
GBR,1.8099
GEO,0.69581
GHA,0.71069
GIN,0.05874
GMB,0.05811
GNB,
GNQ,
GRC,1.38962
GRD,
GTM,0.53409
GUY,23.73422
HND,0.3215
HRV,0.89623
HTI,0.04075
HUN,0.88352
IDN,0.68651
IND,0.14774
IRL,2.29777
IRN,1.57758
IRQ,0.18368
ISL,3.15636
ISR,1.47493
ITA,1.58548
JAM,2.61589
JOR,0.29169
JPN,3.40983
KAZ,3.39127
KEN,0.07059
KGZ,0.47142
KHM,0.09668
KIR,
KNA,
KOR,3.00118
KWT,2.123
LAO,4.74362
LBN,0.56208
LBR,0.49629
LBY,0.23567
LCA,
LIE,
LKA,0.15107
LSO,0.33661
LTU,2.40164
LUX,10.52744
LVA,1.15752
MAR,0.15563
MCO,
MDA,0.01899
MDG,0.04586
MDV,0.88917
MEX,2.00252
MHL,
MKD,
MLI,0.62137
MLT,1.66399
MMR,0.00745
MNE,3.40717
MNG,2.08074
MOZ,0.06321
MRT,0.36942
MUS,1.16952
MWI,0.05923
MYS,2.31677
NAM,1.91935
NER,0.11633
NGA,0.06624
NIC,0.54166
NIU,
NLD,2.52582
NOR,3.25125
NPL,0.05316
NRU,
NZL,3.85507
OMN,1.04281
PAK,0.0561
PAN,0.72591
PER,3.94779
PHL,0.22189
PLW,
PNG,0.56634
POL,3.02317
PRK,0.0259
PRT,1.15849
PRY,0.41315
PSE,
QAT,0.89303
ROU,0.71638
RUS,0.61519
RWA,0.09893
SAU,1.16278
SDN,
SEN,0.13977
SGP,10.34515
SLB,
SLE,3.33448
SLV,0.50141
SMR,
SOM,0.00645
SRB,
SSD,1.47775
STP,0.52896
SUR,3.83701
SVK,1.59501
SVN,1.64951
SWE,4.33689
SWZ,1.25369
SYC,2.87204
SYR,0.14473
TCD,0.01435
TGO,0.40924
THA,0.9593
TJK,0.66263
TKM,1.53904
TLS,
TON,
TTO,0.76482
TUN,0.32154
TUR,0.7468
TUV,
TWN,
TZA,0.09977
UGA,0.03917
UKR,0.44051
URY,1.20061
USA,3.15507
UZB,0.53716
VCT,
VEN,0.70746
VNM,0.18341
VUT,0.67887
WSM,0.70084
XKX,
YEM,0.06712
ZAF,1.22812
ZMB,1.11762
ZWE,0.07658
VAT,
