ID,Value
AFG,
AGO,
ALB,64.81757324
AND,100
ARE,93.3700962
ARG,26.48400149
ARM,
ATG,
AUS,74.2136
AUT,96.78061695
AZE,
BDI,
BEL,97.10018652
BEN,
BFA,
BGD,
BGR,48.85509375
BHR,
BHS,
BIH,23.07979339
BLR,76.22970018
BLZ,
BOL,19.01061887
BRA,38.64487264
BRB,
BRN,
BTN,
BWA,
CAF,
CAN,76.7839879
CHE,98.98724167
CHL,85.47656279
CHN,59.69173687
CIV,
CMR,
COD,
COG,
COL,19.60973244
COM,
CPV,
CRI,
CUB,30.85394609
CYP,75.59955043
CZE,81.93361692
DEU,95.48038987
DJI,
DMA,
DNK,93.2051694
DOM,
DZA,19.14422288
ECU,42.36644902
EGY,60.60629074
ERI,
ESP,97.45063758
EST,92.90369376
ETH,
FIN,91.60358915
FJI,
FRA,92.09801428
FSM,
GAB,
GBR,97.64620418
GEO,
GHA,
GIN,
GMB,
GNB,
GNQ,
GRC,75.24714267
GRD,
GTM,
GUY,
HND,
HRV,60.12734551
HTI,
HUN,
IDN,
IND,
IRL,70.26708572
IRN,
IRQ,31.93731548
ISL,68.89795358
ISR,93.280418
ITA,95.42635352
JAM,
JOR,77.26198348
JPN,99.79829351
KAZ,
KEN,
KGZ,
KHM,
KIR,
KNA,
KOR,98.46265895
KWT,100
LAO,
LBN,20.06987826
LBR,
LBY,26.25254361
LCA,
LIE,99.325
LKA,
LSO,
LTU,61.20204847
LUX,93.68638714
LVA,78.37601207
MAR,38.079425
MCO,100
MDA,
MDG,
MDV,
MEX,45.16062823
MHL,
MKD,
MLI,
MLT,93.03070267
MMR,
MNE,
MNG,
MOZ,
MRT,
MUS,
MWI,
MYS,81.92628727
NAM,
NER,8.53215985
NGA,
NIC,
NIU,
NLD,97.45622558
NOR,78.44540512
NPL,
NRU,
NZL,75.93174603
OMN,
PAK,
PAN,
PER,30.25456286
PHL,
PLW,19.62012
PNG,
POL,77.13874167
PRK,
PRT,61.67056069
PRY,
PSE,60.26470765
QAT,88.45
ROU,57.08436864
RUS,
RWA,
SAU,84.49783869
SDN,
SEN,24.10524577
SGP,100
SLB,
SLE,
SLV,
SMR,77.8715
SOM,14.08523494
SRB,24.02190229
SSD,
STP,
SUR,
SVK,81.69794509
SVN,75.72427161
SWE,92.31083574
SWZ,
SYC,
SYR,
TCD,
TGO,
THA,
TJK,
TKM,
TLS,
TON,
TTO,
TUN,73.45685196
TUR,44.29239903
TUV,8.979605398
TWN,
TZA,
UGA,
UKR,
URY,63.61298242
USA,89.49947362
UZB,
VCT,
VEN,19.11352811
VNM,
VUT,
WSM,
XKX,
YEM,
ZAF,
ZMB,
ZWE,
VAT,
