ID,Value
AFG,9.5
AGO,4.9
ALB,9.4
AND,
ARE,
ARG,1.2
ARM,4.2
ATG,
AUS,0
AUT,
AZE,3.1
BDI,5.1
BEL,
BEN,4.5
BFA,7.6
BGD,14.3
BGR,3.2
BHR,
BHS,
BIH,2.3
BLR,2.2
BLZ,1.8
BOL,2
BRA,1.6
BRB,6.8
BRN,2.9
BTN,5.9
BWA,7.2
CAF,7.4
CAN,
CHE,
CHL,0.3
CHN,1.9
CIV,6
CMR,5.2
COD,8.1
COG,8.2
COL,0.9
COM,11.1
CPV,
CRI,1
CUB,2.4
CYP,
CZE,4.6
DEU,1
DJI,21.5
DMA,
DNK,
DOM,2.4
DZA,4.1
ECU,1.6
EGY,9.5
ERI,15.3
ESP,
EST,
ETH,9.9
FIN,
FJI,6.3
FRA,
FSM,
GAB,3.4
GBR,
GEO,1.6
GHA,4.7
GIN,8.1
GMB,11.1
GNB,6
GNQ,3.1
GRC,
GRD,
GTM,0.7
GUY,6.4
HND,1.4
HRV,
HTI,5.2
HUN,
IDN,13.5
IND,21
IRL,
IRN,4
IRQ,7.4
ISL,
ISR,
ITA,
JAM,3.6
JOR,2.4
JPN,2.3
KAZ,3.1
KEN,4
KGZ,2.8
KHM,9.6
KIR,
KNA,
KOR,1.2
KWT,3.1
LAO,6.4
LBN,6.6
LBR,5.6
LBY,6.5
LCA,3.7
LIE,
LKA,15.1
LSO,2.8
LTU,
LUX,
LVA,
MAR,2.3
MCO,
MDA,1.9
MDG,15.2
MDV,10.2
MEX,1
MHL,
MKD,
MLI,13.5
MLT,
MMR,7
MNE,2.8
MNG,1
MOZ,6.1
MRT,14.8
MUS,
MWI,2.7
MYS,11.5
NAM,
NER,10.3
NGA,10.8
NIC,2.2
NIU,
NLD,
NOR,
NPL,9.7
NRU,1
NZL,
OMN,7.5
PAK,10.5
PAN,1.2
PER,1
PHL,7.1
PLW,
PNG,14.3
POL,
PRK,4
PRT,
PRY,1
PSE,1.2
QAT,
ROU,3.5
RUS,
RWA,2.2
SAU,11.8
SDN,16.3
SEN,7.2
SGP,3.6
SLB,7.9
SLE,9.4
SLV,2.1
SMR,
SOM,15
SRB,3.9
SSD,22.7
STP,4
SUR,5
SVK,
SVN,
SWE,
SWZ,
SYC,4.3
SYR,11.5
TCD,13
TGO,6.7
THA,5.4
TJK,9.9
TKM,4.2
TLS,11
TON,5.2
TTO,6.3
TUN,2.8
TUR,1.7
TUV,3.3
TWN,
TZA,4.5
UGA,3.6
UKR,8.2
URY,
USA,0.5
UZB,4.5
VCT,
VEN,4.1
VNM,6.4
VUT,4.4
WSM,3.7
XKX,
YEM,16.3
ZAF,2.5
ZMB,6.3
ZWE,3.2
VAT,
