ID,Value
AFG,2.1
AGO,46.4
ALB,28.2
AND,34
ARE,3.9
ARG,9.9
ARM,11.7
ATG,22.3
AUS,16.2
AUT,46.9
AZE,13.8
BDI,10.7
BEL,59.9
BEN,38.2
BFA,19.6
BGD,11
BGR,35.2
BHR,0.8
BHS,51.4
BIH,42.7
BLR,42.5
BLZ,59.9
BOL,50.6
BRA,59
BRB,14.7
BRN,72.1
BTN,72.3
BWA,19.1
CAF,35.6
CAN,38.2
CHE,31.7
CHL,23.9
CHN,22.2
CIV,32.7
CMR,39.8
COD,67.3
COG,65.4
COL,52.7
COM,19.9
CPV,22.3
CRI,54
CUB,30.8
CYP,18.7
CZE,34.5
DEU,32.7
DJI,0.2
DMA,57.8
DNK,14.6
DOM,41
DZA,0.8
ECU,50.5
EGY,0.1
ERI,15
ESP,36.8
EST,52.7
ETH,12.5
FIN,73.1
FJI,55.7
FRA,31
FSM,
GAB,89.3
GBR,13
GEO,40.6
GHA,41
GIN,25.9
GMB,48.2
GNB,70.1
GNQ,55.9
GRC,31.5
GRD,50
GTM,33
GUY,84
HND,41
HRV,34.3
HTI,3.5
HUN,22.9
IDN,50.2
IND,23.8
IRL,10.9
IRN,6.6
IRQ,1.9
ISL,0.5
ISR,10.9
ITA,31.6
JAM,31
JOR,1.1
JPN,68.5
KAZ,1.2
KEN,7.8
KGZ,3.3
KHM,53.6
KIR,15
KNA,42.3
KOR,63.4
KWT,0.4
LAO,81.3
LBN,13.4
LBR,43.4
LBY,0.1
LCA,33.3
LIE,43.1
LKA,33
LSO,1.6
LTU,34.8
LUX,33.5
LVA,54
MAR,12.6
MCO,
MDA,12.4
MDG,21.4
MDV,3.3
MEX,34
MHL,70.2
MKD,39.6
MLI,3.9
MLT,1.1
MMR,44.5
MNE,48.2
MNG,8.1
MOZ,48.2
MRT,0.2
MUS,19
MWI,33.4
MYS,67.6
NAM,8.4
NER,0.9
NGA,7.7
NIC,25.9
NIU,
NLD,11.2
NOR,33.2
NPL,25.4
NRU,0
NZL,38.7
OMN,0
PAK,1.9
PAN,62.1
PER,57.8
PHL,27
PLW,87.6
PNG,74.1
POL,30.8
PRK,41.8
PRT,34.7
PRY,38.6
PSE,1.5
QAT,0
ROU,29.8
RUS,49.8
RWA,19.5
SAU,0.5
SDN,8.1
SEN,43
SGP,23.1
SLB,78.1
SLE,42.2
SLV,12.8
SMR,0
SOM,10.1
SRB,31.1
SSD,
STP,55.8
SUR,98.3
SVK,40.3
SVN,62
SWE,68.9
SWZ,
SYC,88.4
SYR,2.7
TCD,3.9
TGO,3.5
THA,32.1
TJK,3
TKM,8.8
TLS,46.1
TON,12.5
TTO,45.7
TUN,6.7
TUR,15.2
TUV,33.3
TWN,
TZA,52
UGA,10.4
UKR,16.7
URY,10.5
USA,33.9
UZB,7.6
VCT,69.2
VEN,52.9
VNM,47.6
VUT,36.1
WSM,60.4
XKX,
YEM,1
ZAF,7.6
ZMB,65.4
ZWE,36.4
VAT,
