ID,Value
AFG,
AGO,
ALB,
AND,
ARE,0.043494701
ARG,
ARM,
ATG,
AUS,
AUT,
AZE,
BDI,
BEL,
BEN,
BFA,
BGD,
BGR,
BHR,
BHS,
BIH,
BLR,
BLZ,
BOL,
BRA,
BRB,
BRN,
BTN,
BWA,
CAF,
CAN,
CHE,9.768210942
CHL,
CHN,
CIV,
CMR,
COD,
COG,
COL,
COM,
CPV,
CRI,
CUB,
CYP,
CZE,
DEU,
DJI,
DMA,
DNK,
DOM,
DZA,
ECU,
EGY,
ERI,
ESP,13.84773835
EST,
ETH,
FIN,
FJI,
FRA,
FSM,6.046613838
GAB,
GBR,25.5971163
GEO,
GHA,
GIN,
GMB,
GNB,
GNQ,
GRC,
GRD,
GTM,
GUY,
HND,
HRV,
HTI,
HUN,
IDN,
IND,
IRL,
IRN,
IRQ,
ISL,
ISR,
ITA,23.6595645
JAM,26.0640714
JOR,
JPN,11.10336454
KAZ,9.924756442
KEN,15.79844798
KGZ,16.94917318
KHM,
KIR,24.47868704
KNA,
KOR,14.82501283
KWT,
LAO,12.94309938
LBN,13.94762057
LBR,
LBY,
LCA,
LIE,
LKA,12.29293181
LSO,34.20184762
LTU,4.931157004
LUX,25.73511818
LVA,23.88406893
MAR,
MCO,
MDA,19.29555308
MDG,
MDV,
MEX,13.55419995
MHL,17.79191138
MKD,16.83550474
MLI,15.37572712
MLT,26.24297077
MMR,6.409253609
MNE,
MNG,11.34885421
MOZ,20.09443673
MRT,
MUS,18.12841351
MWI,15.48908132
MYS,13.76638865
NAM,28.5335403
NER,
NGA,
NIC,16.29122319
NIU,
NLD,22.17661651
NOR,21.99383901
NPL,18.73515133
NRU,
NZL,27.18544055
OMN,
PAK,
PAN,
PER,13.81708901
PHL,13.67677884
PLW,19.67187656
PNG,13.50434887
POL,16.20332534
PRK,
PRT,22.53094222
PRY,12.57954356
PSE,
QAT,
ROU,16.80889071
RUS,9.126363212
RWA,14.78964789
SAU,
SDN,
SEN,20.54059196
SGP,13.70826215
SLB,26.6821965
SLE,
SLV,
SMR,15.39581499
SOM,
SRB,
SSD,
STP,
SUR,
SVK,17.44622807
SVN,18.55501345
SWE,27.65461421
SWZ,
SYC,31.67351154
SYR,
TCD,
TGO,21.93498858
THA,15.50989689
TJK,
TKM,
TLS,9.817997615
TON,
TTO,
TUN,
TUR,18.3247743
TUV,
TWN,
TZA,
UGA,13.48635587
UKR,19.64811752
URY,23.70930472
USA,10.89324666
UZB,17.25265854
VCT,
VEN,
VNM,
VUT,16.64980502
WSM,24.20873909
XKX,
YEM,
ZAF,27.09698111
ZMB,14.93719377
ZWE,
VAT,
