ID,Value
AFG,
AGO,
ALB,
AND,
ARE,69.72751
ARG,
ARM,
ATG,
AUS,90.56623
AUT,
AZE,
BDI,
BEL,
BEN,
BFA,
BGD,
BGR,
BHR,72.4767
BHS,
BIH,
BLR,
BLZ,
BOL,
BRA,
BRB,
BRN,
BTN,
BWA,
CAF,
CAN,93.26
CHE,
CHL,76.93
CHN,
CIV,
CMR,
COD,
COG,
COL,
COM,
CPV,
CRI,
CUB,
CYP,92.95813
CZE,96.01225
DEU,
DJI,
DMA,
DNK,96.08374
DOM,
DZA,
ECU,
EGY,
ERI,
ESP,93.49494
EST,
ETH,
FIN,97.13669
FJI,
FRA,87.4437
FSM,
GAB,
GBR,
GEO,78.39637
GHA,
GIN,
GMB,
GNB,
GNQ,
GRC,
GRD,
GTM,
GUY,
HND,
HRV,
HTI,
HUN,
IDN,48.5391
IND,
IRL,96.96339
IRN,65.17138
IRQ,
ISL,
ISR,
ITA,92.56607
JAM,
JOR,49.97825
JPN,99.48433
KAZ,
KEN,
KGZ,
KHM,
KIR,
KNA,
KOR,99.65868
KWT,32.915
LAO,
LBN,
LBR,
LBY,
LCA,
LIE,
LKA,
LSO,
LTU,
LUX,
LVA,
MAR,40.56423
MCO,
MDA,
MDG,
MDV,
MEX,
MHL,
MKD,
MLI,
MLT,
MMR,
MNE,
MNG,
MOZ,
MRT,
MUS,
MWI,
MYS,
NAM,
NER,
NGA,
NIC,
NIU,
NLD,98.81086
NOR,97.97319
NPL,
NRU,
NZL,84.47975
OMN,60.83859
PAK,
PAN,
PER,
PHL,
PLW,
PNG,
POL,96.17991
PRK,
PRT,97.17016
PRY,
PSE,
QAT,64.35917
ROU,
RUS,
RWA,
SAU,43.26762
SDN,
SEN,
SGP,98.67068
SLB,
SLE,
SLV,
SMR,
SOM,
SRB,
SSD,
STP,
SUR,
SVK,
SVN,95.17416
SWE,94.57084
SWZ,
SYC,
SYR,
TCD,
TGO,
THA,
TJK,
TKM,
TLS,
TON,
TTO,
TUN,
TUR,
TUV,
TWN,
TZA,
UGA,
UKR,
URY,
USA,94.74096
UZB,
VCT,
VEN,
VNM,
VUT,
WSM,
XKX,
YEM,
ZAF,38.6466
ZMB,
ZWE,
VAT,
