ID,Value
AFG,1068881.85
AGO,503444.67
ALB,1690039.758
AND,
ARE,103102.07
ARG,1573.08
ARM,62246.8
ATG,23002.99
AUS,
AUT,
AZE,712524.07
BDI,3080077.77
BEL,
BEN,2267541.028
BFA,10548593.5
BGD,1057761.68
BGR,
BHR,5439
BHS,
BIH,36702
BLR,2567.17
BLZ,27696
BOL,2660774.06
BRA,520901.8
BRB,53198.68
BRN,4978
BTN,105675.87
BWA,122967.62
CAF,359346.26
CAN,
CHE,
CHL,51434.885
CHN,180924.48
CIV,1434483.563
CMR,2723499.59
COD,10578431.63
COG,1836565.68
COL,64816.425
COM,201411.51
CPV,153389.8
CRI,74700.4
CUB,377564.7
CYP,14766.64
CZE,
DEU,
DJI,183390.75
DMA,37128.1
DNK,
DOM,317200.69
DZA,2281807.288
ECU,351158.55
EGY,962570.19
ERI,790577.9
ESP,
EST,
ETH,1638818.53
FIN,
FJI,147500.47
FRA,
FSM,79617.9
GAB,402190.22
GBR,
GEO,20550.47
GHA,2603764.493
GIN,2095929.86
GMB,2148726.72
GNB,109693.7625
GNQ,67023.066
GRC,
GRD,361400
GTM,4066247.35
GUY,177287.3
HND,33351943.68
HRV,920074.4
HTI,1395264.25
HUN,48700
IDN,615634.02
IND,1355733.607
IRL,
IRN,223593.22
IRQ,802839.91
ISL,
ISR,
ITA,
JAM,3000534.178
JOR,741055.73
JPN,
KAZ,257878.3
KEN,26471148.64
KGZ,154417.27
KHM,2219806.55
KIR,92853
KNA,
KOR,
KWT,3750
LAO,507017.11
LBN,188667.62
LBR,1503029.79
LBY,40341701.81
LCA,6000
LIE,
LKA,938315
LSO,4687844.04
LTU,
LUX,
LVA,
MAR,811904.33
MCO,
MDA,481810.0701
MDG,503699.05
MDV,208525.1
MEX,1544.8
MHL,79617.9
MKD,59293.23
MLI,2735152.805
MLT,
MMR,1843609.89
MNE,
MNG,754892.84
MOZ,10453079.56
MRT,2923198.39
MUS,58980.76
MWI,412097.3
MYS,21288.15
NAM,1249022.97
NER,11277845.67
NGA,2496066.5
NIC,320000
NIU,79617.9
NLD,
NOR,
NPL,1582385.826
NRU,79617.9
NZL,
OMN,61223.86
PAK,1172347.78
PAN,62186.77
PER,215275.87
PHL,114773.83
PLW,79617.9
PNG,150531.69
POL,
PRK,
PRT,
PRY,598119.7
PSE,4586566.056
QAT,2081
ROU,
RUS,48400000
RWA,22831636.25
SAU,80447.57
SDN,3024838.31
SEN,1571774.515
SGP,
SLB,1348830.65
SLE,2785097.81
SLV,826783.24
SMR,
SOM,1275990.66
SRB,62547.19
SSD,885242.16
STP,79335.8
SUR,50606.9
SVK,
SVN,
SWE,
SWZ,36295.54
SYC,25889.56
SYR,137738.01
TCD,1810105.89
TGO,1113964.142
THA,43542.23
TJK,219524.16
TKM,73769.5
TLS,553475.96
TON,79617.9
TTO,43706.82
TUN,7998019.321
TUR,111000.83
TUV,89360.3
TWN,
TZA,15300963.69
UGA,2361000.55
UKR,65243.92
URY,156982
USA,
UZB,2002363
VCT,4438
VEN,31820.11
VNM,1055629.5
VUT,125678.43
WSM,118212.77
XKX,
YEM,2270
ZAF,40658.53
ZMB,1730755.14
ZWE,6282544.29
VAT,
