FILE|STATUS|VARNAME|fullName|dataDefinition|Units|Years|geoBoundary|REGION|GROUP|dataProcessingMethod|dataCollectionMethod|rowDef|Source_1|Source_2|License|licenseSource|Tags|DATACHECK|CRITICALERRORS|WARNINGS
metaPOISONMORT.txt|PASS| POISONMORT| Mortality rate attributed to unintentional poisoning| Mortality rate attributed to unintentional poisonings is the number of deaths from unninstentional poisonings in a year per 100,000 population.  Unintentional poisonings can be caused by household chemicals, pesticides, kerosene, carbon monoxide and medicines, or can be the result of environmental contamination or occupational chemical exposure.| Deaths per 100,000 population| 2016-2016| www.geoboundaries.org/gbRequest.html?ISO=GLB&VER=3_0_0&ADM=ADM0|GLB|ADM0| Retrieved from World Bank World Development Indicators Website on October 14, 2020.| Compiled by the World Health Organization, the data in this dataset come from official death registration data where available (see notes).| ISO 3166-1 alpha-3| World Develpment Indicators, The World Bank| World Health Organization, Global Health Observatory Data Repository (apps.who.int/ghodata/)| CC-BY 4.0| datacatalog.worldbank.org/dataset/world-development-indicators| Health, Nutrition, Urban Development|PASS|[]|[]
metaMFPBMASSPC.txt|FAIL| MFPBMASSPC| The material footprint, the attribution of global material extraction to domestic final demand of a country, for biomass per capita|ERROR|ERROR| 2017-2017| www.geoboundaries.org/gbRequest.html?ISO=GLB&VER=3_0_0&ADM=ADM0|GLB|ADM0|ERROR|ERROR| ISO 3166-1 alpha-3| Environment Live Global Material Flows Database| |ERROR|ERROR| Sustainability|More than 10 percent of data is missing an observation.  Accepted in this version of gD, but it won't be in the future.|"['No data definition was detected.\n\r', ""No units were detected.  Units must be at least 3 characters long - i.e., use 'Celsius', not 'C' - to prevent ambiguity.\n\r"", 'Please provide at least one sentence describing any data processing you conducted on this data (even if it was simply retrieval).\n\r', 'Both a license and license source for the data must be specified.']"|"['Please provide at least one sentence describing how the data was collected, or who collected it.  A link to a description also works.  This is an optional field.).\n\r', ""PASS. Note that more than 10 percent of your data is missing an observation.  While it's accepted in this version of gD, it won't be in the future.""]"
metaURBPOPSLUM.txt|FAIL| URBPOPSLUM| Proportion of urban population living in slums, informal settlements or inadequate housing|ERROR|ERROR| 2014-2014| www.geoboundaries.org/gbRequest.html?ISO=GLB&VER=3_0_0&ADM=ADM0|GLB|ADM0|ERROR|ERROR| ISO 3166-1 alpha-3| World Bank| |ERROR|ERROR| Poverty|More than 10 percent of data is missing an observation.  Accepted in this version of gD, but it won't be in the future.|"['No data definition was detected.\n\r', ""No units were detected.  Units must be at least 3 characters long - i.e., use 'Celsius', not 'C' - to prevent ambiguity.\n\r"", 'Please provide at least one sentence describing any data processing you conducted on this data (even if it was simply retrieval).\n\r', 'Both a license and license source for the data must be specified.', ""ERROR. More than fifty percent of your data is missing an observation.  We can't accept this dataset right now.""]"|"['Please provide at least one sentence describing how the data was collected, or who collected it.  A link to a description also works.  This is an optional field.).\n\r', ""PASS. Note that more than 10 percent of your data is missing an observation.  While it's accepted in this version of gD, it won't be in the future.""]"
metaPREVUNDNOR.txt|FAIL| PREVUNDNOR| Prevalence of Undernourishment|ERROR|ERROR| 20-20| www.geoboundaries.org/gbRequest.html?ISO=GLB&VER=3_0_0&ADM=ADM0|GLB|ADM0|ERROR|ERROR| ISO 3166-1 alpha-3| Food security indicators| |ERROR|ERROR| Health|More than 10 percent of data is missing an observation.  Accepted in this version of gD, but it won't be in the future.|"['No data definition was detected.\n\r', ""No units were detected.  Units must be at least 3 characters long - i.e., use 'Celsius', not 'C' - to prevent ambiguity.\n\r"", 'Please provide at least one sentence describing any data processing you conducted on this data (even if it was simply retrieval).\n\r', 'Both a license and license source for the data must be specified.']"|"['Please provide at least one sentence describing how the data was collected, or who collected it.  A link to a description also works.  This is an optional field.).\n\r', ""PASS. Note that more than 10 percent of your data is missing an observation.  While it's accepted in this version of gD, it won't be in the future.""]"
metaDISLOSSGDP.txt|FAIL| DISLOSSGDP| Direct Economic Loss Attributed to Disasters Relative to GDP (%)|ERROR|ERROR| 2017-2017| www.geoboundaries.org/gbRequest.html?ISO=GLB&VER=3_0_0&ADM=ADM0|GLB|ADM0|ERROR|ERROR| ISO 3166-1 alpha-3| United Nations Office for Disaster Risk Reduction| |ERROR|ERROR| Loss from Disasters|More than 10 percent of data is missing an observation.  Accepted in this version of gD, but it won't be in the future.|"['No data definition was detected.\n\r', ""No units were detected.  Units must be at least 3 characters long - i.e., use 'Celsius', not 'C' - to prevent ambiguity.\n\r"", 'Please provide at least one sentence describing any data processing you conducted on this data (even if it was simply retrieval).\n\r', 'Both a license and license source for the data must be specified.', ""ERROR. More than fifty percent of your data is missing an observation.  We can't accept this dataset right now.""]"|"['Please provide at least one sentence describing how the data was collected, or who collected it.  A link to a description also works.  This is an optional field.).\n\r', ""PASS. Note that more than 10 percent of your data is missing an observation.  While it's accepted in this version of gD, it won't be in the future.""]"
metaMARPREFITN.txt|FAIL| MARPREFITN| Proportion of women ages 20-24 who were married before age 15|ERROR|ERROR| 2016-2016| www.geoboundaries.org/gbRequest.html?ISO=GLB&VER=3_0_0&ADM=ADM0|GLB|ADM0|ERROR|ERROR| ISO 3166-1 alpha-3| World Development Indicators| |ERROR|ERROR|ERROR|More than 10 percent of data is missing an observation.  Accepted in this version of gD, but it won't be in the future.|"['No data definition was detected.\n\r', ""No units were detected.  Units must be at least 3 characters long - i.e., use 'Celsius', not 'C' - to prevent ambiguity.\n\r"", 'Please provide at least one sentence describing any data processing you conducted on this data (even if it was simply retrieval).\n\r', 'Both a license and license source for the data must be specified.', ""ERROR. More than fifty percent of your data is missing an observation.  We can't accept this dataset right now.""]"|"['Please provide at least one sentence describing how the data was collected, or who collected it.  A link to a description also works.  This is an optional field.).\n\r', ""Specify at least one tag.  This is optional; untagged elements will be added to a generic 'All data' Tag."", ""PASS. Note that more than 10 percent of your data is missing an observation.  While it's accepted in this version of gD, it won't be in the future.""]"
metaSUSFORMGMT.txt|FAIL| SUSFORMGMT| Progress towards sustainable forest management|ERROR|ERROR| 2015-2015| www.geoboundaries.org/gbRequest.html?ISO=GLB&VER=3_0_0&ADM=ADM0|GLB|ADM0|ERROR|ERROR| ISO 3166-1 alpha-3| United Nations Office for Disaster Risk Reduction| |ERROR|ERROR| Sustainability|More than 10 percent of data is missing an observation.  Accepted in this version of gD, but it won't be in the future.|"['No data definition was detected.\n\r', ""No units were detected.  Units must be at least 3 characters long - i.e., use 'Celsius', not 'C' - to prevent ambiguity.\n\r"", 'Please provide at least one sentence describing any data processing you conducted on this data (even if it was simply retrieval).\n\r', 'Both a license and license source for the data must be specified.', ""ERROR. More than fifty percent of your data is missing an observation.  We can't accept this dataset right now.""]"|"['Please provide at least one sentence describing how the data was collected, or who collected it.  A link to a description also works.  This is an optional field.).\n\r', ""PASS. Note that more than 10 percent of your data is missing an observation.  While it's accepted in this version of gD, it won't be in the future.""]"
metaBANKPERPOP.txt|FAIL| BANKPERPOP| Number of banks per 100,000 adults|ERROR|ERROR| 2017-2017| www.geoboundaries.org/gbRequest.html?ISO=GLB&VER=3_0_0&ADM=ADM0|GLB|ADM0|ERROR|ERROR| ISO 3166-1 alpha-3| World Development Indicators| |ERROR|ERROR| Development?|More than 10 percent of data is missing an observation.  Accepted in this version of gD, but it won't be in the future.|"['No data definition was detected.\n\r', ""No units were detected.  Units must be at least 3 characters long - i.e., use 'Celsius', not 'C' - to prevent ambiguity.\n\r"", 'Please provide at least one sentence describing any data processing you conducted on this data (even if it was simply retrieval).\n\r', 'Both a license and license source for the data must be specified.']"|"['Please provide at least one sentence describing how the data was collected, or who collected it.  A link to a description also works.  This is an optional field.).\n\r', ""PASS. Note that more than 10 percent of your data is missing an observation.  While it's accepted in this version of gD, it won't be in the future.""]"
metaMORTBADWTR.txt|FAIL| MORTBADWTR| Mortality Rate due to Unsafe Water|ERROR|ERROR| 2016-2016| www.geoboundaries.org/gbRequest.html?ISO=GLB&VER=3_0_0&ADM=ADM0|GLB|ADM0|ERROR|ERROR| ISO 3166-1 alpha-3| World Development Indicators| |ERROR|ERROR| Health|PASS|"['No data definition was detected.\n\r', ""No units were detected.  Units must be at least 3 characters long - i.e., use 'Celsius', not 'C' - to prevent ambiguity.\n\r"", 'Please provide at least one sentence describing any data processing you conducted on this data (even if it was simply retrieval).\n\r', 'Both a license and license source for the data must be specified.']"|['Please provide at least one sentence describing how the data was collected, or who collected it.  A link to a description also works.  This is an optional field.).\n\r']
metaATMSPERPOP.txt|FAIL| ATMSPERPOP| Number of ATMS per 100,000 adults|ERROR|ERROR| 2017-2017| www.geoboundaries.org/gbRequest.html?ISO=GLB&VER=3_0_0&ADM=ADM0|GLB|ADM0|ERROR|ERROR| ISO 3166-1 alpha-3| World Development Indicators| |ERROR|ERROR| Development?|More than 10 percent of data is missing an observation.  Accepted in this version of gD, but it won't be in the future.|"['No data definition was detected.\n\r', ""No units were detected.  Units must be at least 3 characters long - i.e., use 'Celsius', not 'C' - to prevent ambiguity.\n\r"", 'Please provide at least one sentence describing any data processing you conducted on this data (even if it was simply retrieval).\n\r', 'Both a license and license source for the data must be specified.']"|"['Please provide at least one sentence describing how the data was collected, or who collected it.  A link to a description also works.  This is an optional field.).\n\r', ""PASS. Note that more than 10 percent of your data is missing an observation.  While it's accepted in this version of gD, it won't be in the future.""]"
