ID,Value
AFG,14.89331245
AGO,
ALB,40.01517105
AND,
ARE,88.21038818
ARG,48.70848846
ARM,47.75901794
ATG,
AUS,99.51937103
AUT,98.16366577
AZE,28.57120323
BDI,
BEL,98.63832092
BEN,38.48922348
BFA,43.15999222
BGD,50.04691315
BGR,72.2040329
BHR,82.61284637
BHS,
BIH,58.84349823
BLR,81.15588379
BLZ,
BOL,54.405056
BRA,70.04394531
BRB,
BRN,
BTN,
BWA,51.03245544
CAF,13.74594593
CAN,99.72688293
CHE,98.42966461
CHL,74.34924316
CHN,80.22911835
CIV,41.33095551
CMR,34.59078979
COD,25.82567596
COG,26.09275055
COL,45.75922775
COM,
CPV,
CRI,67.83835602
CUB,
CYP,88.71575928
CZE,80.99226379
DEU,99.14118958
DJI,
DMA,
DNK,99.91737366
DOM,56.23919296
DZA,42.77662659
ECU,51.24601746
EGY,32.78435898
ERI,
ESP,93.75570679
EST,97.99397278
ETH,34.82756805
FIN,99.78541565
FJI,
FRA,94.00404358
FSM,
GAB,58.60199738
GBR,96.36631775
GEO,61.23044586
GHA,57.71752548
GIN,23.48603439
GMB,
GNB,
GNQ,
GRC,85.46652222
GRD,
GTM,44.10700989
GUY,
HND,45.3429718
HRV,86.14345551
HTI,32.6211853
HUN,74.94496918
IDN,48.85745239
IND,79.87532806
IRL,95.3404541
IRN,93.98191833
IRQ,22.6651516
ISL,
ISR,92.81496429
ITA,93.78501892
JAM,
JOR,42.49302292
JPN,98.24339294
KAZ,58.69753265
KEN,81.56756592
KGZ,39.94200134
KHM,21.67178345
KIR,
KNA,
KOR,94.85101318
KWT,79.84015656
LAO,29.05641747
LBN,44.75142288
LBR,35.71384048
LBY,65.66751862
LCA,
LIE,
LKA,73.64646149
LSO,45.56381607
LTU,82.8838501
LUX,98.76785278
LVA,93.22247314
MAR,28.64446068
MCO,
MDA,43.78565216
MDG,17.86787033
MDV,
MEX,36.9319191
MHL,
MKD,76.56877136
MLI,35.41667938
MLT,97.36291504
MMR,25.99229813
MNE,68.36179352
MNG,92.97116852
MOZ,41.67010498
MRT,20.8725071
MUS,89.8425293
MWI,33.71393204
MYS,85.34375
NAM,80.63349915
NER,15.52324486
NGA,39.667
NIC,30.86199188
NIU,
NLD,99.63761902
NOR,99.74514008
NPL,45.38557434
NRU,
NZL,99.17844391
OMN,
PAK,21.29324532
PAN,46.49425888
PER,42.60317993
PHL,34.49840927
PLW,
PNG,
POL,86.73330688
PRK,
PRT,92.34098816
PRY,48.64686203
PSE,25.02217674
QAT,
ROU,57.75180435
RUS,75.75888824
RWA,50.01979446
SAU,71.69812012
SDN,
SEN,42.34401703
SGP,97.9311676
SLB,
SLE,19.80875969
SLV,30.35294724
SMR,
SOM,
SRB,71.44104767
SSD,8.570004463
STP,
SUR,
SVK,84.18158722
SVN,97.53340149
SWE,99.74221039
SWZ,
SYC,
SYR,
TCD,21.75919342
TGO,45.28935242
THA,81.59400177
TJK,47.02439499
TKM,40.5764122
TLS,
TON,
TTO,80.78334808
TUN,36.90656662
TUR,68.59030914
TUV,
TWN,
TZA,46.75156403
UGA,59.19915009
UKR,62.90233231
URY,63.86800385
USA,93.12218475
UZB,37.08973694
VCT,
VEN,73.49450684
VNM,30.79579163
VUT,
WSM,
XKX,52.27339935
YEM,
ZAF,69.2184906
ZMB,45.86325836
ZWE,55.28513718
VAT,
