ID,Value
AFG,52.53623128
AGO,50
ALB,75.76325536
AND,
ARE,
ARG,
ARM,37.36111224
ATG,
AUS,
AUT,
AZE,40.71795046
BDI,76.58781409
BEL,
BEN,60.21713018
BFA,69.548738
BGD,71.05873823
BGR,
BHR,
BHS,
BIH,22.89772779
BLR,26.37844682
BLZ,
BOL,
BRA,
BRB,
BRN,
BTN,89.85507488
BWA,
CAF,46.38655484
CAN,
CHE,
CHL,
CHN,
CIV,52.9738605
CMR,71.75434828
COD,39.65053856
COG,75
COL,43.30783784
COM,87.87814975
CPV,20.0000003
CRI,35.19047499
CUB,
CYP,
CZE,
DEU,
DJI,
DMA,
DNK,
DOM,49.3329227
DZA,
ECU,
EGY,73.31687808
ERI,
ESP,
EST,
ETH,77.86489129
FIN,
FJI,47.2222209
FRA,
FSM,
GAB,
GBR,
GEO,40.24591744
GHA,
GIN,82.49999881
GMB,67.45098233
GNB,78.54406238
GNQ,100
GRC,
GRD,
GTM,47.17444777
GUY,
HND,52.20851898
HRV,
HTI,60.29673219
HUN,
IDN,
IND,
IRL,
IRN,
IRQ,
ISL,
ISR,
ITA,
JAM,
JOR,46.13636434
JPN,
KAZ,
KEN,47.30072916
KGZ,
KHM,52.2896111
KIR,83.33333135
KNA,
KOR,
KWT,
LAO,57.33521581
LBN,
LBR,33.33333433
LBY,
LCA,46.875
LIE,
LKA,
LSO,
LTU,
LUX,
LVA,
MAR,
MCO,
MDA,53.26135159
MDG,55.7821095
MDV,
MEX,
MHL,100
MKD,
MLI,58.74096155
MLT,
MMR,26.91297531
MNE,20.95238119
MNG,
MOZ,68.15474629
MRT,61.21212244
MUS,
MWI,74.95754957
MYS,
NAM,
NER,54.85358238
NGA,27.82051265
NIC,
NIU,
NLD,
NOR,
NPL,62.34080791
NRU,72.54902124
NZL,
OMN,
PAK,
PAN,
PER,54.40614223
PHL,55.93718886
PLW,0
PNG,60.8717382
POL,
PRK,
PRT,
PRY,87.0370388
PSE,
QAT,
ROU,
RUS,
RWA,74.11499023
SAU,
SDN,75.9514153
SEN,66.35146141
SGP,
SLB,8.435314894
SLE,30.00000119
SLV,41.02564156
SMR,
SOM,100
SRB,
SSD,
STP,37.5
SUR,
SVK,
SVN,
SWE,
SWZ,
SYC,100
SYR,
TCD,29.8475951
TGO,74.29937124
THA,
TJK,
TKM,
TLS,54.16713953
TON,100
TTO,50
TUN,
TUR,
TUV,46.77419364
TWN,
TZA,59.61866975
UGA,42.6589787
UKR,
URY,
USA,
UZB,
VCT,
VEN,
VNM,72.38663435
VUT,
WSM,100
XKX,
YEM,
ZAF,
ZMB,
ZWE,85.04357338
VAT,
