ID,Value
AFG,0.2
AGO,0.15
ALB,0.13
AND,
ARE,0.05
ARG,0.07
ARM,0.17
ATG,
AUS,0.2
AUT,
AZE,0.43
BDI,0.07
BEL,0
BEN,0.07
BFA,0.1
BGD,0.53
BGR,0.44
BHR,1.11
BHS,0.78
BIH,
BLR,0.64
BLZ,
BOL,0.63
BRA,0.15
BRB,1.4
BRN,
BTN,0.79
BWA,2.08
CAF,0.05
CAN,0.59
CHE,5.08
CHL,0.43
CHN,
CIV,0.24
CMR,
COD,0.38
COG,0.56
COL,
COM,
CPV,0.53
CRI,0.28
CUB,
CYP,1.07
CZE,1.44
DEU,
DJI,
DMA,
DNK,0.35
DOM,0.3
DZA,0.39
ECU,0.27
EGY,0.12
ERI,
ESP,0.08
EST,0.41
ETH,0.42
FIN,0.81
FJI,0.31
FRA,0.2
FSM,0.07
GAB,
GBR,0.46
GEO,0.28
GHA,0.04
GIN,
GMB,
GNB,0.1
GNQ,0.76
GRC,0.12
GRD,0.3
GTM,0.17
GUY,
HND,
HRV,1.16
HTI,
HUN,0.35
IDN,0.08
IND,0.35
IRL,1.29
IRN,0.15
IRQ,
ISL,0.47
ISR,0.35
ITA,0.17
JAM,0.28
JOR,0.2
JPN,
KAZ,0.5
KEN,0.05
KGZ,0.11
KHM,
KIR,
KNA,
KOR,2.23
KWT,0.73
LAO,
LBN,0.16
LBR,0.03
LBY,
LCA,
LIE,
LKA,0.72
LSO,0.42
LTU,1.05
LUX,5.39
LVA,0.5
MAR,0.01
MCO,
MDA,0.31
MDG,0.29
MDV,0.05
MEX,
MHL,0.17
MKD,
MLI,0.39
MLT,0.85
MMR,
MNE,0.07
MNG,0.09
MOZ,0.35
MRT,
MUS,0.86
MWI,0.68
MYS,0.36
NAM,0.33
NER,
NGA,0.09
NIC,
NIU,
NLD,0.2
NOR,0.8
NPL,0.33
NRU,
NZL,0.31
OMN,0.49
PAK,0.05
PAN,0.58
PER,
PHL,0.4
PLW,0.13
PNG,
POL,0.38
PRK,
PRT,0.377
PRY,0.16
PSE,0.13
QAT,14.04
ROU,0.7
RUS,0.29
RWA,0.09
SAU,
SDN,
SEN,
SGP,8.76
SLB,0.13
SLE,
SLV,0.12
SMR,29.88
SOM,
SRB,0.29
SSD,
STP,0.31
SUR,
SVK,0.43
SVN,0.84
SWE,0.39
SWZ,0.63
SYC,1.12
SYR,0.21
TCD,
TGO,0
THA,0.83
TJK,
TKM,
TLS,0.43
TON,
TTO,1.95
TUN,0.59
TUR,0.4
TUV,
TWN,
TZA,0.04
UGA,0.16
UKR,0.04
URY,0.18
USA,
UZB,0.88
VCT,0.41
VEN,
VNM,0.19
VUT,0.15
WSM,0.26
XKX,
YEM,
ZAF,0.69
ZMB,1.32
ZWE,
VAT,
