ID,Value
AFG,1.274667056
AGO,
ALB,31.47157878
AND,
ARE,65.50584672
ARG,59.39125676
ARM,63.69005595
ATG,63.11423677
AUS,162.0064142
AUT,115.3035208
AZE,32.12757721
BDI,
BEL,
BEN,
BFA,3.972802083
BGD,8.072707678
BGR,95.12884456
BHR,
BHS,115.1055346
BIH,51.10416883
BLR,55.6334569
BLZ,38.91762307
BOL,40.22549041
BRA,106.7806458
BRB,
BRN,68.48650876
BTN,36.5818709
BWA,32.57115557
CAF,1.322474433
CAN,227.8235711
CHE,97.76982282
CHL,52.97985257
CHN,
CIV,
CMR,
COD,
COG,
COL,41.84011488
COM,4.896050723
CPV,46.93887719
CRI,64.88362443
CUB,
CYP,48.52033369
CZE,55.65098532
DEU,
DJI,12.13058576
DMA,36.27945546
DNK,50.05735471
DOM,39.01520884
DZA,9.384572598
ECU,50.28061154
EGY,
ERI,
ESP,111.8349362
EST,67.98962699
ETH,
FIN,32.51511602
FJI,50.17716399
FRA,
FSM,14.16611183
GAB,
GBR,128.126941
GEO,75.9305313
GHA,11.53087287
GIN,2.247020553
GMB,
GNB,
GNQ,
GRC,61.5326147
GRD,44.06783929
GTM,36.05777874
GUY,20.2789074
HND,23.88990119
HRV,140.381651
HTI,1.969990122
HUN,60.93715305
IDN,55.61419433
IND,22.06511568
IRL,89.50026143
IRN,76.48814315
IRQ,2.678396201
ISL,89.47086851
ISR,121.2583722
ITA,92.4009186
JAM,31.78978267
JOR,27.99815135
JPN,127.7669884
KAZ,74.59974096
KEN,
KGZ,33.43039625
KHM,16.72859124
KIR,
KNA,
KOR,
KWT,64.4286074
LAO,26.09245027
LBN,40.65848794
LBR,
LBY,3.755818516
LCA,43.42671225
LIE,
LKA,111.8349362
LSO,
LTU,46.74989079
LUX,115.3966496
LVA,61.88489255
MAR,26.97931067
MCO,
MDA,36.74328575
MDG,2.795703071
MDV,35.01033852
MEX,53.53227103
MHL,
MKD,59.40740109
MLI,
MLT,55.25408398
MMR,4.378924691
MNE,80.83271091
MNG,
MOZ,8.931566678
MRT,
MUS,43.50427268
MWI,
MYS,46.75113065
NAM,
NER,
NGA,16.32086035
NIC,17.654647
NIU,
NLD,44.61359873
NOR,36.3772379
NPL,10.27560141
NRU,
NZL,65.88069353
OMN,37.7106153
PAK,10.43521801
PAN,70.66377918
PER,106.5724075
PHL,28.30581339
PLW,45.84527221
PNG,
POL,
PRK,
PRT,168.0391792
PRY,27.11666467
PSE,
QAT,59.0419541
ROU,66.69323477
RUS,163.9261253
RWA,5.555325984
SAU,74.3750355
SDN,5.423852837
SEN,
SGP,65.15848616
SLB,12.03585079
SLE,
SLV,37.26435584
SMR,182.8925155
SOM,
SRB,45.76589864
SSD,0.4362649612
STP,27.39866774
SUR,
SVK,60.68837445
SVN,93.65505632
SWE,31.97881821
SWZ,30.04086956
SYC,79.16376953
SYR,
TCD,1.536362007
TGO,3.929497354
THA,117.2791353
TJK,
TKM,
TLS,12.58469018
TON,36.06722932
TTO,43.08396494
TUN,
TUR,78.12417869
TUV,
TWN,
TZA,
UGA,4.060235694
UKR,97.67066725
URY,84.72629047
USA,
UZB,24.14700623
VCT,35.82132324
VEN,
VNM,24.33601478
VUT,
WSM,49.77081343
XKX,36.01091862
YEM,
ZAF,67.93085775
ZMB,11.29338976
ZWE,5.792910548
VAT,
