ID,Value
AFG,33972570
AGO,48743900
ALB,6492974
AND,
ARE,56800210
ARG,207379200
ARM,9209276
ATG,282795
AUS,160059500
AUT,57145830
AZE,16026890
BDI,13467260
BEL,48775320
BEN,26689700
BFA,45210950
BGD,187525500
BGR,15971560
BHR,2932830
BHS,1021435
BIH,6567581
BLR,260223.2
BLZ,661386.9
BOL,25020480
BRA,1546473000
BRB,680872.9
BRN,1311930
BTN,3576620
BWA,7980577
CAF,10760250
CAN,234167200
CHE,59420520
CHL,48889330
CHN,4129853000
CIV,8234398
CMR,34934580
COD,108118700
COG,6241330
COL,134273800
COM,
CPV,843836.9
CRI,10268670
CUB,18794810
CYP,3395512
CZE,
DEU,460313400
DJI,933745.5
DMA,
DNK,31490050
DOM,13069900
DZA,67500580
ECU,46938150
EGY,146373400
ERI,4602674
ESP,191763700
EST,6844407
ETH,
FIN,33933360
FJI,1865968
FRA,374730600
FSM,
GAB,3707174
GBR,309196700
GEO,8261219
GHA,36124440
GIN,25037700
GMB,1923704
GNB,
GNQ,
GRC,49538530
GRD,
GTM,25511800
GUY,18256050
HND,12288060
HRV,15139670
HTI,7598085
HUN,33998010
IDN,793770700
IND,2499374000
IRL,22736840
IRN,167733800
IRQ,30947930
ISL,1320641
ISR,25230540
ITA,221564500
JAM,3684846
JOR,11307590
JPN,453862600
KAZ,124086700
KEN,117044300
KGZ,24501000
KHM,24444170
KIR,
KNA,
KOR,179225300
KWT,37008560
LAO,9175739
LBN,10499190
LBR,3837116
LBY,9809997
LCA,
LIE,
LKA,13279760
LSO,4161802
LTU,23568160
LUX,8544281
LVA,12399390
MAR,33096110
MCO,
MDA,2548188
MDG,11450670
MDV,665209.4
MEX,314052700
MHL,
MKD,
MLI,56821730
MLT,1679926
MMR,77790830
MNE,4302416
MNG,8485257
MOZ,31757440
MRT,5670879
MUS,10216430
MWI,14649640
MYS,269597300
NAM,3709485
NER,55277300
NGA,353025500
NIC,10422030
NIU,
NLD,97852370
NOR,37316080
NPL,49253140
NRU,
NZL,28941050
OMN,31757440
PAK,378137100
PAN,9122947
PER,60947380
PHL,207431600
PLW,
PNG,6422340
POL,162375100
PRK,15296340
PRT,39875500
PRY,48821660
PSE,
QAT,7179724
ROU,87277280
RUS,821371800
RWA,29997810
SAU,91546120
SDN,
SEN,13400700
SGP,65018170
SLB,
SLE,16629610
SLV,13866950
SMR,
SOM,35574820
SRB,
SSD,84402390
STP,432058.4
SUR,1112410
SVK,25724450
SVN,8707528
SWE,60367360
SWZ,7454900
SYC,384870.9
SYR,17598380
TCD,17927150
TGO,8974215
THA,302158500
TJK,5896451
TKM,21212390
TLS,
TON,
TTO,1771080
TUN,17699460
TUR,298048000
TUV,
TWN,
TZA,51552600
UGA,66737430
UKR,343736800
URY,38985940
USA,2146158000
UZB,145157000
VCT,
VEN,64153490
VNM,216801000
VUT,1059689
WSM,708604.7
XKX,
YEM,15308600
ZAF,181016700
ZMB,33347000
ZWE,4712784
VAT,
