ID,Value
AFG,
AGO,
ALB,
AND,
ARE,
ARG,
ARM,
ATG,
AUS,
AUT,
AZE,
BDI,
BEL,
BEN,
BFA,
BGD,
BGR,
BHR,
BHS,
BIH,
BLR,
BLZ,
BOL,
BRA,
BRB,
BRN,
BTN,
BWA,
CAF,
CAN,
CHE,
CHL,
CHN,
CIV,
CMR,
COD,
COG,
COL,
COM,1
CPV,
CRI,
CUB,
CYP,
CZE,
DEU,
DJI,
DMA,
DNK,
DOM,
DZA,
ECU,
EGY,1
ERI,
ESP,
EST,
ETH,
FIN,
FJI,1
FRA,
FSM,
GAB,
GBR,
GEO,
GHA,
GIN,
GMB,
GNB,
GNQ,
GRC,
GRD,
GTM,
GUY,
HND,
HRV,
HTI,
HUN,
IDN,
IND,
IRL,
IRN,
IRQ,
ISL,
ISR,
ITA,
JAM,
JOR,
JPN,
KAZ,
KEN,
KGZ,
KHM,
KIR,
KNA,
KOR,
KWT,
LAO,
LBN,
LBR,
LBY,
LCA,
LIE,
LKA,
LSO,
LTU,
LUX,
LVA,
MAR,
MCO,
MDA,
MDG,
MDV,
MEX,
MHL,
MKD,
MLI,
MLT,
MMR,
MNE,
MNG,
MOZ,1
MRT,
MUS,
MWI,
MYS,
NAM,
NER,
NGA,
NIC,
NIU,
NLD,
NOR,
NPL,
NRU,
NZL,
OMN,
PAK,1
PAN,
PER,1
PHL,
PLW,
PNG,
POL,
PRK,
PRT,
PRY,
PSE,1
QAT,
ROU,
RUS,
RWA,
SAU,
SDN,
SEN,
SGP,
SLB,
SLE,
SLV,
SMR,
SOM,
SRB,
SSD,
STP,
SUR,
SVK,
SVN,
SWE,
SWZ,1
SYC,
SYR,
TCD,
TGO,
THA,
TJK,
TKM,
TLS,
TON,
TTO,
TUN,
TUR,
TUV,
TWN,
TZA,
UGA,
UKR,
URY,
USA,
UZB,
VCT,
VEN,
VNM,
VUT,
WSM,
XKX,
YEM,
ZAF,
ZMB,
ZWE,
VAT,
