ID,Value
AFG,0.84
AGO,90.15
ALB,
AND,
ARE,
ARG,240.02
ARM,113.14
ATG,
AUS,
AUT,
AZE,0.01
BDI,0.05
BEL,
BEN,1.21
BFA,28.1
BGD,336.46
BGR,
BHR,
BHS,
BIH,
BLR,
BLZ,1.6
BOL,1150.27
BRA,154.17
BRB,8.5
BRN,
BTN,0.05
BWA,0.01
CAF,0
CAN,
CHE,
CHL,211.94
CHN,1213.8
CIV,33.49
CMR,74.28
COD,22.27
COG,0.08
COL,1395.3
COM,0.01
CPV,7.62
CRI,148.77
CUB,29.75
CYP,
CZE,
DEU,
DJI,1.27
DMA,
DNK,
DOM,78.59
DZA,0.16
ECU,129.26
EGY,303.83
ERI,
ESP,
EST,
ETH,51.98
FIN,
FJI,0.18
FRA,
FSM,
GAB,39.07
GBR,
GEO,86.83
GHA,484.01
GIN,135.05
GMB,
GNB,0.39
GNQ,13.35
GRC,
GRD,
GTM,
GUY,
HND,205.22
HRV,
HTI,8.23
HUN,
IDN,326.22
IND,2049.82
IRL,
IRN,0.08
IRQ,250
ISL,
ISR,
ITA,
JAM,16.84
JOR,481.96
JPN,
KAZ,44.01
KEN,689.5
KGZ,36.67
KHM,150.27
KIR,0
KNA,
KOR,
KWT,
LAO,518.31
LBN,22.69
LBR,9.72
LBY,
LCA,
LIE,
LKA,58.76
LSO,0
LTU,
LUX,
LVA,
MAR,444.28
MCO,
MDA,
MDG,21.42
MDV,0.01
MEX,430.59
MHL,0.26
MKD,
MLI,58.79
MLT,
MMR,3.73
MNE,
MNG,193.37
MOZ,30.67
MRT,171.03
MUS,28.21
MWI,0.33
MYS,1.29
NAM,11.16
NER,1.13
NGA,58.64
NIC,135.86
NIU,0.24
NLD,
NOR,
NPL,27.78
NRU,2.8
NZL,
OMN,
PAK,866.98
PAN,351.84
PER,97.15
PHL,94.67
PLW,0.01
PNG,31.06
POL,
PRK,0.33
PRT,
PRY,0.35
PSE,2.78
QAT,
ROU,
RUS,
RWA,40.12
SAU,
SDN,0.04
SEN,320.89
SGP,
SLB,6.65
SLE,28.07
SLV,197.66
SMR,
SOM,0.78
SRB,
SSD,0.03
STP,0.29
SUR,
SVK,
SVN,
SWE,
SWZ,
SYC,0.67
SYR,
TCD,39.65
TGO,0.05
THA,0.4
TJK,0.09
TKM,0.08
TLS,1.01
TON,2.86
TTO,
TUN,43.43
TUR,1361.23
TUV,
TWN,
TZA,145.97
UGA,178.09
UKR,
URY,67.03
USA,
UZB,0.67
VCT,30.41
VEN,
VNM,289.59
VUT,
WSM,0
XKX,
YEM,
ZAF,194.78
ZMB,103.89
ZWE,0.03
VAT,
