ID,Value
AFG,12948523.5
AGO,26037940.15
ALB,3301229.407
AND,
ARE,9951994.907
ARG,86138080.05
ARM,4048091.486
ATG,42195.35623
AUS,52073739.36
AUT,16232414.55
AZE,8897821.95
BDI,7590215.539
BEL,25229154.24
BEN,14770599
BFA,9600483.407
BGD,98173328.71
BGR,4821019.7
BHR,695332.2643
BHS,236143.1357
BIH,4006877.307
BLR,25870534.94
BLZ,1505347.936
BOL,15717546.13
BRA,1030136498
BRB,278113.7964
BRN,141442.5643
BTN,416912.0429
BWA,993406.3107
CAF,2630604.396
CAN,49234539.97
CHE,
CHL,15671605.96
CHN,1982102486
CIV,23965487.8
CMR,30299788.04
COD,29374712.94
COG,3184833.229
COL,75217724.95
COM,402856.575
CPV,290237.1857
CRI,9672372.279
CUB,23122737.98
CYP,935301.95
CZE,14507592.72
DEU,124135337.6
DJI,1793002.407
DMA,120063.4786
DNK,16809512.69
DOM,12756303.45
DZA,39324500.4
ECU,19445256.59
EGY,115045423.2
ERI,559851.55
ESP,
EST,1358368.4
ETH,44883254.63
FIN,6557649.693
FJI,1857656.568
FRA,115555118.6
FSM,79770.45714
GAB,1706350.411
GBR,65934353.62
GEO,2115173.939
GHA,43333077.7
GIN,9787879.161
GMB,695728.125
GNB,712283.3714
GNQ,401007.3036
GRC,16086112.65
GRD,66076.05357
GTM,38161784.35
GUY,3380961.646
HND,11974677.61
HRV,5516206.293
HTI,6706550.961
HUN,15911340.87
IDN,389753839.2
IND,1061782750
IRL,8362383.071
IRN,93479363.59
IRQ,20623939.57
ISL,207016.4036
ISR,
ITA,67980105.93
JAM,3486530.286
JOR,5421419.043
JPN,74814264.27
KAZ,24343536.84
KEN,25712852.03
KGZ,5072910.154
KHM,24358738.04
KIR,232311.5786
KNA,
KOR,46473011.83
KWT,3365549.443
LAO,12145080.57
LBN,4108327.164
LBR,2084203.336
LBY,7475911.914
LCA,
LIE,
LKA,12220050.06
LSO,659383.9964
LTU,5019312.571
LUX,482992.9562
LVA,1986707.621
MAR,31768642.06
MCO,
MDA,5322336.207
MDG,1175732.529
MDV,148664.5429
MEX,147568825
MHL,28083.60714
MKD,2169270.318
MLI,12953200.2
MLT,352898.1786
MMR,61696115.98
MNE,639090.819
MNG,
MOZ,17589547.56
MRT,1905939.571
MUS,3961262.836
MWI,21825670.9
MYS,132251973.1
NAM,975748.7536
NER,10950396.49
NGA,196946089.6
NIC,9835790.061
NIU,
NLD,36299286.69
NOR,5088050.875
NPL,25247631.95
NRU,
NZL,6349810.786
OMN,2523030.829
PAK,
PAN,
PER,40936797.5
PHL,105728091.9
PLW,
PNG,
POL,62823510.62
PRK,14969634.55
PRT,13285650.75
PRY,
PSE,
QAT,
ROU,
RUS,
RWA,
SAU,
SDN,
SEN,
SGP,
SLB,981915.9821
SLE,
SLV,9780633.125
SMR,
SOM,
SRB,
SSD,
STP,
SUR,
SVK,
SVN,
SWE,
SWZ,
SYC,
SYR,
TCD,5647143.389
TGO,
THA,
TJK,
TKM,5239031.414
TLS,
TON,
TTO,726601.9929
TUN,13002500.07
TUR,118187396.4
TUV,4814.98929
TWN,
TZA,41096062.63
UGA,24977857.48
UKR,98762433.45
URY,2824893.154
USA,658101926.9
UZB,
VCT,
VEN,25680504.14
VNM,
VUT,567223.7571
WSM,304617.4929
XKX,
YEM,8992647.275
ZAF,
ZMB,10479791.31
ZWE,
VAT,
