ID,Value
AFG,
AGO,
ALB,1
AND,1
ARE,1
ARG,1
ARM,1
ATG,1
AUS,1
AUT,1
AZE,1
BDI,
BEL,1
BEN,
BFA,
BGD,1
BGR,1
BHR,1
BHS,1
BIH,1
BLR,1
BLZ,1
BOL,0
BRA,1
BRB,1
BRN,1
BTN,
BWA,1
CAF,
CAN,1
CHE,1
CHL,1
CHN,
CIV,
CMR,
COD,
COG,0
COL,0
COM,0
CPV,1
CRI,1
CUB,1
CYP,1
CZE,1
DEU,1
DJI,
DMA,1
DNK,1
DOM,0
DZA,1
ECU,0
EGY,1
ERI,
ESP,1
EST,1
ETH,
FIN,1
FJI,1
FRA,1
FSM,
GAB,
GBR,1
GEO,1
GHA,0
GIN,
GMB,
GNB,
GNQ,
GRC,1
GRD,1
GTM,1
GUY,1
HND,1
HRV,1
HTI,
HUN,1
IDN,
IND,1
IRL,1
IRN,1
IRQ,0
ISL,1
ISR,1
ITA,1
JAM,1
JOR,0
JPN,1
KAZ,1
KEN,0
KGZ,1
KHM,
KIR,0
KNA,1
KOR,1
KWT,1
LAO,
LBN,1
LBR,
LBY,
LCA,1
LIE,1
LKA,1
LSO,0
LTU,1
LUX,1
LVA,1
MAR,0
MCO,1
MDA,1
MDG,
MDV,1
MEX,1
MHL,
MKD,1
MLI,
MLT,1
MMR,0
MNE,1
MNG,1
MOZ,
MRT,
MUS,1
MWI,0
MYS,1
NAM,0
NER,0
NGA,
NIC,0
NIU,1
NLD,1
NOR,1
NPL,0
NRU,1
NZL,1
OMN,1
PAK,
PAN,1
PER,0
PHL,1
PLW,1
PNG,
POL,1
PRK,
PRT,1
PRY,0
PSE,0
QAT,1
ROU,1
RUS,
RWA,0
SAU,1
SDN,
SEN,0
SGP,1
SLB,
SLE,0
SLV,1
SMR,1
SOM,
SRB,1
SSD,
STP,1
SUR,1
SVK,1
SVN,1
SWE,1
SWZ,0
SYC,1
SYR,
TCD,
TGO,
THA,1
TJK,1
TKM,0
TLS,
TON,
TTO,1
TUN,1
TUR,1
TUV,
TWN,
TZA,0
UGA,
UKR,1
URY,1
USA,1
UZB,1
VCT,1
VEN,1
VNM,
VUT,
WSM,0
XKX,
YEM,0
ZAF,1
ZMB,
ZWE,0
VAT,
