ID,Value
AFG,8
AGO,20
ALB,8
AND,
ARE,1
ARG,39
ARM,2
ATG,
AUS,
AUT,
AZE,
BDI,29
BEL,11
BEN,53
BFA,19
BGD,65
BGR,
BHR,
BHS,
BIH,4
BLR,1
BLZ,81
BOL,18
BRA,27
BRB,
BRN,
BTN,10
BWA,51
CAF,13
CAN,
CHE,
CHL,1
CHN,27
CIV,14
CMR,0
COD,6
COG,10
COL,7
COM,22
CPV,17
CRI,9
CUB,
CYP,19
CZE,6
DEU,
DJI,
DMA,
DNK,
DOM,
DZA,1
ECU,30
EGY,1
ERI,35
ESP,18
EST,
ETH,29
FIN,1
FJI,
FRA,12
FSM,
GAB,16
GBR,
GEO,6
GHA,14
GIN,11
GMB,14
GNB,15
GNQ,19
GRC,16
GRD,
GTM,24
GUY,16
HND,
HRV,
HTI,
HUN,13
IDN,21
IND,30
IRL,
IRN,23
IRQ,26
ISL,
ISR,
ITA,13
JAM,
JOR,4
JPN,
KAZ,36
KEN,40
KGZ,24
KHM,33
KIR,
KNA,
KOR,
KWT,64
LAO,
LBN,
LBR,29
LBY,
LCA,
LIE,
LKA,36
LSO,20
LTU,3
LUX,4
LVA,13
MAR,19
MCO,
MDA,29
MDG,30
MDV,
MEX,47
MHL,
MKD,
MLI,3
MLT,
MMR,23
MNE,6
MNG,13
MOZ,
MRT,3
MUS,27
MWI,17
MYS,16
NAM,19
NER,7
NGA,32
NIC,
NIU,
NLD,
NOR,
NPL,
NRU,
NZL,
OMN,7
PAK,5
PAN,14
PER,
PHL,38
PLW,
PNG,21
POL,5
PRK,
PRT,32
PRY,52
PSE,15
QAT,6
ROU,2
RUS,6
RWA,12
SAU,4
SDN,12
SEN,6
SGP,
SLB,
SLE,18
SLV,16
SMR,
SOM,23
SRB,6
SSD,
STP,
SUR,21
SVK,4
SVN,5
SWE,
SWZ,13
SYC,
SYR,
TCD,34
TGO,12
THA,21
TJK,97
TKM,22
TLS,
TON,
TTO,
TUN,13
TUR,9
TUV,
TWN,
TZA,
UGA,22
UKR,25
URY,26
USA,
UZB,29
VCT,
VEN,15
VNM,31
VUT,
WSM,
XKX,
YEM,
ZAF,78
ZMB,7
ZWE,36
VAT,
