ID,Value
AFG,
AGO,52
ALB,
AND,
ARE,
ARG,
ARM,0
ATG,
AUS,
AUT,0
AZE,0
BDI,
BEL,
BEN,
BFA,
BGD,
BGR,0
BHR,
BHS,
BIH,
BLR,
BLZ,
BOL,
BRA,
BRB,
BRN,
BTN,21
BWA,7
CAF,
CAN,
CHE,0
CHL,0
CHN,
CIV,
CMR,
COD,
COG,
COL,50
COM,
CPV,1
CRI,41
CUB,
CYP,0
CZE,
DEU,0
DJI,
DMA,
DNK,0
DOM,
DZA,
ECU,73
EGY,0
ERI,
ESP,
EST,
ETH,
FIN,
FJI,
FRA,
FSM,
GAB,
GBR,
GEO,
GHA,
GIN,0
GMB,
GNB,0
GNQ,3
GRC,
GRD,
GTM,9
GUY,
HND,
HRV,144
HTI,
HUN,
IDN,
IND,
IRL,2
IRN,
IRQ,
ISL,
ISR,
ITA,
JAM,
JOR,57
JPN,
KAZ,0
KEN,13
KGZ,
KHM,6
KIR,
KNA,
KOR,1
KWT,0
LAO,
LBN,
LBR,
LBY,
LCA,
LIE,
LKA,11
LSO,
LTU,
LUX,
LVA,
MAR,
MCO,
MDA,
MDG,
MDV,0
MEX,2
MHL,
MKD,
MLI,
MLT,
MMR,66
MNE,
MNG,
MOZ,11
MRT,
MUS,
MWI,0
MYS,135
NAM,
NER,
NGA,
NIC,
NIU,
NLD,
NOR,0
NPL,
NRU,
NZL,21
OMN,
PAK,
PAN,0
PER,
PHL,
PLW,
PNG,
POL,
PRK,
PRT,0
PRY,0
PSE,
QAT,
ROU,
RUS,
RWA,
SAU,
SDN,
SEN,
SGP,
SLB,
SLE,
SLV,
SMR,
SOM,0
SRB,0
SSD,
STP,
SUR,
SVK,0
SVN,0
SWE,0
SWZ,4
SYC,
SYR,
TCD,
TGO,
THA,
TJK,
TKM,
TLS,1
TON,
TTO,
TUN,
TUR,0
TUV,
TWN,
TZA,
UGA,1
UKR,2
URY,
USA,
UZB,0
VCT,
VEN,
VNM,
VUT,
WSM,
XKX,
YEM,
ZAF,0
ZMB,
ZWE,
VAT,
