ID,Value
AFG,2.457705002
AGO,3.605959068
ALB,2.886611482
AND,
ARE,5.080419658
ARG,4.340101621
ARM,5.382442932
ATG,3.891629265
AUS,5.031155464
AUT,3.608376708
AZE,3.730140783
BDI,7.722184375
BEL,4.741274111
BEN,9.07481537
BFA,6.03244507
BGD,3.139805024
BGR,6.384174926
BHR,9.785209771
BHS,4.033472108
BIH,8.723512471
BLR,6.470068165
BLZ,5.106705462
BOL,4.948243093
BRA,4.130221394
BRB,3.78336014
BRN,3.6522582
BTN,10.40792258
BWA,3.351028055
CAF,8.103724765
CAN,7.341491418
CHE,2.194576273
CHL,3.776851218
CHN,6.690069702
CIV,7.235900982
CMR,4.777529662
COD,20.937
COG,4.01614201
COL,2.258013702
COM,4.691372991
CPV,2.772725823
CRI,2.878981863
CUB,2.107222144
CYP,3.274623243
CZE,5.507708699
DEU,3.603094155
DJI,3.411896622
DMA,3.608517112
DNK,2.606949617
DOM,2.452040245
DZA,4.132702365
ECU,3.623227326
EGY,3.51107011
ERI,4.828972556
ESP,3.327359042
EST,6.317018358
ETH,13.66926417
FIN,6.365684433
FJI,4.853864716
FRA,4.101853699
FSM,6.587446613
GAB,6.536376969
GBR,3.017314468
GEO,5.780135919
GHA,3.745240322
GIN,10.61603851
GMB,4.498080953
GNB,12.01927215
GNQ,2.214436859
GRC,3.72312235
GRD,2.971628839
GTM,4.483455863
GUY,6.36286668
HND,6.152413251
HRV,4.053076043
HTI,10.11189212
HUN,4.318311506
IDN,3.525222674
IND,4.730910449
IRL,1.94829341
IRN,7.794116299
IRQ,3.716267081
ISL,16.5574956
ISR,3.590584397
ITA,3.072198971
JAM,5.207201442
JOR,4.642661425
JPN,3.742386169
KAZ,7.922852451
KEN,7.845690551
KGZ,8.642848441
KHM,5.769537723
KIR,4.137459979
KNA,2.560599732
KOR,6.548053372
KWT,5.316793252
LAO,5.17189025
LBN,4.17764316
LBR,25.99234268
LBY,4.208260941
LCA,3.186267394
LIE,
LKA,2.06413179
LSO,9.7240285
LTU,3.859307269
LUX,2.872757905
LVA,3.914124071
MAR,3.154526918
MCO,
MDA,8.392266857
MDG,5.366858454
MDV,3.842835874
MEX,3.738523429
MHL,11.34686242
MKD,4.226567457
MLI,2.826419424
MLT,1.808454095
MMR,3.124188904
MNE,4.446375577
MNG,6.095249071
MOZ,17.31057452
MRT,3.586048384
MUS,2.550863415
MWI,4.084778354
MYS,4.682205136
NAM,3.260718505
NER,6.949819287
NGA,5.679560705
NIC,5.429633179
NIU,
NLD,3.936630335
NOR,3.753460068
NPL,7.423828804
NRU,4.365009694
NZL,5.423574888
OMN,6.30342699
PAK,4.422162716
PAN,2.173534444
PER,2.790988421
PHL,3.12231564
PLW,10.23860715
PNG,9.283181838
POL,4.135685203
PRK,
PRT,3.344354013
PRY,3.952608021
PSE,
QAT,6.402925539
ROU,3.52
RUS,8.413217751
RWA,4.884855418
SAU,5.798652183
SDN,3.956806753
SEN,4.976766802
SGP,2.394855513
SLB,5.017832858
SLE,6.996643751
SLV,3.649268953
SMR,
SOM,
SRB,6.55752524
SSD,1.08609817
STP,4.663174066
SUR,3.394167702
SVK,4.478552766
SVN,4.582203127
SWE,4.269061194
SWZ,4.611645818
SYC,2.641402995
SYR,4.025233106
TCD,2.78131878
TGO,14.33932667
THA,5.411958252
TJK,5.010324752
TKM,13.86409096
TLS,
TON,3.028574128
TTO,19.08907174
TUN,3.775394242
TUR,2.946746679
TUV,3.910997784
TWN,
TZA,8.344200905
UGA,9.640117484
UKR,11.79319991
URY,3.093003656
USA,5.40839254
UZB,9.993375387
VCT,2.927983809
VEN,4.723961089
VNM,5.944876024
VUT,3.865568055
WSM,5.212621934
XKX,
YEM,2.050356491
ZAF,8.69932535
ZMB,7.343625415
ZWE,15.80389705
VAT,
