ID,Value
AFG,2668629
AGO,4490003
ALB,2889145
AND,
ARE,53151910
ARG,46881150
ARM,733797.1
ATG,135670.4
AUS,300595400
AUT,53887390
AZE,7494887
BDI,221029.8
BEL,41062620
BEN,440667.2
BFA,720925.1
BGD,26597710
BGR,1137040
BHR,6671050
BHS,775263.4
BIH,8513513
BLR,70002.5
BLZ,251757.2
BOL,2329126
BRA,260572500
BRB,414285.1
BRN,819271
BTN,376217.5
BWA,5126696
CAF,110057.9
CAN,281731700
CHE,37310210
CHL,37949930
CHN,3796788000
CIV,2321912
CMR,1735513
COD,2462976
COG,785318
COL,148688100
COM,
CPV,180905
CRI,2798200
CUB,6831499
CYP,2845567
CZE,
DEU,463369000
DJI,148271.9
DMA,
DNK,24642710
DOM,3460931
DZA,10139360
ECU,25964210
EGY,37487510
ERI,103201.7
ESP,252569500
EST,16691930
ETH,
FIN,59167680
FJI,466728.6
FRA,302997300
FSM,
GAB,1044182
GBR,253455100
GEO,4696496
GHA,5737616
GIN,432067.3
GMB,100853.6
GNB,
GNQ,
GRC,108103900
GRD,
GTM,2914002
GUY,16107400
HND,1526095
HRV,8235529
HTI,403427.9
HUN,39371790
IDN,241573800
IND,764884500
IRL,12003070
IRN,299847900
IRQ,21791000
ISL,1541463
ISR,20185180
ITA,251112700
JAM,1245441
JOR,4217261
JPN,51341020
KAZ,88051960
KEN,6339036
KGZ,10775160
KHM,1808049
KIR,
KNA,
KOR,391078500
KWT,58067940
LAO,1553788
LBN,5077420
LBR,107959.6
LBY,1976618
LCA,
LIE,
LKA,5552478
LSO,601473.2
LTU,27697880
LUX,7830057
LVA,7559405
MAR,6452222
MCO,
MDA,45147.05
MDG,1100292
MDV,383728.9
MEX,150275200
MHL,
MKD,
MLI,573327.1
MLT,1347449
MMR,2984860
MNE,2193233
MNG,8984215
MOZ,11338680
MRT,668571.4
MUS,2299168
MWI,890333.3
MYS,113850600
NAM,2502036
NER,1378579
NGA,16550970
NIC,656610.4
NIU,
NLD,73517200
NOR,59588180
NPL,1821083
NRU,
NZL,17735380
OMN,7383060
PAK,31513280
PAN,3021373
PER,28084570
PHL,39536800
PLW,
PNG,1129221
POL,130442100
PRK,2178193
PRT,33941140
PRY,2465477
PSE,
QAT,5372453
ROU,88007080
RUS,169778000
RWA,583129.5
SAU,56242620
SDN,
SEN,1148961
SGP,89728470
SLB,
SLE,320068.8
SLV,1858665
SMR,
SOM,57051.35
SRB,
SSD,3850795
STP,70106.86
SUR,1090508
SVK,88122280
SVN,10537580
SWE,45308800
SWZ,1684221
SYC,231893.1
SYR,3236750
TCD,3932248
TGO,353438.1
THA,146150000
TJK,2082696
TKM,6444379
TLS,
TON,
TTO,1238881
TUN,5358110
TUR,240314800
TUV,
TWN,
TZA,2556563
UGA,1781280
UKR,81401620
URY,3904357
USA,2743056000
UZB,26858710
VCT,
VEN,21261450
VNM,49897900
VUT,107762.4
WSM,78760.26
XKX,
YEM,2542973
ZAF,103903700
ZMB,1970332
ZWE,1118612
VAT,
