ID,Value
AFG,
AGO,
ALB,
AND,
ARE,
ARG,
ARM,1
ATG,0
AUS,0
AUT,0
AZE,
BDI,
BEL,
BEN,
BFA,
BGD,1
BGR,1
BHR,
BHS,
BIH,1
BLR,0
BLZ,
BOL,
BRA,
BRB,
BRN,
BTN,
BWA,1
CAF,
CAN,0
CHE,
CHL,0
CHN,0
CIV,
CMR,
COD,1
COG,
COL,1
COM,1
CPV,
CRI,
CUB,
CYP,0
CZE,0
DEU,0
DJI,1
DMA,
DNK,0
DOM,
DZA,1
ECU,0
EGY,1
ERI,
ESP,0
EST,1
ETH,
FIN,0
FJI,
FRA,0
FSM,
GAB,
GBR,
GEO,0
GHA,
GIN,
GMB,
GNB,
GNQ,
GRC,
GRD,
GTM,
GUY,
HND,
HRV,
HTI,
HUN,1
IDN,
IND,
IRL,0
IRN,
IRQ,
ISL,
ISR,0
ITA,
JAM,1
JOR,
JPN,1
KAZ,
KEN,
KGZ,
KHM,1
KIR,
KNA,1
KOR,0
KWT,
LAO,
LBN,
LBR,0
LBY,
LCA,
LIE,
LKA,0
LSO,
LTU,0
LUX,
LVA,
MAR,0
MCO,
MDA,
MDG,
MDV,1
MEX,0
MHL,
MKD,
MLI,1
MLT,
MMR,
MNE,
MNG,1
MOZ,
MRT,1
MUS,0
MWI,
MYS,
NAM,
NER,1
NGA,
NIC,
NIU,
NLD,0
NOR,0
NPL,1
NRU,
NZL,0
OMN,
PAK,0
PAN,
PER,
PHL,
PLW,
PNG,
POL,0
PRK,
PRT,1
PRY,
PSE,1
QAT,
ROU,
RUS,
RWA,
SAU,
SDN,
SEN,1
SGP,0
SLB,
SLE,
SLV,
SMR,
SOM,
SRB,
SSD,
STP,
SUR,
SVK,0
SVN,1
SWE,0
SWZ,1
SYC,
SYR,
TCD,1
TGO,1
THA,
TJK,1
TKM,
TLS,1
TON,
TTO,
TUN,
TUR,1
TUV,
TWN,
TZA,
UGA,
UKR,0
URY,0
USA,
UZB,1
VCT,
VEN,
VNM,
VUT,0
WSM,
XKX,
YEM,
ZAF,0
ZMB,
ZWE,1
VAT,
