ID,Value
AFG,25.14421099
AGO,67.913802
ALB,
AND,
ARE,16516.676
ARG,306.2585685
ARM,
ATG,0.322269
AUS,1982.586171
AUT,391.268
AZE,751.1431297
BDI,
BEL,1513.990699
BEN,
BFA,0.022108182
BGD,61.74997781
BGR,2.537
BHR,390.39
BHS,0.173580024
BIH,
BLR,1.67
BLZ,3.746059438
BOL,8.457145242
BRA,1736.549227
BRB,
BRN,132.612
BTN,0.812012037
BWA,
CAF,
CAN,2840.985135
CHE,1581.353512
CHL,1237.960141
CHN,23323.6147
CIV,1.365902441
CMR,
COD,
COG,4.597160619
COL,1140.716247
COM,
CPV,
CRI,10.552031
CUB,25.354
CYP,0.336319502
CZE,27.81465
DEU,7391.227907
DJI,
DMA,
DNK,
DOM,
DZA,24.80375
ECU,57.68029
EGY,430.1466986
ERI,
ESP,1065.723486
EST,
ETH,2076.18502
FIN,852.01263
FJI,102.59573
FRA,4260.597
FSM,
GAB,
GBR,5917.239431
GEO,0.260497202
GHA,0.761415383
GIN,
GMB,
GNB,
GNQ,0.418783315
GRC,23.503
GRD,
GTM,0.546373
GUY,
HND,0.09576777
HRV,0.58275
HTI,
HUN,
IDN,1056.044519
IND,2407.32062
IRL,147.635
IRN,175.8217537
IRQ,1.303085898
ISL,158.0638403
ISR,912.898
ITA,1405.5996
JAM,2.83938
JOR,158.95506
JPN,10684.574
KAZ,49.30499
KEN,254.3541596
KGZ,0.023618181
KHM,0.876
KIR,
KNA,
KOR,11002.204
KWT,304.1742952
LAO,1.473259309
LBN,53.387
LBR,
LBY,1.236961352
LCA,
LIE,
LKA,398.6050522
LSO,
LTU,0.472
LUX,7321.11217
LVA,2.832
MAR,74.08516384
MCO,
MDA,0.55191
MDG,15.02506
MDV,7.745645613
MEX,928.835517
MHL,0.71509104
MKD,
MLI,
MLT,2.63621
MMR,5.48660525
MNE,0.1119
MNG,8.36736
MOZ,3.92877
MRT,
MUS,196.047
MWI,0.010879737
MYS,1261.63678
NAM,22.206886
NER,
NGA,22.00154607
NIC,
NIU,
NLD,5697.729681
NOR,
NPL,6.029156136
NRU,7.939983827
NZL,1335.953205
OMN,435.4842252
PAK,249.87158
PAN,127.0454634
PER,315.88617
PHL,756.9424753
PLW,
PNG,29.23131708
POL,221.814
PRK,0.251493238
PRT,421.833535
PRY,1.853263636
PSE,
QAT,10970.08988
ROU,2.8045
RUS,6845.22951
RWA,
SAU,867.640758
SDN,5.666656141
SEN,0.041650904
SGP,7006.894789
SLB,3.842515754
SLE,
SLV,13.765785
SMR,
SOM,
SRB,7.355192
SSD,
STP,
SUR,23.184
SVK,
SVN,0.5664
SWE,
SWZ,
SYC,29.345
SYR,0.025670514
TCD,
TGO,8.56582776
THA,2393.315072
TJK,3.95072563
TKM,5.956432706
TLS,
TON,
TTO,37.428
TUN,12.15
TUR,4800.237745
TUV,
TWN,
TZA,0.384891357
UGA,0.021921439
UKR,59.67745059
URY,
USA,41591.55177
UZB,126.79762
VCT,
VEN,1.906885158
VNM,453.34954
VUT,2.28
WSM,0.020483105
XKX,
YEM,
ZAF,833.9309475
ZMB,81.55760965
ZWE,0.665035317
VAT,
