ID,Value
AFG,
AGO,
ALB,
AND,
ARE,
ARG,
ARM,
ATG,
AUS,
AUT,
AZE,
BDI,
BEL,
BEN,
BFA,
BGD,
BGR,2364.37
BHR,
BHS,
BIH,1139.22
BLR,41107
BLZ,
BOL,
BRA,
BRB,
BRN,
BTN,
BWA,
CAF,
CAN,
CHE,8668.06
CHL,
CHN,1920285
CIV,
CMR,
COD,174
COG,
COL,
COM,
CPV,
CRI,
CUB,
CYP,
CZE,10949
DEU,
DJI,
DMA,
DNK,
DOM,
DZA,
ECU,
EGY,
ERI,
ESP,6599.19
EST,
ETH,
FIN,9445
FJI,
FRA,
FSM,
GAB,
GBR,
GEO,
GHA,
GIN,
GMB,
GNB,
GNQ,
GRC,
GRD,
GTM,
GUY,
HND,
HRV,1871
HTI,
HUN,
IDN,
IND,
IRL,
IRN,27243
IRQ,
ISL,
ISR,
ITA,
JAM,
JOR,
JPN,
KAZ,188159
KEN,
KGZ,807
KHM,
KIR,
KNA,
KOR,
KWT,
LAO,
LBN,
LBR,
LBY,
LCA,
LIE,
LKA,
LSO,
LTU,13790
LUX,
LVA,11838
MAR,
MCO,
MDA,793
MDG,
MDV,
MEX,
MHL,
MKD,
MLI,
MLT,
MMR,
MNE,
MNG,12371
MOZ,
MRT,
MUS,
MWI,
MYS,
NAM,
NER,
NGA,
NIC,
NIU,
NLD,
NOR,
NPL,
NRU,
NZL,
OMN,
PAK,
PAN,
PER,
PHL,
PLW,
PNG,
POL,
PRK,
PRT,
PRY,
PSE,
QAT,
ROU,8587
RUS,2342589.5
RWA,
SAU,
SDN,
SEN,
SGP,
SLB,
SLE,
SLV,
SMR,
SOM,
SRB,3086.6
SSD,
STP,
SUR,
SVK,7072
SVN,3962.63
SWE,
SWZ,
SYC,
SYR,
TCD,
TGO,
THA,
TJK,228.3
TKM,13327
TLS,
TON,
TTO,
TUN,
TUR,10773
TUV,
TWN,
TZA,
UGA,
UKR,187557
URY,
USA,
UZB,22937
VCT,
VEN,
VNM,3190
VUT,
WSM,
XKX,
YEM,
ZAF,
ZMB,
ZWE,
VAT,
