ID,Value
AFG,9.50743
AGO,3.89201
ALB,6.6907
AND,
ARE,12.6112
ARG,26.00065
ARM,3.66358
ATG,
AUS,28.17006
AUT,45.93115
AZE,13.70048
BDI,2.57019
BEL,49.46894
BEN,
BFA,
BGD,9.46513
BGR,29.97093
BHR,24.41092
BHS,27.77352
BIH,17.54684
BLR,37.98758
BLZ,18.45982
BOL,11.67377
BRA,35.15962
BRB,38.1108
BRN,3.31993
BTN,
BWA,16.50533
CAF,9.24599
CAN,30.573
CHE,63.04285
CHL,13.67477
CHN,41.3831
CIV,14.9898
CMR,7.61196
COD,
COG,2.41532
COL,20.93503
COM,
CPV,27.1
CRI,23.06358
CUB,
CYP,22.7083
CZE,50.50889
DEU,61.39604
DJI,
DMA,
DNK,53.37593
DOM,
DZA,9.14079
ECU,10.27145
EGY,14.20161
ERI,7.58271
ESP,40.23922
EST,28.80685
ETH,16.0807
FIN,44.53184
FJI,7.13375
FRA,49.37521
FSM,
GAB,5.38501
GBR,47.3672
GEO,15.71392
GHA,0.80248
GIN,
GMB,3.89841
GNB,
GNQ,
GRC,20.92939
GRD,
GTM,22.40264
GUY,
HND,7.16346
HRV,29.93581
HTI,5.25966
HUN,58.78406
IDN,35.07801
IND,37.90834
IRL,61.01838
IRN,39.79037
IRQ,7.24055
ISL,16.56649
ISR,42.81039
ITA,42.73488
JAM,
JOR,
JPN,
KAZ,
KEN,
KGZ,
KHM,0.25953
KIR,
KNA,
KOR,
KWT,
LAO,
LBN,
LBR,
LBY,
LCA,7.82918
LIE,
LKA,6.67864
LSO,
LTU,23.1376
LUX,21.26272
LVA,
MAR,27.771992
MCO,
MDA,18.76169
MDG,3.55612
MDV,2.63332
MEX,39.75946
MHL,
MKD,15.34829
MLI,
MLT,19.18471
MMR,6.63349
MNE,16.06409
MNG,6.66123
MOZ,10.88764
MRT,
MUS,8.86146
MWI,11.34466
MYS,42.56112
NAM,7.34891
NER,22.69635
NGA,33.43626
NIC,
NIU,
NLD,48.19406
NOR,46.05935
NPL,8.59861
NRU,
NZL,17.24929
OMN,19.91652
PAK,24.61547
PAN,6.1909
PER,14.72362
PHL,45.94906
PLW,
PNG,12.60966
POL,35.44946
PRK,
PRT,25.74003
PRY,21.92448
PSE,2.20293
QAT,66.87335
ROU,40.76672
RUS,24.483122
RWA,6.6581
SAU,35.40971
SDN,
SEN,21.6468
SGP,80.37858
SLB,
SLE,
SLV,19.12749
SMR,
SOM,
SRB,23.91125
SSD,
STP,
SUR,11.61951
SVK,48.18677
SVN,48.65158
SWE,48.92328
SWZ,1.65484
SYC,
SYR,21.51935
TCD,
TGO,
THA,40.7085
TJK,2.49364
TKM,
TLS,
TON,1.61035
TTO,39.5985
TUN,20.01469
TUR,29.86227
TUV,
TWN,
TZA,6.82976
UGA,11.06716
UKR,30.36311
URY,15.28891
USA,41.16643
UZB,
VCT,
VEN,34.28247
VNM,40.36346
VUT,
WSM,
XKX,
YEM,2.06496
ZAF,24.42803
ZMB,21.08268
ZWE,
VAT,
