ID,Value
AFG,9.51
AGO,3.37
ALB,6.69
AND,
ARE,25.46
ARG,26
ARM,4.51
ATG,
AUS,27.03
AUT,45.65
AZE,20.28
BDI,2.57
BEL,49.51
BEN,
BFA,
BGD,9.76
BGR,29.73
BHR,22.17
BHS,27.77
BIH,18.41
BLR,40.56
BLZ,18.46
BOL,11.67
BRA,35.39
BRB,38.11
BRN,3.32
BTN,
BWA,5.77
CAF,9.25
CAN,30.57
CHE,64.57
CHL,17.84
CHN,41.45
CIV,14.99
CMR,7.61
COD,
COG,2.42
COL,22.78
COM,
CPV,27.1
CRI,20.82
CUB,
CYP,25.39
CZE,52.4
DEU,61.45
DJI,
DMA,
DNK,54.22
DOM,
DZA,2.69
ECU,12.07
EGY,13.98
ERI,4.31
ESP,39.85
EST,27.81
ETH,16.07
FIN,41.39
FJI,7.13
FRA,50.08
FSM,
GAB,5.39
GBR,45.43
GEO,11.52
GHA,0.8
GIN,
GMB,3.9
GNB,
GNQ,
GRC,20.92
GRD,
GTM,22.4
GUY,
HND,7.16
HRV,30.77
HTI,5.26
HUN,59.72
IDN,35.08
IND,38.76
IRL,54.35
IRN,45.17
IRQ,8.92
ISL,13.05
ISR,42.4
ITA,42.93
JAM,18.77
JOR,26.3
JPN,56.21
KAZ,14.2
KEN,15.03
KGZ,2.96
KHM,0.26
KIR,
KNA,
KOR,63.66
KWT,29.27
LAO,13.58
LBN,19.95
LBR,
LBY,
LCA,7.83
LIE,7.57
LKA,
LSO,
LTU,27.9
LUX,22
LVA,21.52
MAR,27.75
MCO,
MDA,16.38
MDG,3.56
MDV,2.63
MEX,41.61
MHL,
MKD,23.03
MLI,
MLT,32.53
MMR,6.63
MNE,14.86
MNG,5.55
MOZ,10.89
MRT,
MUS,9.78
MWI,11.34
MYS,44.12
NAM,7.35
NER,1.79
NGA,33.44
NIC,
NIU,
NLD,48.86
NOR,39.82
NPL,8.38
NRU,
NZL,18.53
OMN,21.94
PAK,24.62
PAN,6.22
PER,15.91
PHL,44.68
PLW,
PNG,12.61
POL,35.43
PRK,
PRT,25.61
PRY,21.92
PSE,2.52
QAT,54.17
ROU,42.53
RUS,30.27
RWA,6.66
SAU,37.89
SDN,
SEN,21.65
SGP,78.13
SLB,
SLE,
SLV,19.13
SMR,
SOM,
SRB,26.35
SSD,
STP,
SUR,11.62
SVK,51.38
SVN,37.47
SWE,53.01
SWZ,1.65
SYC,
SYR,21.52
TCD,
TGO,
THA,40.71
TJK,2.19
TKM,
TLS,
TON,1.61
TTO,39.6
TUN,33.65
TUR,31.45
TUV,
TWN,
TZA,6.83
UGA,11.07
UKR,30.36
URY,15.29
USA,47.77
UZB,
VCT,
VEN,34.28
VNM,37.77
VUT,
WSM,
XKX,
YEM,2.06
ZAF,24.43
ZMB,21.08
ZWE,21.82
VAT,
