ID,Value
AFG,
AGO,
ALB,4
AND,
ARE,
ARG,3
ARM,
ATG,3
AUS,5
AUT,5
AZE,
BDI,
BEL,5
BEN,5
BFA,1
BGD,3
BGR,5
BHR,
BHS,4
BIH,
BLR,
BLZ,4
BOL,
BRA,
BRB,
BRN,
BTN,
BWA,
CAF,
CAN,5
CHE,
CHL,5
CHN,
CIV,4
CMR,1
COD,
COG,
COL,
COM,
CPV,4
CRI,
CUB,5
CYP,5
CZE,5
DEU,5
DJI,
DMA,
DNK,5
DOM,3
DZA,
ECU,4
EGY,
ERI,
ESP,5
EST,5
ETH,
FIN,5
FJI,5
FRA,5
FSM,3
GAB,
GBR,5
GEO,2
GHA,4
GIN,5
GMB,4
GNB,
GNQ,
GRC,5
GRD,
GTM,4
GUY,2
HND,3
HRV,5
HTI,
HUN,5
IDN,4
IND,
IRL,5
IRN,3
IRQ,
ISL,5
ISR,
ITA,5
JAM,2
JOR,
JPN,5
KAZ,
KEN,
KGZ,1
KHM,
KIR,
KNA,
KOR,5
KWT,
LAO,
LBN,1
LBR,
LBY,2
LCA,
LIE,
LKA,5
LSO,
LTU,5
LUX,5
LVA,5
MAR,5
MCO,
MDA,
MDG,4
MDV,3
MEX,4
MHL,
MKD,
MLI,1
MLT,5
MMR,3
MNE,
MNG,
MOZ,
MRT,4
MUS,
MWI,2
MYS,3
NAM,5
NER,
NGA,
NIC,3
NIU,
NLD,
NOR,4
NPL,
NRU,
NZL,5
OMN,4
PAK,3
PAN,
PER,3
PHL,5
PLW,2
PNG,
POL,5
PRK,
PRT,5
PRY,
PSE,
QAT,
ROU,5
RUS,4
RWA,
SAU,
SDN,2
SEN,5
SGP,
SLB,4
SLE,
SLV,3
SMR,
SOM,3
SRB,
SSD,
STP,3
SUR,2
SVK,5
SVN,5
SWE,5
SWZ,
SYC,4
SYR,
TCD,
TGO,
THA,5
TJK,2
TKM,
TLS,
TON,3
TTO,1
TUN,
TUR,4
TUV,
TWN,
TZA,5
UGA,
UKR,
URY,5
USA,
UZB,
VCT,
VEN,2
VNM,4
VUT,4
WSM,
XKX,
YEM,
ZAF,
ZMB,
ZWE,
VAT,
