ID,Value
AFG,0
AGO,0
ALB,0
AND,0
ARE,0
ARG,527.632
ARM,0
ATG,0
AUS,8898.983
AUT,3126.375
AZE,0
BDI,0
BEL,323.694
BEN,0
BFA,0
BGD,0
BGR,1483.382
BHR,0
BHS,0
BIH,1654.459
BLR,9354.756
BLZ,197.122
BOL,981.862
BRA,6905.47
BRB,0
BRN,0
BTN,0
BWA,0
CAF,0
CAN,170985.027
CHE,606.235
CHL,2328.289
CHN,7589.198
CIV,0
CMR,411.976
COD,0
COG,2410.693
COL,150.037
COM,0
CPV,0
CRI,39.429
CUB,0
CYP,0
CZE,1834.698
DEU,7760.405
DJI,0
DMA,0
DNK,268.937
DOM,0.365
DZA,0
ECU,57.466
EGY,0
ERI,0
ESP,2314.735
EST,1602.172
ETH,0
FIN,18161.432
FJI,85.385
FRA,8017.654
FSM,0
GAB,2042.616
GBR,1603.877
GEO,0
GHA,12.147
GIN,0
GMB,0
GNB,0
GNQ,0
GRC,0
GRD,0
GTM,503.745
GUY,371.68
HND,17.815
HRV,2048.517
HTI,0
HUN,304.118
IDN,6786.685
IND,521.678
IRL,446.873
IRN,0
IRQ,0
ISL,0
ISR,0
ITA,818.266
JAM,0
JOR,0
JPN,
KAZ,0
KEN,0
KGZ,0.312
KHM,7.896
KIR,0
KNA,0
KOR,337.616
KWT,0
LAO,18.01
LBN,0
LBR,0
LBY,0
LCA,0
LIE,0
LKA,17.03
LSO,0
LTU,1140.24
LUX,41.395
LVA,1898.679
MAR,0
MCO,0
MDA,0
MDG,1.298
MDV,0
MEX,1205.334
MHL,0
MKD,0
MLI,0
MLT,0
MMR,0
MNE,0
MNG,0
MOZ,50.753
MRT,0
MUS,0
MWI,0
MYS,5011.183
NAM,212.009
NER,0
NGA,0
NIC,22.903
NIU,0
NLD,171.235
NOR,7380.75
NPL,0
NRU,0
NZL,1283.361
OMN,
PAK,0
PAN,22.501
PER,805.831
PHL,0
PLW,0
PNG,37.575
POL,7169.08
PRK,0
PRT,424.73
PRY,41.686
PSE,0
QAT,0
ROU,2728.308
RUS,48846.021
RWA,0
SAU,0
SDN,0
SEN,0
SGP,0
SLB,39.406
SLE,3.137
SLV,0
SMR,0
SOM,0
SRB,963.228
SSD,0
STP,0
SUR,46.325
SVK,1284.013
SVN,301.082
SWE,16853.029
SWZ,123.497
SYC,0
SYR,0
TCD,0
TGO,0
THA,56.877
TJK,0
TKM,0
TLS,0
TON,0
TTO,0
TUN,0
TUR,2396.877
TUV,0
TWN,
TZA,221.749
UGA,41.321
UKR,4092.677
URY,41.321
USA,4092.677
UZB,0
VCT,0
VEN,16.752
VNM,227.386
VUT,0
WSM,0
XKX,
YEM,0
ZAF,1472.629
ZMB,0
ZWE,0
VAT,
