ID,Value
AFG,
AGO,
ALB,2.7
AND,
ARE,0.9
ARG,5.9
ARM,3
ATG,
AUS,0.9
AUT,0.7
AZE,2.1
BDI,6
BEL,
BEN,
BFA,
BGD,
BGR,1.1
BHR,
BHS,28.4
BIH,1.3
BLR,
BLZ,37.6
BOL,6.3
BRA,29.5
BRB,
BRN,
BTN,1.1
BWA,
CAF,19.8
CAN,1.7
CHE,0.5
CHL,3.5
CHN,0.6
CIV,
CMR,
COD,
COG,
COL,25.5
COM,
CPV,11.5
CRI,11.9
CUB,5
CYP,1.1
CZE,0.6
DEU,1.2
DJI,
DMA,
DNK,1
DOM,15.2
DZA,
ECU,5.9
EGY,
ERI,
ESP,0.6
EST,
ETH,
FIN,1.4
FJI,
FRA,1.4
FSM,
GAB,
GBR,1.2
GEO,1
GHA,
GIN,
GMB,
GNB,
GNQ,
GRC,0.8
GRD,10.2
GTM,27.3
GUY,18.4
HND,56.5
HRV,1
HTI,
HUN,2.1
IDN,0.5
IND,3.2
IRL,0.8
IRN,
IRQ,
ISL,0.3
ISR,
ITA,0.7
JAM,47
JOR,1.5
JPN,0.3
KAZ,
KEN,4.9
KGZ,4.5
KHM,
KIR,
KNA,
KOR,0.7
KWT,
LAO,
LBN,4
LBR,
LBY,
LCA,
LIE,
LKA,2.5
LSO,
LTU,5.2
LUX,
LVA,
MAR,
MCO,
MDA,
MDG,
MDV,
MEX,19.3
MHL,
MKD,
MLI,
MLT,
MMR,2.3
MNE,4.5
MNG,5.7
MOZ,
MRT,
MUS,1.8
MWI,
MYS,
NAM,
NER,
NGA,
NIC,7.4
NIU,
NLD,0.6
NOR,0.5
NPL,2.2
NRU,
NZL,
OMN,
PAK,4.4
PAN,9.7
PER,7.7
PHL,11
PLW,
PNG,
POL,0.7
PRK,
PRT,0.6
PRY,
PSE,0.7
QAT,
ROU,1.2
RUS,10.8
RWA,
SAU,
SDN,
SEN,
SGP,0.3
SLB,
SLE,
SLV,82.8
SMR,
SOM,
SRB,1.4
SSD,
STP,
SUR,
SVK,1
SVN,0.5
SWE,1.1
SWZ,
SYC,12.7
SYR,
TCD,
TGO,
THA,3.2
TJK,
TKM,
TLS,
TON,
TTO,
TUN,
TUR,
TUV,
TWN,
TZA,
UGA,
UKR,
URY,7.7
USA,5.4
UZB,
VCT,36.5
VEN,56.3
VNM,
VUT,
WSM,
XKX,
YEM,
ZAF,34
ZMB,
ZWE,
VAT,
