ID,Value
AFG,8801
AGO,123135
ALB,266379
AND,32490
ARE,1297585
ARG,7232053
ARM,299170
ATG,9261
AUS,7374000
AUT,2523300
AZE,1803662
BDI,3945
BEL,4270309
BEN,22285
BFA,12384
BGD,6592396
BGR,1697590
BHR,232210
BHS,83759
BIH,662468
BLR,3067529
BLZ,22000
BOL,287589
BRA,26752564
BRB,92440
BRN,36116
BTN,16489
BWA,59057
CAF,
CAN,13387425
CHE,3792100
CHL,2904580
CHN,322597000
CIV,
CMR,45974
COD,1000
COG,
COL,5912968
COM,2838
CPV,15541
CRI,636087
CUB,14428
CYP,278483
CZE,
DEU,3.20E+07
DJI,27000
DMA,15487
DNK,2430002
DOM,767353
DZA,2859567
ECU,1603738
EGY,4469164
ERI,600
ESP,14112657
EST,396595
ETH,559000
FIN,1712000
FJI,12332
FRA,27664000
FSM,3169
GAB,15018
GBR,25189648
GEO,689594
GHA,86596
GIN,1100
GMB,3750
GNB,721
GNQ,3382
GRC,3615029
GRD,20821
GTM,506000
GUY,57203
HND,220386
HRV,1043795
HTI,1348
HUN,2814524
IDN,5227393
IND,18653312
IRL,1360309
IRN,9318943
IRQ,
ISL,128023
ISR,2258000
ITA,15563279
JAM,286068
JOR,456610
JPN,39805586
KAZ,2349900
KEN,157878
KGZ,240873
KHM,96706
KIR,
KNA,16400
KOR,20555683
KWT,101390
LAO,24426
LBN,1300000
LBR,8000
LBY,168920
LCA,29786
LIE,15935
LKA,892184
LSO,2230
LTU,857761
LUX,203100
LVA,519154
MAR,1255428
MCO,18614
MDA,557403
MDG,26385
MDV,29309
MEX,16045914
MHL,1000
MKD,381531
MLI,21444
MLT,171263
MMR,89686
MNE,114848
MNG,226147
MOZ,46599
MRT,10641
MUS,212600
MWI,8692
MYS,2718800
NAM,64343
NER,27708
NGA,107931
NIC,177024
NIU,
NLD,7183000
NOR,2120360
NPL,224184
NRU,
NZL,1530500
OMN,284647
PAK,1642805
PAN,386693
PER,2120762
PHL,5649411.12
PLW,
PNG,17000
POL,7327918
PRK,
PRT,3375597
PRY,239499
PSE,320500
QAT,253718
ROU,4448990
RUS,27522702
RWA,21721
SAU,3287663
SDN,
SEN,98353
SGP,1461100
SLB,1639
SLE,
SLV,395307
SMR,12000
SOM,92000
SRB,1450958
SSD,150
STP,1425
SUR,71217
SVK,1336541
SVN,588329
SWE,3679768
SWZ,7000
SYC,14035
SYR,1009614
TCD,10470
TGO,44857
THA,7219000
TJK,6000
TKM,4000
TLS,1028
TON,3000
TTO,255579
TUN,641113
TUR,10499692
TUV,1000
TWN,
TZA,1848167
UGA,108259
UKR,5125499
URY,921772
USA,106327000
UZB,2746360
VCT,21865
VEN,2612148
VNM,9089288
VUT,4486
WSM,2169
XKX,
YEM,430400
ZAF,1150770
ZMB,31784
ZWE,170838
VAT,
