ID,Value
AFG,0
AGO,0
ALB,9.30233
AND,
ARE,
ARG,13.04348
ARM,0
ATG,0
AUS,1.5873
AUT,3.84615
AZE,0
BDI,57.14286
BEL,2.7027
BEN,0
BFA,0
BGD,0
BGR,16.21622
BHR,0
BHS,0
BIH,0
BLR,0
BLZ,0
BOL,11.53846
BRA,0
BRB,0
BRN,
BTN,64
BWA,11.11111
CAF,0
CAN,0
CHE,30.76923
CHL,2.08333
CHN,0.49423
CIV,0
CMR,0
COD,0
COG,0
COL,0
COM,0
CPV,
CRI,0
CUB,0
CYP,5.88235
CZE,17.14286
DEU,9.52381
DJI,0
DMA,0
DNK,13.46154
DOM,0
DZA,0
ECU,0
EGY,0
ERI,0
ESP,24.0566
EST,0
ETH,0
FIN,10.81081
FJI,0
FRA,6.66667
FSM,
GAB,0
GBR,4.60993
GEO,0
GHA,0
GIN,0
GMB,
GNB,0
GNQ,
GRC,20
GRD,0
GTM,0
GUY,0
HND,0
HRV,18.42105
HTI,0
HUN,6.45161
IDN,26.11465
IND,0.44843
IRL,7.89474
IRN,0
IRQ,0
ISL,66.66667
ISR,0
ITA,10.20408
JAM,0
JOR,0
JPN,0
KAZ,0
KEN,7.40741
KGZ,0
KHM,0
KIR,0
KNA,0
KOR,8.69565
KWT,
LAO,0
LBN,0
LBR,
LBY,0
LCA,0
LIE,
LKA,27.27273
LSO,0
LTU,0
LUX,0.87719
LVA,0
MAR,0
MCO,
MDA,0
MDG,0
MDV,0
MEX,8.10811
MHL,
MKD,0
MLI,0
MLT,0
MMR,0
MNE,15.38462
MNG,2.43902
MOZ,0
MRT,0
MUS,0
MWI,30.76923
MYS,8.33333
NAM,30
NER,41.66667
NGA,0
NIC,0
NIU,0
NLD,7.40741
NOR,10
NPL,0
NRU,
NZL,0
OMN,0
PAK,0
PAN,0
PER,2.94118
PHL,0
PLW,
PNG,0
POL,12.5
PRK,0
PRT,40
PRY,0
PSE,
QAT,
ROU,0
RUS,0
RWA,0
SAU,0
SDN,
SEN,50
SGP,
SLB,0
SLE,
SLV,0
SMR,
SOM,0
SRB,3.57143
SSD,
STP,0
SUR,0
SVK,7.40741
SVN,1.5873
SWE,5.66038
SWZ,0
SYC,0
SYR,0
TCD,0
TGO,0
THA,21.05263
TJK,0
TKM,0
TLS,
TON,0
TTO,0
TUN,12.5
TUR,19.27711
TUV,0
TWN,
TZA,54.16667
UGA,0
UKR,15.38462
URY,7.14286
USA,5.43478
UZB,0
VCT,
VEN,0
VNM,34.92063
VUT,0
WSM,0
XKX,
YEM,0
ZAF,2.94118
ZMB,0
ZWE,14.28571
VAT,
