ID,Value
AFG,953
AGO,
ALB,4345
AND,
ARE,
ARG,
ARM,6918
ATG,
AUS,222797
AUT,11964
AZE,12712
BDI,
BEL,9304
BEN,
BFA,
BGD,31461
BGR,67510
BHR,
BHS,
BIH,479
BLR,203
BLZ,
BOL,11506
BRA,56288
BRB,
BRN,
BTN,1162
BWA,2992
CAF,
CAN,110363
CHE,39949
CHL,36563
CHN,
CIV,
CMR,
COD,
COG,
COL,
COM,
CPV,
CRI,861
CUB,19123
CYP,1004
CZE,55436
DEU,177387
DJI,
DMA,
DNK,1474
DOM,
DZA,
ECU,28086
EGY,13522
ERI,
ESP,79323
EST,3085
ETH,72510
FIN,657
FJI,
FRA,5950
FSM,
GAB,
GBR,821524
GEO,440
GHA,
GIN,
GMB,
GNB,
GNQ,
GRC,6272
GRD,
GTM,
GUY,1210
HND,
HRV,3423
HTI,
HUN,49367
IDN,
IND,396965
IRL,1421
IRN,
IRQ,
ISL,
ISR,26753
ITA,45185
JAM,
JOR,3985
JPN,93569
KAZ,
KEN,50323
KGZ,
KHM,
KIR,
KNA,
KOR,
KWT,
LAO,
LBN,1959
LBR,
LBY,1778
LCA,
LIE,
LKA,10418
LSO,
LTU,924
LUX,
LVA,
MAR,60028
MCO,
MDA,1211
MDG,8801
MDV,
MEX,61508
MHL,
MKD,2158
MLI,838
MLT,
MMR,12050
MNE,376
MNG,13992
MOZ,
MRT,
MUS,
MWI,3253
MYS,13036
NAM,1890
NER,3628
NGA,
NIC,
NIU,
NLD,25926
NOR,26
NPL,4671
NRU,
NZL,36144
OMN,
PAK,31066
PAN,824
PER,12592
PHL,
PLW,
PNG,
POL,70266
PRK,
PRT,26151
PRY,
PSE,
QAT,
ROU,38071
RUS,200717
RWA,
SAU,
SDN,
SEN,1890
SGP,
SLB,
SLE,
SLV,
SMR,
SOM,
SRB,5475
SSD,
STP,
SUR,
SVK,17043
SVN,1776
SWE,312
SWZ,746
SYC,
SYR,
TCD,
TGO,220
THA,31887
TJK,
TKM,
TLS,
TON,
TTO,
TUN,19999
TUR,14129
TUV,
TWN,
TZA,5825
UGA,5027
UKR,94025
URY,
USA,582149
UZB,
VCT,
VEN,
VNM,
VUT,
WSM,
XKX,
YEM,
ZAF,6190
ZMB,7252
ZWE,
VAT,
