ID,Value
AFG,
AGO,0
ALB,100
AND,
ARE,0
ARG,
ARM,
ATG,
AUS,21.2867
AUT,50.0129
AZE,
BDI,
BEL,53.113
BEN,38.1715
BFA,10.6213
BGD,60.4022
BGR,100
BHR,
BHS,
BIH,
BLR,100
BLZ,
BOL,18.1831
BRA,5.8791
BRB,
BRN,
BTN,9.7876
BWA,
CAF,16.5008
CAN,
CHE,49.8387
CHL,0.0123
CHN,62.119
CIV,61.47
CMR,39.4005
COD,4.2761
COG,24.1712
COL,
COM,
CPV,
CRI,
CUB,81.6725
CYP,61.9302
CZE,100
DEU,67.9668
DJI,
DMA,
DNK,46.6912
DOM,
DZA,88.807
ECU,
EGY,6.2857
ERI,2.6567
ESP,19.1869
EST,69.0122
ETH,
FIN,65.4285
FJI,0.6213
FRA,42.7855
FSM,2.12346
GAB,34.0909
GBR,64.908
GEO,2.1223
GHA,19.6559
GIN,4.9205
GMB,
GNB,7.4184
GNQ,0
GRC,
GRD,
GTM,
GUY,36.3367
HND,20.7242
HRV,77.5521
HTI,
HUN,100
IDN,
IND,44.7102
IRL,77.1313
IRN,
IRQ,
ISL,76.8963
ISR,77.9221
ITA,
JAM,
JOR,
JPN,100
KAZ,
KEN,23.7669
KGZ,89.1592
KHM,
KIR,2.1235
KNA,
KOR,48.875
KWT,
LAO,
LBN,0
LBR,6.1215
LBY,
LCA,
LIE,100
LKA,
LSO,6.8182
LTU,100
LUX,
LVA,100
MAR,19.197
MCO,0.0159
MDA,
MDG,
MDV,
MEX,
MHL,
MKD,91.984
MLI,4.7158
MLT,100
MMR,98.4263
MNE,
MNG,3.6704
MOZ,2.309
MRT,2.1942
MUS,22.8571
MWI,
MYS,92.5939
NAM,8.1756
NER,18.2724
NGA,41.2565
NIC,3.2113
NIU,
NLD,
NOR,46.9647
NPL,41.2541
NRU,
NZL,83.9037
OMN,
PAK,
PAN,2.0917
PER,90.3445
PHL,29.3542
PLW,
PNG,
POL,89.7719
PRK,
PRT,31.2789
PRY,
PSE,
QAT,
ROU,79.2637
RUS,100
RWA,
SAU,
SDN,21.2369
SEN,5.9011
SGP,
SLB,0
SLE,2.7513
SLV,1.0453
SMR,
SOM,
SRB,83.0077
SSD,
STP,
SUR,
SVK,100
SVN,
SWE,100
SWZ,19.0053
SYC,50.9165
SYR,50.9165
TCD,
TGO,
THA,86.343
TJK,5.3659
TKM,
TLS,
TON,22.2222
TTO,63.1625
TUN,51.4911
TUR,100
TUV,
TWN,
TZA,85.4882
UGA,
UKR,91.7053
URY,
USA,67.7859
UZB,100
VCT,
VEN,
VNM,
VUT,
WSM,
XKX,
YEM,0
ZAF,22.7897
ZMB,23.2049
ZWE,5.818
VAT,
