ID,Value
AFG,
AGO,0.004929827142
ALB,2.718
AND,
ARE,11.27035386
ARG,3.796992436
ARM,
ATG,0.1815044734
AUS,40.5594116
AUT,
AZE,0.4369295183
BDI,
BEL,36.65524302
BEN,0
BFA,
BGD,5.3571902
BGR,8.103309945
BHR,1.242239187
BHS,7.922886205
BIH,0
BLR,
BLZ,10.07887523
BOL,
BRA,26.6241067
BRB,0.005846512194
BRN,0.2011020673
BTN,
BWA,
CAF,
CAN,0.8718818532
CHE,
CHL,28.81445067
CHN,5.406831896
CIV,0.07456597695
CMR,3.40964064
COD,0.2364391954
COG,3.211702973
COL,17.06988628
COM,0.02263640276
CPV,0.000676993988
CRI,0.8334474521
CUB,4.324950526
CYP,0.1227155237
CZE,
DEU,45.35739604
DJI,0.1678674597
DMA,0.1052779673
DNK,17.84899253
DOM,17.95790555
DZA,0.08548310259
ECU,13.34617183
EGY,4.951488842
ERI,0
ESP,8.374112639
EST,18.62044238
ETH,
FIN,10.50996336
FJI,0.9248794314
FRA,45.04579539
FSM,0.01577237991
GAB,28.82717662
GBR,28.87330555
GEO,0.6677561003
GHA,0.09740620959
GIN,0.5295714551
GMB,0.06967712655
GNB,10.00941245
GNQ,0.2351150942
GRC,4.517865365
GRD,0.08625027164
GTM,0.9001436438
GUY,0.01271237231
HND,4.157067601
HRV,8.541084909
HTI,0
HUN,
IDN,3.05732315
IND,0.1707058496
IRL,2.332110624
IRN,0.8045534215
IRQ,0
ISL,0.3803352782
ISR,0.03255193669
ITA,8.794648495
JAM,0.7545972612
JOR,35.5909103
JPN,8.233762209
KAZ,1.049212486
KEN,0.8041839613
KGZ,
KHM,0.1857673773
KIR,11.81790064
KNA,0.1699008216
KOR,1.633640322
KWT,1.479275644
LAO,
LBN,0.2114285787
LBR,0.1033424913
LBY,0.6364299276
LCA,0.2185542178
LIE,
LKA,0.07462565419
LSO,
LTU,25.59102673
LUX,
LVA,16.03636179
MAR,0.2599844605
MCO,99.83199546
MDA,
MDG,0.7461844806
MDV,0.05150503545
MEX,21.78202051
MHL,0.2688033124
MKD,
MLI,
MLT,6.27005116
MMR,2.327047687
MNE,0.001219431788
MNG,
MOZ,2.232030793
MRT,4.15343412
MUS,0.003878225239
MWI,
MYS,1.544620687
NAM,1.71419851
NER,
NGA,0.01670930869
NIC,2.974231434
NIU,
NLD,26.67468616
NOR,0.8307816153
NPL,
NRU,
NZL,30.3711096
OMN,0.1231937667
PAK,0.7665290345
PAN,1.68141685
PER,0.4815310624
PHL,1.159062929
PLW,82.98762752
PNG,
POL,22.57182283
PRK,0.02208551661
PRT,16.56393475
PRY,
PSE,
QAT,1.682327933
ROU,23.09630496
RUS,2.974560105
RWA,
SAU,2.494101105
SDN,15.96435524
SEN,1.114826483
SGP,0.01317856922
SLB,0.1180551849
SLE,0.5375612705
SLV,0.7054466907
SMR,100
SOM,
SRB,
SSD,
STP,
SUR,1.543223714
SVK,
SVN,
SWE,15.21318498
SWZ,
SYC,
SYR,0.2469795565
TCD,
TGO,0.1996483108
THA,1.881384458
TJK,
TKM,2.993862844
TLS,1.374345466
TON,1.505139529
TTO,0.04890891229
TUN,1.035516131
TUR,0.1055706416
TUV,0.008483091654
TWN,
TZA,3.015031175
UGA,
UKR,3.415155624
URY,0.7160397615
USA,41.05740777
UZB,
VCT,0.2200970964
VEN,3.485964909
VNM,0.5608908355
VUT,0.00763734602
WSM,0.08680405153
XKX,
YEM,0.4675735002
ZAF,12.05646212
ZMB,
ZWE,
VAT,
