ID,Value
AFG,0.95616
AGO,1.63657
ALB,2.21589
AND,
ARE,6.04248
ARG,4.68431
ARM,3.14261
ATG,2.77217
AUS,6.54625
AUT,6.54183
AZE,1.63081
BDI,1.23959
BEL,4.26756
BEN,2.38819
BFA,2.35555
BGD,1.1388
BGR,2.25441
BHR,1.96493
BHS,2.58355
BIH,1.8727
BLR,0.02748
BLZ,1.7652
BOL,2.26397
BRA,7.3892
BRB,2.38302
BRN,3.06027
BTN,4.42865
BWA,3.48244
CAF,2.30952
CAN,6.39378
CHE,7.01044
CHL,2.70784
CHN,2.92998
CIV,0.33894
CMR,1.45236
COD,1.32922
COG,1.1864
COL,2.73662
COM,
CPV,1.54439
CRI,2.09318
CUB,1.63652
CYP,2.87865
CZE,
DEU,5.60577
DJI,0.97572
DMA,
DNK,5.49224
DOM,1.21389
DZA,1.63368
ECU,2.82337
EGY,1.50045
ERI,0.90803
ESP,4.13691
EST,5.22621
ETH,
FIN,6.14375
FJI,2.0607
FRA,5.7669
FSM,
GAB,1.83058
GBR,4.67194
GEO,2.11173
GHA,1.25286
GIN,1.96881
GMB,0.9158
GNB,
GNQ,
GRC,4.43903
GRD,
GTM,1.50837
GUY,23.46961
HND,1.32628
HRV,3.61384
HTI,0.69192
HUN,3.49718
IDN,3.00681
IND,1.86635
IRL,4.77498
IRN,2.06663
IRQ,0.80858
ISL,3.94192
ISR,3.03194
ITA,3.73256
JAM,1.2749
JOR,1.16545
JPN,3.56014
KAZ,6.81627
KEN,2.35502
KGZ,4.05302
KHM,1.52725
KIR,
KNA,
KOR,3.51545
KWT,8.94677
LAO,1.33793
LBN,1.72617
LBR,0.8109
LBY,1.53892
LCA,
LIE,
LKA,0.6361
LSO,1.86349
LTU,8.15423
LUX,14.64428
LVA,6.35974
MAR,0.92604
MCO,
MDA,0.62899
MDG,0.4478
MDV,1.52456
MEX,2.43144
MHL,
MKD,
MLI,3.06449
MLT,3.89923
MMR,1.45756
MNE,6.84052
MNG,2.75885
MOZ,1.0704
MRT,1.28295
MUS,8.07535
MWI,0.78668
MYS,8.52501
NAM,1.464
NER,2.57375
NGA,1.8494
NIC,1.67622
NIU,
NLD,5.74388
NOR,7.03363
NPL,1.68071
NRU,
NZL,6.15006
OMN,1.97008
PAK,1.91932
PAN,2.22588
PER,1.89481
PHL,1.97708
PLW,
PNG,0.77836
POL,4.25392
PRK,0.60007
PRT,3.86035
PRY,7.16775
PSE,
QAT,2.72041
ROU,4.43498
RUS,5.70438
RWA,2.45714
SAU,2.77933
SDN,
SEN,0.84544
SGP,11.38903
SLB,
SLE,2.2005
SLV,2.17423
SMR,
SOM,2.41308
SRB,
SSD,6.71154
STP,2.11454
SUR,1.97445
SVK,4.72211
SVN,4.18636
SWE,6.09113
SWZ,5.45246
SYC,4.06252
SYR,0.96325
TCD,1.20316
TGO,1.15088
THA,4.37673
TJK,0.66094
TKM,3.68394
TLS,
TON,
TTO,1.29359
TUN,1.5348
TUR,3.69122
TUV,
TWN,
TZA,0.89954
UGA,1.557
UKR,7.77282
URY,11.27821
USA,6.61456
UZB,4.54886
VCT,
VEN,2.00623
VNM,2.2692
VUT,3.83606
WSM,3.60723
XKX,
YEM,0.54189
ZAF,3.19157
ZMB,1.95079
ZWE,0.28511
VAT,
