ID,Value
AFG,100
AGO,100
ALB,100
AND,100
ARE,100
ARG,100
ARM,100
ATG,100
AUS,100
AUT,100
AZE,100
BDI,100
BEL,100
BEN,100
BFA,100
BGD,100
BGR,100
BHR,100
BHS,100
BIH,100
BLR,100
BLZ,100
BOL,100
BRA,100
BRB,100
BRN,100
BTN,100
BWA,100
CAF,100
CAN,100
CHE,100
CHL,100
CHN,100
CIV,100
CMR,100
COD,100
COG,100
COL,100
COM,100
CPV,100
CRI,100
CUB,100
CYP,100
CZE,100
DEU,100
DJI,100
DMA,100
DNK,100
DOM,100
DZA,100
ECU,100
EGY,100
ERI,100
ESP,100
EST,100
ETH,100
FIN,100
FJI,100
FRA,100
FSM,100
GAB,100
GBR,100
GEO,100
GHA,100
GIN,100
GMB,100
GNB,100
GNQ,100
GRC,100
GRD,100
GTM,100
GUY,100
HND,100
HRV,100
HTI,100
HUN,100
IDN,100
IND,100
IRL,100
IRN,100
IRQ,100
ISL,100
ISR,100
ITA,100
JAM,100
JOR,100
JPN,100
KAZ,100
KEN,100
KGZ,100
KHM,100
KIR,100
KNA,100
KOR,100
KWT,100
LAO,100
LBN,100
LBR,100
LBY,100
LCA,100
LIE,100
LKA,100
LSO,100
LTU,100
LUX,100
LVA,100
MAR,100
MCO,
MDA,
MDG,100
MDV,100
MEX,100
MHL,100
MKD,100
MLI,100
MLT,100
MMR,100
MNE,
MNG,
MOZ,100
MRT,100
MUS,100
MWI,100
MYS,100
NAM,100
NER,100
NGA,100
NIC,100
NIU,100
NLD,100
NOR,100
NPL,100
NRU,100
NZL,100
OMN,100
PAK,100
PAN,100
PER,100
PHL,100
PLW,100
PNG,100
POL,100
PRK,
PRT,100
PRY,100
PSE,
QAT,100
ROU,100
RUS,100
RWA,100
SAU,100
SDN,100
SEN,100
SGP,100
SLB,100
SLE,100
SLV,100
SMR,100
SOM,100
SRB,100
SSD,100
STP,100
SUR,100
SVK,100
SVN,100
SWE,100
SWZ,100
SYC,100
SYR,100
TCD,100
TGO,100
THA,100
TJK,100
TKM,100
TLS,100
TON,100
TTO,100
TUN,100
TUR,100
TUV,100
TWN,
TZA,100
UGA,100
UKR,100
URY,100
USA,100
UZB,100
VCT,100
VEN,100
VNM,100
VUT,100
WSM,100
XKX,
YEM,100
ZAF,100
ZMB,100
ZWE,100
VAT,100
