ID,Value
AFG,13.9
AGO,48.8
ALB,0.2
AND,
ARE,0.1
ARG,0.4
ARM,0.2
ATG,0.1
AUS,0.1
AUT,0.1
AZE,1.1
BDI,65.4
BEL,0.3
BEN,59.7
BFA,49.6
BGD,11.9
BGR,0.1
BHR,0.1
BHS,0.1
BIH,0.1
BLR,0.1
BLZ,1
BOL,5.6
BRA,1
BRB,0.2
BRN,0.1
BTN,3.9
BWA,11.8
CAF,82.1
CAN,0.4
CHE,0.1
CHL,0.2
CHN,0.6
CIV,47.2
CMR,45.2
COD,59.8
COG,38.7
COL,0.8
COM,50.7
CPV,4.1
CRI,0.9
CUB,1
CYP,0.3
CZE,0.2
DEU,0.6
DJI,31.3
DMA,
DNK,0.3
DOM,2.2
DZA,1.9
ECU,0.6
EGY,2
ERI,45.6
ESP,0.2
EST,0.1
ETH,43.7
FIN,0.1
FJI,2.9
FRA,0.3
FSM,3.6
GAB,20.6
GBR,0.2
GEO,0.2
GHA,18.8
GIN,44.6
GMB,29.7
GNB,35.3
GNQ,22.3
GRC,0.1
GRD,0.3
GTM,6.3
GUY,3.6
HND,3.6
HRV,0.1
HTI,23.8
HUN,0.2
IDN,7.1
IND,18.6
IRL,0.1
IRN,1
IRQ,3
ISL,0.1
ISR,0.2
ITA,0.1
JAM,0.6
JOR,0.6
JPN,0.2
KAZ,0.4
KEN,51.2
KGZ,0.8
KHM,6.5
KIR,16.7
KNA,
KOR,1.8
KWT,0.1
LAO,11.3
LBN,0.8
LBR,41.5
LBY,0.6
LCA,0.6
LIE,
LKA,1.2
LSO,44.4
LTU,0.1
LUX,0.1
LVA,0.1
MAR,1.9
MCO,
MDA,0.1
MDG,30.2
MDV,0.3
MEX,1.1
MHL,
MKD,0.1
MLI,70.7
MLT,0.1
MMR,12.6
MNE,0.1
MNG,1.3
MOZ,27.6
MRT,38.6
MUS,0.6
MWI,28.3
MYS,0.4
NAM,18.3
NER,70.8
NGA,68.6
NIC,2.2
NIU,
NLD,0.2
NOR,0.2
NPL,19.8
NRU,
NZL,0.1
OMN,0.1
PAK,19.6
PAN,1.9
PER,1.3
PHL,4.2
PLW,
PNG,16.3
POL,0.1
PRK,1.4
PRT,0.2
PRY,1.5
PSE,
QAT,0.1
ROU,0.4
RUS,0.1
RWA,19.3
SAU,0.1
SDN,17.3
SEN,23.9
SGP,0.1
SLB,6.2
SLE,81.3
SLV,2
SMR,
SOM,86.6
SRB,0.7
SSD,63.3
STP,11.4
SUR,2
SVK,0.1
SVN,0.1
SWE,0.2
SWZ,27.9
SYC,0.2
SYR,3.7
TCD,101
TGO,41.6
THA,3.5
TJK,2.7
TKM,4
TLS,9.9
TON,1.4
TTO,0.1
TUN,1
TUR,0.3
TUV,
TWN,
TZA,38.4
UGA,31.6
UKR,0.3
URY,0.4
USA,0.2
UZB,0.4
VCT,1.3
VEN,1.4
VNM,1.6
VUT,10.4
WSM,1.5
XKX,
YEM,10.2
ZAF,13.7
ZMB,34.9
ZWE,24.6
VAT,
