ID,Value
AFG,56.002422
AGO,94.499118
ALB,89.333333
AND,
ARE,16.666667
ARG,63.570468
ARM,
ATG,
AUS,98.036027
AUT,83.817427
AZE,96.89062
BDI,87.671233
BEL,100
BEN,100
BFA,100
BGD,87.5
BGR,97.824182
BHR,
BHS,
BIH,94.405594
BLR,
BLZ,100
BOL,73.412403
BRA,97.761408
BRB,
BRN,100
BTN,85.714286
BWA,100
CAF,100
CAN,77.806798
CHE,67.857143
CHL,46.501976
CHN,60.38651
CIV,97.823048
CMR,90.505545
COD,93.384567
COG,92.553191
COL,97.416674
COM,100
CPV,75
CRI,96.73913
CUB,100
CYP,90.47619
CZE,95.192558
DEU,92.215569
DJI,30.930463
DMA,100
DNK,
DOM,96.923077
DZA,44.04493
ECU,95.280017
EGY,1.970301
ERI,54.77293
ESP,96.03336
EST,50
ETH,93.182159
FIN,71.225016
FJI,
FRA,88.65905
FSM,
GAB,96.09375
GBR,75.862069
GEO,94.07364
GHA,96.584317
GIN,91.694431
GMB,
GNB,
GNQ,100
GRC,93.149304
GRD,100
GTM,96.428571
GUY,99.056604
HND,98.688525
HRV,94.520548
HTI,100
HUN,93.75
IDN,97.454588
IND,64.140561
IRL,70
IRN,64.140561
IRQ,82.701698
ISL,30.674847
ISR,37.184321
ITA,88.467097
JAM,85.576664
JOR,33.391675
JPN,97.121212
KAZ,74.601749
KEN,92.625435
KGZ,23.050263
KHM,100
KIR,
KNA,
KOR,96.268657
KWT,
LAO,99.244713
LBN,84.449982
LBR,100
LBY,21.441958
LCA,
LIE,
LKA,94.117647
LSO,91.818182
LTU,50
LUX,100
LVA,25
MAR,62.431451
MCO,
MDA,
MDG,94.122102
MDV,
MEX,95.87319
MHL,
MKD,96.467466
MLI,77.045349
MLT,
MMR,98.519096
MNE,94
MNG,64.180175
MOZ,96.378906
MRT,19.944625
MUS,50
MWI,90.789474
MYS,99.28401
NAM,78.19377
NER,10.833635
NGA,92.746129
NIC,98.275862
NIU,
NLD,
NOR,58.660502
NPL,77.089447
NRU,
NZL,87.744227
OMN,21.581746
PAK,60.206565
PAN,98.989899
PER,76.341062
PHL,98.75
PLW,
PNG,98.343236
POL,93.333333
PRK,97.5
PRT,88.980934
PRY,100
PSE,80.952381
QAT,
ROU,96.832533
RUS,83.215816
RWA,78.26087
SAU,19.849289
SDN,
SEN,100
SGP,
SLB,100
SLE,100
SLV,88.888889
SMR,
SOM,66.591365
SRB,97.687861
SSD,92.695301
STP,100
SUR,100
SVK,98.058252
SVN,87.037037
SWE,61.301847
SWZ,100
SYC,
SYR,63.892113
TCD,14.784899
TGO,91.304348
THA,98.217469
TJK,20.841777
TKM,61.538462
TLS,91.873342
TON,
TTO,100
TUN,84.037955
TUR,90.850283
TUV,
TWN,
TZA,97.467355
UGA,98.157164
UKR,97.794927
URY,100
USA,86.61005
UZB,54.811319
VCT,
VEN,97.763488
VNM,
VUT,90
WSM,
XKX,
YEM,34.763479
ZAF,95.544282
ZMB,100
ZWE,98.121587
VAT,
