ID,Value
AFG,39.2
AGO,29.1
ALB,6.1
AND,1.4
ARE,4.7
ARG,5.9
ARM,6.7
ATG,3.8
AUS,2.1
AUT,2.2
AZE,11.8
BDI,22.1
BEL,2.1
BEN,32.7
BFA,25.4
BGD,18.4
BGR,3.7
BHR,3.1
BHS,4
BIH,4
BLR,1.5
BLZ,8.8
BOL,18.5
BRA,8.5
BRB,8.1
BRN,4.7
BTN,16.9
BWA,25.4
CAF,41.5
CAN,3.5
CHE,3
CHL,5
CHN,4.7
CIV,33.5
CMR,25.5
COD,28.9
COG,19.4
COL,8
COM,31.7
CPV,10.4
CRI,5.9
CUB,2.2
CYP,1.6
CZE,1.7
DEU,2.2
DJI,32.4
DMA,27.3
DNK,3.1
DOM,20.1
DZA,14.9
ECU,7.5
EGY,11.6
ERI,17.8
ESP,1.7
EST,1.2
ETH,28.9
FIN,1.8
FJI,10.6
FRA,2.4
FSM,16.5
GAB,21.5
GBR,2.6
GEO,6.7
GHA,24.2
GIN,24.1
GMB,27.6
GNB,37.3
GNQ,30.9
GRC,3
GRD,10.9
GTM,12.9
GUY,18.9
HND,10
HRV,2.9
HTI,28.3
HUN,2.4
IDN,12.4
IND,24
IRL,2.2
IRN,9.1
IRQ,17.1
ISL,1
ISR,2
ITA,2
JAM,10.8
JOR,10.1
JPN,0.9
KAZ,5.3
KEN,20.9
KGZ,10.7
KHM,14.9
KIR,23
KNA,8.8
KOR,1.5
KWT,4.3
LAO,28.2
LBN,4.5
LBR,25.1
LBY,6.5
LCA,12.4
LIE,
LKA,5.8
LSO,37.9
LTU,2
LUX,1.7
LVA,2.2
MAR,14.4
MCO,1.7
MDA,11.6
MDG,18.4
MDV,4.5
MEX,7.6
MHL,15.7
MKD,10.5
MLI,35.4
MLT,4.4
MMR,24.1
MNE,2.3
MNG,9.1
MOZ,26.9
MRT,33.8
MUS,7.9
MWI,22.7
MYS,4.3
NAM,17.5
NER,26
NGA,32.9
NIC,7.1
NIU,
NLD,2.3
NOR,1.5
NPL,20.7
NRU,20.5
NZL,3
OMN,5.1
PAK,44.2
PAN,8.9
PER,7.3
PHL,13.6
PLW,7.9
PNG,23.7
POL,3
PRK,10
PRT,2.1
PRY,11.1
PSE,11.3
QAT,3.8
ROU,3.7
RUS,3.3
RWA,16.4
SAU,3.9
SDN,29.5
SEN,20.5
SGP,1.1
SLB,8.5
SLE,33.5
SLV,7.1
SMR,1
SOM,38.5
SRB,3.7
SSD,39.6
STP,14.4
SUR,10.2
SVK,2.8
SVN,1.2
SWE,1.7
SWZ,17.4
SYC,8.6
SYR,8.7
TCD,34.8
TGO,25.4
THA,5.3
TJK,14.5
TKM,21.3
TLS,20.7
TON,6.7
TTO,16.6
TUN,7.5
TUR,5.9
TUV,16
TWN,
TZA,21.1
UGA,20.2
UKR,5.2
URY,4.6
USA,3.6
UZB,12.1
VCT,9.6
VEN,19.8
VNM,10.6
VUT,11.6
WSM,8.6
XKX,
YEM,27
ZAF,10.7
ZMB,22.2
ZWE,22.4
VAT,
