ID,Value
AFG,
AGO,
ALB,
AND,
ARE,
ARG,
ARM,1
ATG,1
AUS,1
AUT,1
AZE,
BDI,
BEL,
BEN,
BFA,
BGD,1
BGR,1
BHR,
BHS,
BIH,1
BLR,1
BLZ,
BOL,
BRA,
BRB,
BRN,1
BTN,
BWA,1
CAF,
CAN,1
CHE,1
CHL,1
CHN,1
CIV,
CMR,
COD,0
COG,
COL,1
COM,0
CPV,
CRI,
CUB,
CYP,1
CZE,1
DEU,1
DJI,0
DMA,
DNK,1
DOM,
DZA,1
ECU,1
EGY,
ERI,0
ESP,1
EST,0
ETH,
FIN,1
FJI,
FRA,1
FSM,
GAB,
GBR,
GEO,1
GHA,
GIN,
GMB,
GNB,
GNQ,
GRC,
GRD,
GTM,
GUY,
HND,
HRV,
HTI,
HUN,1
IDN,
IND,
IRL,1
IRN,
IRQ,
ISL,
ISR,1
ITA,
JAM,0
JOR,
JPN,1
KAZ,
KEN,
KGZ,
KHM,0
KIR,
KNA,0
KOR,1
KWT,
LAO,
LBN,
LBR,0
LBY,
LCA,
LIE,1
LKA,
LSO,
LTU,1
LUX,1
LVA,
MAR,1
MCO,
MDA,
MDG,
MDV,0
MEX,1
MHL,
MKD,
MLI,0
MLT,
MMR,
MNE,
MNG,1
MOZ,
MRT,0
MUS,1
MWI,
MYS,
NAM,
NER,0
NGA,
NIC,
NIU,
NLD,1
NOR,1
NPL,0
NRU,
NZL,1
OMN,
PAK,1
PAN,
PER,
PHL,
PLW,
PNG,
POL,1
PRK,
PRT,1
PRY,
PSE,0
QAT,
ROU,1
RUS,1
RWA,
SAU,
SDN,
SEN,0
SGP,1
SLB,
SLE,
SLV,
SMR,
SOM,
SRB,
SSD,
STP,
SUR,
SVK,1
SVN,1
SWE,1
SWZ,0
SYC,
SYR,
TCD,0
TGO,0
THA,
TJK,0
TKM,
TLS,0
TON,
TTO,
TUN,
TUR,1
TUV,
TWN,
TZA,
UGA,
UKR,1
URY,1
USA,
UZB,1
VCT,
VEN,
VNM,
VUT,0
WSM,
XKX,
YEM,
ZAF,0
ZMB,
ZWE,0
VAT,
