ID,Value
AFG,2587585.745
AGO,86313570.06
ALB,18263686.88
AND,
ARE,84313972.02
ARG,123010048.1
ARM,5058793.655
ATG,211645.3662
AUS,
AUT,77978343.26
AZE,52292649.57
BDI,2204592.377
BEL,93712279.82
BEN,19979061.18
BFA,11983781.63
BGD,132305114.8
BGR,50593426.24
BHR,25583149.27
BHS,845653.2139
BIH,12733601.12
BLR,68307569.48
BLZ,1311066.662
BOL,25275466.15
BRA,765994581.3
BRB,220615.2143
BRN,5542613.995
BTN,3271439.13
BWA,52587002.06
CAF,335905.425
CAN,465162828.1
CHE,83687830.56
CHL,60025527.78
CHN,22558296102
CIV,8161709.382
CMR,22279900.4
COD,27665815.44
COG,8852671.189
COL,88366953.84
COM,1670783.143
CPV,2852334.603
CRI,14177436.75
CUB,11830730.9
CYP,7087891.151
CZE,73722511
DEU,509755367
DJI,1040.29947
DMA,128900.6536
DNK,41682346.43
DOM,16535331.68
DZA,223200035.7
ECU,74800955.29
EGY,389934637.2
ERI,119615.0229
ESP,119602894.9
EST,15191988.52
ETH,30390307.8
FIN,91387880.86
FJI,861499.673
FRA,381699794.1
FSM,5360.50519
GAB,1540135.239
GBR,217300177.1
GEO,13627062.48
GHA,55736454.7
GIN,9837808.374
GMB,
GNB,2957210.623
GNQ,146702.2154
GRC,14727492.62
GRD,
GTM,15634129.21
GUY,3243479.945
HND,11820100.42
HRV,6381359.693
HTI,2472238.919
HUN,58408005.08
IDN,259500171
IND,3205193524
IRL,17372487.5
IRN,634860517
IRQ,129899995.3
ISL,801011.8778
ISR,60354079.75
ITA,158298533.3
JAM,7442215.35
JOR,48837530.82
JPN,413402819.6
KAZ,107481317.3
KEN,34465745.05
KGZ,13813863.27
KHM,28702186.38
KIR,107594.3804
KNA,
KOR,114351883.9
KWT,72638502.85
LAO,5752043.325
LBN,42634972.4
LBR,877876.8958
LBY,41871586.64
LCA,
LIE,66893525.62
LKA,
LSO,22317095.53
LTU,17833407.67
LUX,11390190.62
LVA,18508840.36
MAR,172576757
MCO,
MDA,12349793.14
MDG,9746035.044
MDV,2653700.586
MEX,245077225.1
MHL,
MKD,12161354.32
MLI,15009494.13
MLT,3981184.359
MMR,16773792.08
MNE,699924.2836
MNG,16860934.77
MOZ,16481557.37
MRT,10841496.07
MUS,5858885.468
MWI,4932478.94
MYS,111619535.2
NAM,8296184.575
NER,3734574.414
NGA,115490513.3
NIC,9124038.372
NIU,
NLD,77362660.68
NOR,71263653.78
NPL,23366336.67
NRU,
NZL,31881386.71
OMN,104685520.4
PAK,231502782.6
PAN,11485867.99
PER,94522194.04
PHL,138756333.8
PLW,23327.733
PNG,36883967.27
POL,305959338.3
PRK,39282194.33
PRT,32274641.5
PRY,11398615.78
PSE,
QAT,83466683.92
ROU,115297905.1
RUS,807308818.6
RWA,4448813.03
SAU,500951865.2
SDN,
SEN,22178738.89
SGP,95032400.18
SLB,114366.1248
SLE,4285992.007
SLV,8944400.216
SMR,
SOM,
SRB,9563987.967
SSD,
STP,189460.7557
SUR,2765527.345
SVK,18153199.62
SVN,12900144.77
SWE,85997952.08
SWZ,
SYC,83452.76467
SYR,136218713.1
TCD,46005.3
TGO,8825591.584
THA,342551150.2
TJK,3329525.359
TKM,18591117.5
TLS,
TON,1300516.084
TTO,9440575.582
TUN,69334318.76
TUR,976824237.2
TUV,
TWN,
TZA,26116880.86
UGA,21222061.35
UKR,136962449.9
URY,82308675.24
USA,1759484964
UZB,62092494.68
VCT,
VEN,84998036.68
VNM,711588748.5
VUT,
WSM,273618.8114
XKX,
YEM,37587598.28
ZAF,152524248.4
ZMB,7820597.199
ZWE,7477406.669
VAT,
