ID,Value
AFG,4878686
AGO,32346250
ALB,21361660
AND,
ARE,310086600
ARG,194305500
ARM,5826670
ATG,793328.2
AUS,270409400
AUT,143964300
AZE,33460210
BDI,2984860
BEL,150388600
BEN,20711970
BFA,14260260
BGD,166882200
BGR,42032860
BHR,10746530
BHS,5218706
BIH,11498480
BLR,503665.9
BLZ,1582941
BOL,9253621
BRA,746021800
BRB,1660493
BRN,5341699
BTN,4016368
BWA,54285770
CAF,818053.8
CAN,526079000
CHE,143078100
CHL,68914690
CHN,16539640000
CIV,8249587
CMR,8628935
COD,26172260
COG,3909356
COL,149408300
COM,
CPV,
CRI,20486860
CUB,26798700
CYP,15746110
CZE,
DEU,764804100
DJI,988005.4
DMA,
DNK,71233630
DOM,31161680
DZA,39393800
ECU,81597070
EGY,266206900
ERI,823801.3
ESP,498981400
EST,13224680
ETH,
FIN,90393370
FJI,2471545
FRA,651991300
FSM,
GAB,3554662
GBR,793160500
GEO,19932230
GHA,39728970
GIN,2508781
GMB,2858837
GNB,
GNQ,
GRC,106009300
GRD,
GTM,18646910
GUY,34248870
HND,14820570
HRV,25832890
HTI,3845821
HUN,61318250
IDN,426998300
IND,2673844000
IRL,49213060
IRN,523924000
IRQ,42629880
ISL,6699212
ISR,120565600
ITA,615467400
JAM,9441565
JOR,44219180
JPN,1400056000
KAZ,51341020
KEN,21366810
KGZ,9967709
KHM,29353080
KIR,
KNA,
KOR,622765600
KWT,85564790
LAO,7306011
LBN,70870640
LBR,1297198
LBY,10799260
LCA,
LIE,
LKA,
LSO,20340500
LTU,45102360
LUX,37660310
LVA,22867170
MAR,85760910
MCO,
MDA,1450932
MDG,7765362
MDV,4932259
MEX,363246400
MHL,
MKD,
MLI,15511890
MLT,7446124
MMR,1137040
MNE,5153467
MNG,18748780
MOZ,13829380
MRT,2996943
MUS,12391060
MWI,5925602
MYS,258180700
NAM,7212422
NER,4773685
NGA,353025500
NIC,9609054
NIU,
NLD,241010200
NOR,84011950
NPL,26537180
NRU,
NZL,49654480
OMN,26529610
PAK,206273300
PAN,15397890
PER,70968940
PHL,185274700
PLW,
PNG,9071697
POL,249489800
PRK,7633342
PRT,85487800
PRY,19113300
PSE,
QAT,19305520
ROU,141648000
RUS,342636700
RWA,6460386
SAU,202841800
SDN,
SEN,21881310
SGP,203152200
SLB,
SLE,5854924
SLV,14920030
SMR,
SOM,463835.4
SRB,
SSD,645137.2
STP,666236.5
SUR,3546741
SVK,123413000
SVN,23882010
SWE,91023130
SWZ,2330225
SYC,1352975
SYR,35298600
TCD,1029365
TGO,7015028
THA,514438900
TJK,19416760
TKM,87818130
TLS,
TON,
TTO,3437811
TUN,43322020
TUR,692882400
TUV,
TWN,
TZA,18937480
UGA,36542260
UKR,87336920
URY,73161530
USA,3999560000
UZB,8288706
VCT,
VEN,111618400
VNM,672367800
VUT,827669.2
WSM,727680.1
XKX,
YEM,12889240
ZAF,122732200
ZMB,7680104
ZWE,2970065
VAT,
