ID,Value
AFG,396.06206
AGO,25.26886
ALB,22.65479
AND,
ARE,
ARG,170.5487
ARM,81.57776
ATG,5.08162
AUS,
AUT,
AZE,26.13692
BDI,44.98322
BEL,
BEN,67.86058
BFA,178.75437
BGD,264.64103
BGR,
BHR,
BHS,
BIH,7.17976
BLR,7.77481
BLZ,8.3408
BOL,88.62447
BRA,209.16033
BRB,
BRN,
BTN,5.95069
BWA,9.51673
CAF,12.59879
CAN,
CHE,
CHL,4.66586
CHN,439.17834
CIV,51.02123
CMR,116.38781
COD,89.41046
COG,7.62079
COL,122.26022
COM,2.8214
CPV,8.11934
CRI,2.70046
CUB,11.36823
CYP,
CZE,
DEU,
DJI,5.36934
DMA,4.28475
DNK,
DOM,11.48849
DZA,6.61804
ECU,23.39453
EGY,251.08501
ERI,12.21276
ESP,
EST,
ETH,480.49209
FIN,
FJI,8.73167
FRA,
FSM,0.68083
GAB,5.46503
GBR,
GEO,47.40873
GHA,185.40948
GIN,12.20787
GMB,12.31807
GNB,10.24233
GNQ,0.00785
GRC,
GRD,3.34229
GTM,49.65963
GUY,30.89272
HND,69.87206
HRV,
HTI,88.34655
HUN,
IDN,287.61415
IND,909.49112
IRL,
IRN,0.64859
IRQ,21.68777
ISL,
ISR,
ITA,
JAM,13.64297
JOR,34.65567
JPN,
KAZ,3.96196
KEN,184.06411
KGZ,20.6465
KHM,84.00357
KIR,1.45104
KNA,
KOR,
KWT,
LAO,73.43068
LBN,56.05164
LBR,29.61293
LBY,2.01093
LCA,7.27705
LIE,
LKA,46.94871
LSO,4.38965
LTU,
LUX,
LVA,
MAR,295.26906
MCO,
MDA,76.16915
MDG,125.74091
MDV,1.49874
MEX,104.18321
MHL,0.33937
MKD,11.0441
MLI,179.87505
MLT,
MMR,220.20765
MNE,3.94671
MNG,19.58898
MOZ,171.57241
MRT,41.89793
MUS,2.0126
MWI,158.83911
MYS,3.34683
NAM,16.64295
NER,126.5321
NGA,146.26572
NIC,34.79343
NIU,
NLD,
NOR,
NPL,108.74638
NRU,0.2707
NZL,
OMN,
PAK,235.80197
PAN,12.04143
PER,88.40791
PHL,93.96396
PLW,0.76121
PNG,18.22583
POL,
PRK,1.57056
PRT,
PRY,29.72542
PSE,29.80088
QAT,
ROU,
RUS,
RWA,142.08255
SAU,
SDN,
SEN,
SGP,
SLB,11.96939
SLE,8.64234
SLV,13.97759
SMR,
SOM,29.04092
SRB,6.42097
SSD,36.43888
STP,5.98281
SUR,3.80006
SVK,
SVN,
SWE,
SWZ,7.34457
SYC,0.6549
SYR,1.15381
TCD,25.41567
TGO,11.3701
THA,7.7747
TJK,31.00961
TKM,1.49562
TLS,23.54166
TON,1.81609
TTO,
TUN,52.22152
TUR,492.46113
TUV,2.05631
TWN,
TZA,161.31393
UGA,175.11335
UKR,164.41832
URY,13.30433
USA,
UZB,143.53811
VCT,6.51617
VEN,1.77771
VNM,266.30355
VUT,2.59847
WSM,1.51277
XKX,4.99948
YEM,13.9925
ZAF,9.94171
ZMB,90.00379
ZWE,46.28216
VAT,
