ID,Value
AFG,437.26742
AGO,432.76493
ALB,61.44612
AND,
ARE,
ARG,403.99302
ARM,287.01279
ATG,
AUS,
AUT,
AZE,713.21157
BDI,38.68462
BEL,
BEN,93.14943
BFA,99.83216
BGD,1330.31384
BGR,
BHR,
BHS,
BIH,302.98271
BLR,120.2043
BLZ,17.97718
BOL,116.05945
BRA,1689.28833
BRB,
BRN,
BTN,30.72069
BWA,31.46906
CAF,13.90796
CAN,
CHE,
CHL,254.6685
CHN,2430.81665
CIV,93.34632
CMR,132.35769
COD,330.58197
COG,17.35639
COL,1862.16203
COM,7.38677
CPV,44.99961
CRI,130.19057
CUB,3.5485
CYP,
CZE,
DEU,
DJI,64.80337
DMA,0.45896
DNK,
DOM,61.14774
DZA,7.39202
ECU,348.30717
EGY,2577.43284
ERI,0.0858
ESP,
EST,
ETH,454.21999
FIN,
FJI,7.07784
FRA,
FSM,17.02855
GAB,23.92675
GBR,
GEO,697.09198
GHA,263.32556
GIN,57.82206
GMB,24.15346
GNB,2.66204
GNQ,0.02051
GRC,
GRD,3.15025
GTM,14.2338
GUY,7.8048
HND,188.15376
HRV,
HTI,89.8476
HUN,
IDN,1463.10147
IND,5682.92024
IRL,
IRN,3.28853
IRQ,292.92844
ISL,
ISR,
ITA,
JAM,147.48481
JOR,603.10625
JPN,
KAZ,1382.72442
KEN,823.13542
KGZ,99.99376
KHM,226.39559
KIR,28.89449
KNA,
KOR,
KWT,
LAO,96.20754
LBN,39.81974
LBR,268.87544
LBY,2.27198
LCA,1.60278
LIE,
LKA,534.88371
LSO,1.84493
LTU,
LUX,
LVA,
MAR,2184.7018
MCO,
MDA,96.66864
MDG,57.00781
MDV,10.34802
MEX,910.77233
MHL,73.88885
MKD,120.01702
MLI,87.19456
MLT,
MMR,259.1645
MNE,132.44219
MNG,245.50427
MOZ,231.02218
MRT,98.54962
MUS,115.12335
MWI,113.5243
MYS,4.93384
NAM,246.64485
NER,82.25699
NGA,544.91751
NIC,162.8073
NIU,0.43665
NLD,
NOR,
NPL,173.7551
NRU,1.76298
NZL,
OMN,
PAK,1228.99511
PAN,410.11021
PER,198.60908
PHL,913.73116
PLW,9.13858
PNG,221.09015
POL,
PRK,0.84565
PRT,
PRY,171.68843
PSE,93.40966
QAT,
ROU,
RUS,
RWA,207.08747
SAU,
SDN,
SEN,192.61643
SGP,
SLB,36.88197
SLE,88.07119
SLV,74.62297
SMR,
SOM,26.94219
SRB,907.35961
SSD,33.07226
STP,2.93423
SUR,78.55521
SVK,
SVN,
SWE,
SWZ,29.75418
SYC,14.10292
SYR,13.77226
TCD,57.81884
TGO,20.59603
THA,417.34727
TJK,175.17057
TKM,28.33453
TLS,70.69767
TON,30.90322
TTO,
TUN,764.98863
TUR,3916.75003
TUV,7.97192
TWN,
TZA,524.94996
UGA,180.46867
UKR,781.56476
URY,88.83117
USA,
UZB,392.12121
VCT,1.44641
VEN,34.06944
VNM,2567.44409
VUT,41.00809
WSM,5.96445
XKX,30.56489
YEM,125.5172
ZAF,1052.59613
ZMB,284.05157
ZWE,11.03119
VAT,
