ID,Value
AFG,6.69882
AGO,1.9556
ALB,2.74885
AND,
ARE,
ARG,2.1459
ARM,3.40082
ATG,0.0488
AUS,
AUT,
AZE,2.22485
BDI,0.86797
BEL,
BEN,2.5442
BFA,1.33927
BGD,9.49363
BGR,
BHR,
BHS,
BIH,1.58546
BLR,7.33664
BLZ,0.04956
BOL,1.5102
BRA,11.72261
BRB,
BRN,
BTN,2.81103
BWA,1.08905
CAF,1.17138
CAN,
CHE,
CHL,3.21076
CHN,17.42127
CIV,4.02575
CMR,7.81286
COD,3.92609
COG,4.10296
COL,4.98822
COM,5.31112
CPV,1.26699
CRI,0.89303
CUB,0.69827
CYP,
CZE,
DEU,
DJI,0.83524
DMA,0.22789
DNK,
DOM,0.3757
DZA,15.21498
ECU,2.1082
EGY,14.26988
ERI,2.15748
ESP,
EST,
ETH,5.98932
FIN,
FJI,4.8384
FRA,
FSM,0.15637
GAB,1.66573
GBR,
GEO,3.27644
GHA,6.12444
GIN,2.75828
GMB,0.64596
GNB,0.58561
GNQ,0.1225
GRC,
GRD,0.05273
GTM,0.54734
GUY,0.35844
HND,0.45578
HRV,
HTI,3.27495
HUN,
IDN,55.14458
IND,10.5587
IRL,
IRN,5.52115
IRQ,3.73069
ISL,
ISR,
ITA,
JAM,0.43706
JOR,5.20618
JPN,
KAZ,3.56359
KEN,5.4824
KGZ,3.61277
KHM,12.48994
KIR,2.95338
KNA,
KOR,
KWT,
LAO,10.57005
LBN,3.31951
LBR,0.38404
LBY,0.39756
LCA,0.23739
LIE,
LKA,6.64581
LSO,0.3793
LTU,
LUX,
LVA,
MAR,19.40447
MCO,
MDA,20.40801
MDG,2.57688
MDV,2.70127
MEX,4.12395
MHL,0.06933
MKD,1.44124
MLI,2.63705
MLT,
MMR,12.39771
MNE,0.32618
MNG,7.77146
MOZ,2.74157
MRT,1.03773
MUS,1.45455
MWI,1.32655
MYS,1.27099
NAM,0.51706
NER,0.69341
NGA,4.278
NIC,0.57436
NIU,0.25398
NLD,
NOR,
NPL,4.38122
NRU,0.50899
NZL,
OMN,
PAK,12.16593
PAN,0.33018
PER,2.23662
PHL,13.07736
PLW,0.12201
PNG,26.7865
POL,
PRK,0.11741
PRT,
PRY,0.51593
PSE,5.06953
QAT,
ROU,
RUS,
RWA,3.17128
SAU,
SDN,1.7322
SEN,4.11239
SGP,
SLB,5.1415
SLE,0.32249
SLV,0.45397
SMR,
SOM,0.22636
SRB,8.03751
SSD,0.41683
STP,0.4971
SUR,0.63457
SVK,
SVN,
SWE,
SWZ,0.56572
SYC,0.40996
SYR,14.59686
TCD,1.24175
TGO,1.3394
THA,3.44673
TJK,1.68519
TKM,0.10092
TLS,6.87867
TON,2.17706
TTO,
TUN,12.63025
TUR,16.26788
TUV,1.56462
TWN,
TZA,4.84488
UGA,4.46707
UKR,11.04074
URY,0.36658
USA,
UZB,3.62502
VCT,0.07448
VEN,0.95364
VNM,37.18318
VUT,2.75267
WSM,6.12601
XKX,
YEM,2.69394
ZAF,8.10765
ZMB,2.04699
ZWE,1.44034
VAT,
