ID,Value
AFG,142556.1844
AGO,
ALB,1081377.135
AND,
ARE,10579419.56
ARG,71037254.39
ARM,14188240.48
ATG,2561.20051
AUS,324042821
AUT,7839614.111
AZE,1731843.087
BDI,307553.3149
BEL,3923959.971
BEN,
BFA,15680315.67
BGD,4009961.014
BGR,17961675.5
BHR,2191376.248
BHS,
BIH,2582756.574
BLR,1106465.367
BLZ,50333.519
BOL,64759928.88
BRA,101690522.3
BRB,
BRN,110139.0141
BTN,3263.51702
BWA,7253964.733
CAF,8884.14444
CAN,178388915.9
CHE,
CHL,
CHN,3610525192
CIV,
CMR,465679.7441
COD,
COG,
COL,43309584.8
COM,18378.47484
CPV,22739.97124
CRI,805040.1732
CUB,23585656.76
CYP,
CZE,
DEU,
DJI,
DMA,
DNK,
DOM,
DZA,9557752.896
ECU,
EGY,
ERI,
ESP,
EST,
ETH,
FIN,
FJI,
FRA,
FSM,
GAB,
GBR,8284272.211
GEO,
GHA,
GIN,
GMB,
GNB,
GNQ,
GRC,
GRD,
GTM,
GUY,
HND,
HRV,426823.7592
HTI,
HUN,
IDN,
IND,
IRL,
IRN,
IRQ,
ISL,
ISR,
ITA,
JAM,
JOR,
JPN,
KAZ,
KEN,
KGZ,
KHM,914109.6699
KIR,
KNA,
KOR,
KWT,
LAO,
LBN,
LBR,
LBY,
LCA,
LIE,
LKA,1458925.176
LSO,
LTU,
LUX,
LVA,
MAR,
MCO,
MDA,
MDG,
MDV,
MEX,
MHL,
MKD,
MLI,
MLT,
MMR,
MNE,
MNG,
MOZ,
MRT,
MUS,
MWI,
MYS,
NAM,
NER,
NGA,
NIC,
NIU,
NLD,
NOR,
NPL,
NRU,
NZL,
OMN,
PAK,
PAN,
PER,
PHL,
PLW,
PNG,
POL,
PRK,
PRT,
PRY,
PSE,
QAT,
ROU,
RUS,
RWA,
SAU,
SDN,
SEN,
SGP,
SLB,143643.1714
SLE,
SLV,
SMR,
SOM,
SRB,
SSD,
STP,
SUR,
SVK,
SVN,
SWE,
SWZ,
SYC,
SYR,
TCD,
TGO,
THA,
TJK,
TKM,
TLS,
TON,
TTO,
TUN,1330499.758
TUR,57433497.41
TUV,
TWN,
TZA,11796894.81
UGA,726647.8781
UKR,18043993.73
URY,1041000.827
USA,615837209
UZB,35224634.5
VCT,
VEN,9265120.131
VNM,
VUT,
WSM,
XKX,
YEM,1712175.102
ZAF,
ZMB,86376788.47
ZWE,
VAT,
