ID,Value
AFG,1039255
AGO,10096830
ALB,2018191
AND,
ARE,35396510
ARG,55979870
ARM,8276408
ATG,146116.7
AUS,319682100
AUT,21856720
AZE,4807046
BDI,512336.5
BEL,26149660
BEN,570466.3
BFA,15369460
BGD,6742353
BGR,11812170
BHR,1187892
BHS,487053.9
BIH,2719944
BLR,122198.7
BLZ,302421
BOL,8833269
BRA,205765300
BRB,397107.5
BRN,708847.3
BTN,432420
BWA,11446650
CAF,155260.3
CAN,216169300
CHE,21767740
CHL,147591600
CHN,3204242000
CIV,3745308
CMR,970436.3
COD,25954660
COG,645210
COL,42693830
COM,
CPV,211923.9
CRI,4160686
CUB,26326120
CYP,1501386
CZE,
DEU,141713100
DJI,187312.1
DMA,
DNK,12735510
DOM,16888960
DZA,6896180
ECU,8343787
EGY,12413020
ERI,26186550
ESP,77971550
EST,1926275
ETH,
FIN,15703680
FJI,1573771
FRA,95698060
FSM,
GAB,749613.3
GBR,119782100
GEO,2722044
GHA,20491670
GIN,746999.8
GMB,122072.1
GNB,
GNQ,
GRC,15507860
GRD,
GTM,9033300
GUY,18461880
HND,2978722
HRV,3754624
HTI,447524.3
HUN,8589216
IDN,181231500
IND,197845700
IRL,10941200
IRN,128040900
IRQ,7030432
ISL,1541463
ISR,12273740
ITA,94113920
JAM,7560716
JOR,2830074
JPN,434700200
KAZ,61736460
KEN,3508242
KGZ,2849818
KHM,1808049
KIR,
KNA,
KOR,153006700
KWT,8781862
LAO,32532490
LBN,3418760
LBR,2348376
LBY,1502283
LCA,
LIE,
LKA,3153903
LSO,751774.4
LTU,6941450
LUX,6142285
LVA,2256782
MAR,5562255
MCO,
MDA,76941.5
MDG,1172574
MDV,387972.5
MEX,258651800
MHL,
MKD,
MLI,11521430
MLT,716903.4
MMR,397833.7
MNE,2142976
MNG,6399611
MOZ,1875396
MRT,1632918
MUS,1479598
MWI,1102935
MYS,73266180
NAM,4863234
NER,2498529
NGA,12644150
NIC,3367840
NIU,
NLD,43029690
NOR,17249110
NPL,1557908
NRU,
NZL,18141240
OMN,4834723
PAK,11051660
PAN,2975201
PER,126982700
PHL,23280180
PLW,
PNG,4672946
POL,115396400
PRK,660277.2
PRT,11966580
PRY,2465477
PSE,
QAT,2356906
ROU,14097890
RUS,88581350
RWA,1207820
SAU,38300020
SDN,
SEN,2215373
SGP,59058850
SLB,
SLE,25199360
SLV,3197891
SMR,
SOM,95152.29
SRB,
SSD,18583760
STP,108080.6
SUR,2161778
SVK,8689084
SVN,3430941
SWE,42981640
SWZ,1714113
SYC,272088.9
SYR,2644241
TCD,213820.1
TGO,3191129
THA,
TJK,5911564
TKM,8861918
TLS,
TON,
TTO,1047139
TUN,3708095
TUR,60300140
TUV,
TWN,
TZA,5717741
UGA,1678915
UKR,19480570
URY,4150196
USA,1023693000
UZB,17141010
VCT,
VEN,22622610
VNM,17523210
VUT,187533.9
WSM,137673.2
XKX,
YEM,1896046
ZAF,69655510
ZMB,19104690
ZWE,1265896
VAT,
