ID,Value
AFG,84.13713837
AGO,40.52060699
ALB,100
AND,100
ARE,100
ARG,100
ARM,100
ATG,97.35466766
AUS,100
AUT,100
AZE,100
BDI,7.588477135
BEL,100
BEN,41.40261459
BFA,19.16471291
BGD,75.92
BGR,100
BHR,100
BHS,100
BIH,100
BLR,100
BLZ,92.21431732
BOL,93.03913116
BRA,100
BRB,100
BRN,100
BTN,100
BWA,60.68839645
CAF,13.98511219
CAN,100
CHE,100
CHL,100
CHN,100
CIV,64.3
CMR,60.07476807
COD,17.14737892
COG,56.56616974
COL,99.00445557
COM,77.84421539
CPV,92.61158752
CRI,100
CUB,100
CYP,100
CZE,100
DEU,100
DJI,51.78269196
DMA,100
DNK,100
DOM,100
DZA,99.43956757
ECU,99.93681335
EGY,100
ERI,46.68046188
ESP,100
EST,100
ETH,42.9
FIN,100
FJI,98.6460495
FRA,100
FSM,75.43517303
GAB,91.39550018
GBR,100
GEO,100
GHA,79.3
GIN,33.5
GMB,47.75708771
GNB,14.65579033
GNQ,67.88928986
GRC,100
GRD,92.34436798
GTM,91.77922821
GUY,84.24290466
HND,87.57662964
HRV,100
HTI,38.69016647
HUN,100
IDN,97.62
IND,84.52681732
IRL,100
IRN,100
IRQ,100
ISL,100
ISR,100
ITA,100
JAM,98.20426941
JOR,100
JPN,100
KAZ,100
KEN,56
KGZ,99.99610138
KHM,49.77065659
KIR,84.93627167
KNA,100
KOR,100
KWT,100
LAO,87.09577179
LBN,100
LBR,19.8
LBY,98.53672791
LCA,97.76091766
LIE,100
LKA,95.58823395
LSO,29.73330879
LTU,100
LUX,100
LVA,100
MAR,100
MCO,100
MDA,100
MDG,22.9
MDV,100
MEX,100
MHL,93.13804626
MKD,100
MLI,35.06949997
MLT,100
MMR,57.00938416
MNE,100
MNG,81.77503204
MOZ,24.19833946
MRT,41.65210724
MUS,98.78178406
MWI,11
MYS,100
NAM,51.78242493
NER,16.21723366
NGA,59.3
NIC,81.79679871
NIU,
NLD,100
NOR,100
NPL,90.7
NRU,99.20280457
NZL,100
OMN,100
PAK,99.14743805
PAN,93.4178009
PER,94.85174561
PHL,90.98161316
PLW,99.28935242
PNG,22.9321537
POL,100
PRK,39.24422455
PRT,100
PRY,98.4
PSE,100
QAT,100
ROU,100
RUS,100
RWA,29.37
SAU,100
SDN,38.52844238
SEN,64.5
SGP,100
SLB,47.91914368
SLE,20.3
SLV,98.61889648
SMR,100
SOM,29.89031792
SRB,100
SSD,8.947628021
STP,65.44048309
SUR,87.17631531
SVK,100
SVN,100
SWE,100
SWZ,65.79020691
SYC,100
SYR,100
TCD,8.830898285
TGO,46.92837524
THA,100
TJK,100
TKM,100
TLS,63.39413834
TON,97.02
TTO,100
TUN,100
TUR,100
TUV,99.42615509
TWN,
TZA,32.8
UGA,26.7
UKR,100
URY,100
USA,100
UZB,100
VCT,100
VEN,99.60383606
VNM,100
VUT,57.82
WSM,100
XKX,100
YEM,71.64234924
ZAF,84.2
ZMB,27.21933746
ZWE,38.14513779
VAT,
