ID,Value
AFG,1.2
AGO,2.7
ALB,0.4
AND,
ARE,0.3
ARG,0.6
ARM,0.6
ATG,0.4
AUS,0.2
AUT,0.2
AZE,0.6
BDI,5.2
BEL,0.2
BEN,3.5
BFA,3
BGD,0.3
BGR,0.6
BHR,0.2
BHS,0.1
BIH,0.5
BLR,2.6
BLZ,0.5
BOL,2
BRA,0.2
BRB,0.2
BRN,0.3
BTN,0.6
BWA,1.1
CAF,3.2
CAN,0.3
CHE,0.1
CHL,0.2
CHN,1.4
CIV,3.9
CMR,3.1
COD,3.2
COG,1.2
COL,0.4
COM,2.4
CPV,0.5
CRI,0.3
CUB,0.3
CYP,0.1
CZE,0.3
DEU,0.2
DJI,2.4
DMA,
DNK,0.1
DOM,0.4
DZA,0.8
ECU,0.6
EGY,0.2
ERI,4.2
ESP,0.2
EST,0.5
ETH,2.9
FIN,0.2
FJI,0.4
FRA,0.5
FSM,1
GAB,0.9
GBR,0.2
GEO,0.8
GHA,1.7
GIN,3
GMB,1.9
GNB,2.2
GNQ,1.9
GRC,0.2
GRD,0.4
GTM,1.1
GUY,0.7
HND,0.4
HRV,0.2
HTI,2.6
HUN,0.3
IDN,0.4
IND,2.4
IRL,0.2
IRN,1.2
IRQ,0.5
ISL,0.2
ISR,0.1
ITA,0.3
JAM,0.2
JOR,0.6
JPN,0.4
KAZ,2.3
KEN,1.8
KGZ,0.6
KHM,0.6
KIR,2.6
KNA,
KOR,0.5
KWT,0.2
LAO,0.9
LBN,0.3
LBR,1.8
LBY,0.6
LCA,0.2
LIE,
LKA,0.4
LSO,3.1
LTU,0.7
LUX,0.1
LVA,0.8
MAR,0.6
MCO,
MDA,1.2
MDG,3.3
MDV,0
MEX,0.4
MHL,
MKD,0.4
MLI,3.3
MLT,0.1
MMR,1.4
MNE,0.5
MNG,1.6
MOZ,2.9
MRT,1.9
MUS,0.1
MWI,2
MYS,0.5
NAM,1.5
NER,4.2
NGA,3
NIC,0.6
NIU,
NLD,0.1
NOR,0.2
NPL,0.4
NRU,
NZL,0.2
OMN,0.4
PAK,2.3
PAN,0.4
PER,0.9
PHL,0.2
PLW,
PNG,1.7
POL,0.2
PRK,1.9
PRT,0.3
PRY,0.3
PSE,
QAT,0.4
ROU,0.4
RUS,1.7
RWA,2.4
SAU,0.7
SDN,3.9
SEN,2.3
SGP,0.1
SLB,0.9
SLE,4.1
SLV,0.2
SMR,
SOM,4.6
SRB,0.3
SSD,4
STP,0.9
SUR,0.4
SVK,0.4
SVN,0.3
SWE,0.4
SWZ,3.3
SYC,0.6
SYR,0.4
TCD,3.6
TGO,2.4
THA,0.4
TJK,1.2
TKM,0.7
TLS,0.4
TON,1.3
TTO,0.2
TUN,0.5
TUR,0.3
TUV,
TWN,
TZA,2.7
UGA,3.2
UKR,2.5
URY,0.4
USA,0.9
UZB,1
VCT,0.2
VEN,0.3
VNM,0.9
VUT,0.9
WSM,0.5
XKX,
YEM,3.8
ZAF,1.2
ZMB,2.9
ZWE,2.2
VAT,
