ID,Value
AFG,32
AGO,48
ALB,77
AND,
ARE,
ARG,
ARM,
ATG,
AUS,
AUT,
AZE,
BDI,
BEL,
BEN,6
BFA,9
BGD,18
BGR,
BHR,89
BHS,
BIH,63
BLR,
BLZ,85
BOL,80
BRA,
BRB,
BRN,
BTN,52
BWA,64
CAF,
CAN,
CHE,
CHL,92
CHN,59
CIV,18
CMR,23
COD,
COG,24
COL,92
COM,9
CPV,71
CRI,93
CUB,79
CYP,
CZE,
DEU,
DJI,12
DMA,91
DNK,
DOM,90
DZA,93
ECU,
EGY,
ERI,16
ESP,
EST,93
ETH,
FIN,
FJI,40
FRA,
FSM,12
GAB,79
GBR,
GEO,78
GHA,22
GIN,
GMB,
GNB,
GNQ,34
GRC,94
GRD,
GTM,45
GUY,74
HND,53
HRV,93
HTI,
HUN,
IDN,58
IND,41
IRL,
IRN,
IRQ,
ISL,
ISR,
ITA,
JAM,91
JOR,
JPN,
KAZ,
KEN,13
KGZ,81
KHM,18
KIR,6
KNA,
KOR,
KWT,
LAO,6
LBN,
LBR,
LBY,
LCA,
LIE,
LKA,26
LSO,36
LTU,
LUX,
LVA,
MAR,
MCO,
MDA,92
MDG,
MDV,94
MEX,85
MHL,65
MKD,66
MLI,
MLT,
MMR,18
MNE,69
MNG,43
MOZ,
MRT,47
MUS,93
MWI,
MYS,
NAM,42
NER,
NGA,
NIC,52
NIU,
NLD,
NOR,
NPL,28
NRU,91
NZL,
OMN,
PAK,43
PAN,89
PER,75
PHL,43
PLW,87
PNG,13
POL,
PRK,11
PRT,
PRY,66
PSE,
QAT,
ROU,86
RUS,
RWA,
SAU,
SDN,
SEN,32
SGP,
SLB,8
SLE,
SLV,86
SMR,
SOM,
SRB,76
SSD,
STP,17
SUR,90
SVK,
SVN,
SWE,
SWZ,50
SYC,90
SYR,
TCD,
TGO,7
THA,74
TJK,80
TKM,
TLS,7
TON,59
TTO,
TUN,
TUR,
TUV,50
TWN,
TZA,
UGA,
UKR,
URY,
USA,
UZB,92
VCT,
VEN,
VNM,67
VUT,13
WSM,32
XKX,
YEM,65
ZAF,85
ZMB,16
ZWE,29
VAT,
