ID,Value
AFG,
AGO,108
ALB,160
AND,
ARE,
ARG,
ARM,
ATG,
AUS,101
AUT,
AZE,
BDI,
BEL,
BEN,
BFA,
BGD,
BGR,9
BHR,
BHS,
BIH,
BLR,
BLZ,
BOL,
BRA,
BRB,67
BRN,
BTN,30
BWA,262
CAF,
CAN,
CHE,
CHL,
CHN,459
CIV,
CMR,
COD,
COG,
COL,393
COM,50
CPV,
CRI,0
CUB,
CYP,79
CZE,
DEU,
DJI,
DMA,
DNK,
DOM,
DZA,
ECU,0
EGY,
ERI,
ESP,
EST,
ETH,
FIN,
FJI,17075
FRA,
FSM,
GAB,
GBR,
GEO,
GHA,20
GIN,
GMB,92
GNB,0
GNQ,
GRC,
GRD,
GTM,58
GUY,
HND,
HRV,
HTI,
HUN,
IDN,4159
IND,
IRL,
IRN,
IRQ,
ISL,
ISR,
ITA,
JAM,
JOR,1
JPN,
KAZ,86
KEN,
KGZ,
KHM,
KIR,
KNA,
KOR,
KWT,
LAO,
LBN,1
LBR,
LBY,
LCA,
LIE,
LKA,488
LSO,
LTU,
LUX,
LVA,
MAR,
MCO,
MDA,
MDG,654
MDV,
MEX,200
MHL,
MKD,
MLI,
MLT,
MMR,
MNE,
MNG,
MOZ,212
MRT,
MUS,
MWI,770
MYS,160
NAM,
NER,21647
NGA,
NIC,
NIU,
NLD,
NOR,
NPL,217
NRU,
NZL,12
OMN,
PAK,3
PAN,39
PER,98
PHL,5222
PLW,
PNG,
POL,
PRK,
PRT,
PRY,1763
PSE,
QAT,
ROU,702
RUS,
RWA,
SAU,
SDN,4918
SEN,
SGP,
SLB,
SLE,
SLV,
SMR,
SOM,44
SRB,
SSD,
STP,
SUR,
SVK,
SVN,100
SWE,
SWZ,
SYC,
SYR,
TCD,
TGO,28
THA,206
TJK,13
TKM,
TLS,
TON,79151
TTO,
TUN,151
TUR,
TUV,
TWN,
TZA,
UGA,118
UKR,9
URY,30
USA,
UZB,
VCT,
VEN,
VNM,
VUT,
WSM,
XKX,
YEM,
ZAF,
ZMB,
ZWE,
VAT,
