ID,Value
AFG,50.5
AGO,46.9
ALB,
AND,
ARE,99.9
ARG,99.6
ARM,99.8
ATG,100
AUS,99.7
AUT,98.5
AZE,99.8
BDI,85.1
BEL,
BEN,77.2
BFA,79.8
BGD,49.8
BGR,99.8
BHR,99.7
BHS,99.6
BIH,99.9
BLR,99.8
BLZ,96.8
BOL,89.8
BRA,99.1
BRB,99
BRN,100
BTN,89
BWA,99.7
CAF,
CAN,97.9
CHE,
CHL,99.7
CHN,99.9
CIV,73.6
CMR,64.7
COD,
COG,91.2
COL,95.9
COM,
CPV,91.4
CRI,90
CUB,99.9
CYP,97.4
CZE,
DEU,98.7
DJI,
DMA,96
DNK,94.4
DOM,99.6
DZA,96.6
ECU,96.7
EGY,91.5
ERI,
ESP,
EST,99.4
ETH,27.7
FIN,99.9
FJI,99.9
FRA,97.4
FSM,
GAB,
GBR,99.7
GEO,99.9
GHA,70.8
GIN,
GMB,
GNB,
GNQ,
GRC,
GRD,99.3
GTM,65.5
GUY,85.7
HND,
HRV,99.9
HTI,41.7
HUN,99.2
IDN,92.6
IND,85.7
IRL,99.7
IRN,99
IRQ,
ISL,97.9
ISR,
ITA,99.9
JAM,
JOR,
JPN,99.9
KAZ,99.4
KEN,61.8
KGZ,
KHM,89
KIR,
KNA,100
KOR,100
KWT,99.9
LAO,
LBN,
LBR,
LBY,
LCA,
LIE,
LKA,
LSO,77.9
LTU,100
LUX,
LVA,99.9
MAR,
MCO,
MDA,99.7
MDG,
MDV,95.6
MEX,97.7
MHL,
MKD,99.9
MLI,43.7
MLT,99.8
MMR,60.2
MNE,
MNG,
MOZ,
MRT,69.3
MUS,99.8
MWI,89.8
MYS,99.4
NAM,
NER,39.7
NGA,43
NIC,
NIU,
NLD,
NOR,99.1
NPL,
NRU,
NZL,96.3
OMN,99.1
PAK,
PAN,94.6
PER,92.4
PHL,
PLW,100
PNG,94.6
POL,99.8
PRK,
PRT,98.8
PRY,95.5
PSE,99.6
QAT,99.9
ROU,95.2
RUS,99.7
RWA,90.7
SAU,
SDN,77.7
SEN,53.1
SGP,99.6
SLB,86.2
SLE,
SLV,99.9
SMR,
SOM,
SRB,99.9
SSD,
STP,92.5
SUR,80
SVK,98.5
SVN,
SWE,
SWZ,
SYC,
SYR,
TCD,20.2
TGO,44.6
THA,99.1
TJK,90.3
TKM,100
TLS,
TON,
TTO,100
TUN,
TUR,97.4
TUV,
TWN,
TZA,63.5
UGA,74.2
UKR,99.9
URY,99.9
USA,99.1
UZB,100
VCT,99
VEN,96.2
VNM,93.8
VUT,
WSM,82.5
XKX,
YEM,
ZAF,96.7
ZMB,63.3
ZWE,78.1
VAT,
