ID,Value
AFG,30.3
AGO,23.9
ALB,5.5
AND,
ARE,2.5
ARG,3.8
ARM,4.3
ATG,
AUS,<2.5 
AUT,<2.5 
AZE,<2.5 
BDI,
BEL,<2.5 
BEN,10.4
BFA,21.3
BGD,15.2
BGR,3
BHR,
BHS,
BIH,<2.5 
BLR,<2.5 
BLZ,6.5
BOL,19.8
BRA,<2.5 
BRB,3.7
BRN,2.6
BTN,
BWA,28.5
CAF,61.8
CAN,<2.5 
CHE,<2.5 
CHL,3.3
CHN,8.8
CIV,20.7
CMR,7.3
COD,
COG,37.5
COL,6.5
COM,
CPV,12.3
CRI,4.4
CUB,<2.5 
CYP,4.6
CZE,<2.5 
DEU,<2.5 
DJI,19.7
DMA,5.2
DNK,<2.5 
DOM,10.4
DZA,4.7
ECU,7.8
EGY,4.8
ERI,
ESP,<2.5 
EST,2.8
ETH,21.4
FIN,<2.5 
FJI,4.4
FRA,<2.5 
FSM,
GAB,9.4
GBR,<2.5 
GEO,7.4
GHA,6.1
GIN,19.7
GMB,9.6
GNB,26
GNQ,
GRC,<2.5 
GRD,
GTM,15.8
GUY,7.5
HND,15.3
HRV,<2.5 
HTI,45.8
HUN,<2.5 
IDN,7.7
IND,14.8
IRL,<2.5 
IRN,4.9
IRQ,27.7
ISL,<2.5 
ISR,<2.5 
ITA,<2.5 
JAM,8.9
JOR,13.5
JPN,<2.5 
KAZ,<2.5 
KEN,24.2
KGZ,6.5
KHM,18.5
KIR,3.1
KNA,
KOR,<2.5 
KWT,<2.5 
LAO,16.6
LBN,10.9
LBR,38.8
LBY,
LCA,
LIE,
LKA,10.9
LSO,12.8
LTU,<2.5 
LUX,<2.5 
LVA,<2.5 
MAR,3.9
MCO,
MDA,
MDG,43.1
MDV,11
MEX,3.8
MHL,
MKD,4.1
MLI,6
MLT,<2.5 
MMR,10.5
MNE,<2.5 
MNG,18.7
MOZ,30.5
MRT,11.3
MUS,5.8
MWI,26.3
MYS,2.9
NAM,25.4
NER,14.4
NGA,11.5
NIC,16.2
NIU,
NLD,<2.5 
NOR,<2.5 
NPL,9.5
NRU,
NZL,<2.5 
OMN,5.4
PAK,20.5
PAN,9.2
PER,8.8
PHL,13.7
PLW,
PNG,
POL,<2.5 
PRK,43.4
PRT,<2.5 
PRY,11.2
PSE,
QAT,
ROU,<2.5 
RUS,<2.5 
RWA,36.1
SAU,5.5
SDN,25.2
SEN,11.3
SGP,
SLB,12.3
SLE,25.5
SLV,10.3
SMR,
SOM,
SRB,5.6
SSD,
STP,10.2
SUR,7.6
SVK,2.7
SVN,<2.5 
SWE,<2.5 
SWZ,20.7
SYC,
SYR,
TCD,39.7
TGO,16.2
THA,9
TJK,
TKM,5.5
TLS,27.2
TON,
TTO,4.9
TUN,4.9
TUR,<2.5 
TUV,
TWN,3.4
TZA,32
UGA,41.4
UKR,3.3
URY,<2.5 
USA,<2.5 
UZB,7.4
VCT,5.7
VEN,11.7
VNM,10.8
VUT,7.1
WSM,3.1
XKX,
YEM,34.4
ZAF,6.1
ZMB,44.5
ZWE,46.6
VAT,
