ID,Value
AFG,
AGO,
ALB,
AND,
ARE,0.89504
ARG,0.62262
ARM,0.25002
ATG,
AUS,1.91943
AUT,3.04979
AZE,0.22232
BDI,
BEL,2.46123
BEN,
BFA,
BGD,
BGR,0.96015
BHR,
BHS,
BIH,0.2186
BLR,0.49999
BLZ,
BOL,
BRA,1.34264
BRB,
BRN,
BTN,
BWA,
CAF,
CAN,1.69718
CHE,3.3716
CHL,0.38073
CHN,2.0656
CIV,
CMR,
COD,0.40638
COG,
COL,0.28975
COM,
CPV,
CRI,0.44993
CUB,0.42854
CYP,0.48059
CZE,1.92923
DEU,2.91197
DJI,
DMA,
DNK,3.05497
DOM,
DZA,
ECU,
EGY,0.71858
ERI,
ESP,1.21832
EST,1.46604
ETH,
FIN,2.89157
FJI,
FRA,2.26703
FSM,
GAB,
GBR,1.66818
GEO,0.31982
GHA,
GIN,
GMB,
GNB,
GNQ,
GRC,0.96121
GRD,
GTM,0.02988
GUY,
HND,0.01497
HRV,0.84027
HTI,
HUN,1.36245
IDN,
IND,0.61957
IRL,1.19201
IRN,0.41763
IRQ,0.03775
ISL,2.12004
ISR,4.25563
ITA,1.34115
JAM,
JOR,
JPN,3.28165
KAZ,0.16951
KEN,
KGZ,0.11903
KHM,0.11823
KIR,
KNA,
KOR,4.21702
KWT,0.0966
LAO,
LBN,
LBR,
LBY,
LCA,
LIE,
LKA,0.10871
LSO,0.04795
LTU,1.04095
LUX,1.28405
LVA,0.62623
MAR,
MCO,
MDA,0.30943
MDG,
MDV,
MEX,0.52377
MHL,
MKD,0.44412
MLI,0.31462
MLT,0.74085
MMR,
MNE,0.374
MNG,0.15468
MOZ,0.33751
MRT,
MUS,
MWI,
MYS,1.2998
NAM,
NER,
NGA,
NIC,0.10742
NIU,
NLD,1.98487
NOR,1.93095
NPL,
NRU,
NZL,1.23292
OMN,0.24972
PAK,0.24605
PAN,0.12033
PER,0.11705
PHL,0.16415
PLW,
PNG,
POL,1.00325
PRK,
PRT,1.24263
PRY,0.09687
PSE,
QAT,0.51883
ROU,0.48793
RUS,1.10076
RWA,
SAU,
SDN,
SEN,0.5772
SGP,2.256
SLB,
SLE,
SLV,0.14348
SMR,
SOM,
SRB,0.81146
SSD,
STP,
SUR,
SVK,1.17171
SVN,2.19504
SWE,3.26418
SWZ,0.27013
SYC,
SYR,0.02053
TCD,
TGO,
THA,0.61609
TJK,0.10888
TKM,
TLS,
TON,
TTO,0.08602
TUN,0.62967
TUR,0.8815
TUV,
TWN,
TZA,
UGA,
UKR,0.61477
URY,0.36446
USA,2.71744
UZB,0.17373
VCT,
VEN,
VNM,0.44113
VUT,
WSM,
XKX,
YEM,
ZAF,0.79846
ZMB,
ZWE,
VAT,
