ID,Value
AFG,13.5
AGO,14.33907936
ALB,71.8470405
AND,91.56746703
ARE,94.81992254
ARG,74.29490687
ARM,64.74488433
ATG,76
AUS,86.54504885
AUT,87.93558659
AZE,79
BDI,2.660748535
BEL,87.67968082
BEN,20
BFA,16
BGD,15
BGR,63.41010138
BHR,95.87813575
BHS,85
BIH,64.89197728
BLR,74.43644541
BLZ,47.0826258
BOL,43.83227607
BRA,67.47128452
BRB,81.76077839
BRN,94.86669164
BTN,48.10641588
BWA,47
CAF,4.339254945
CAN,91
CHE,89.68614767
CHL,82.32748693
CHN,54.3
CIV,43.83992085
CMR,23.20297197
COD,8.619904916
COG,8.65
COL,62.25988032
COM,8.478170295
CPV,57.16214635
CRI,71.3907709
CUB,57.14840432
CYP,80.74318897
CZE,78.71916143
DEU,84.39550077
DJI,55.68140925
DMA,69.61966879
DNK,97.09936216
DOM,67.57123468
DZA,47.69105515
ECU,57.27224368
EGY,44.95020425
ERI,1.30890698
ESP,84.6022428
EST,88.10245687
ETH,18.61805145
FIN,87.46892907
FJI,49.96637301
FRA,80.50245972
FSM,35.30405287
GAB,62
GBR,94.62
GEO,59.7055046
GHA,39
GIN,18
GMB,19.83645444
GNB,3.930509152
GNQ,26.23999996
GRC,70.54943345
GRD,59.07173536
GTM,65
GUY,37.32583679
HND,31.7
HRV,67.09619204
HTI,12.32610358
HUN,76.75054712
IDN,32.2924419
IND,34.45
IRL,84.11400706
IRN,64.04397362
IRQ,49.35999889
ISL,98.26
ISR,81.58118359
ITA,63.077347
JAM,55.07206705
JOR,66.79031443
JPN,84.58806583
KAZ,76.42674823
KEN,17.82710021
KGZ,38
KHM,32.44694856
KIR,14.58181818
KNA,80.71019081
KOR,95.06942188
KWT,100
LAO,25.51043508
LBN,78.18077489
LBR,7.984479722
LBY,21.75892062
LCA,50.81524478
LIE,98.1
LKA,34.1133479
LSO,29
LTU,77.61525651
LUX,97.36296032
LVA,80.114077
MAR,61.76221201
MCO,97.05297684
MDA,76.12451989
MDG,9.8
MDV,63.18566588
MEX,63.85224909
MHL,38.70116262
MKD,74.51682418
MLI,13
MLT,81.01191108
MMR,30.67818311
MNE,71.27233254
MNG,23.71426517
MOZ,10
MRT,20.80096366
MUS,55.4032403
MWI,13.78216439
MYS,80.14047901
NAM,51
NER,10.22431156
NGA,42
NIC,27.86304001
NIU,
NLD,93.19727891
NOR,96.3576013
NPL,34
NRU,57
NZL,90.81109307
OMN,80.18563573
PAK,15.51
PAN,57.86509007
PER,48.72763146
PHL,60.05476033
PLW,
PNG,11.20919659
POL,75.98536595
PRK,
PRT,73.79121395
PRY,61.07575622
PSE,65.2
QAT,97.38884917
ROU,63.74728218
RUS,76.00813853
RWA,21.76763262
SAU,82.12000121
SDN,30.87029573
SEN,46
SGP,84.44953878
SLB,11.92422906
SLE,9
SLV,33.8207289
SMR,60.18230126
SOM,2.004048698
SRB,70.33083553
SSD,7.977428907
STP,29.9312292
SUR,48.94517397
SVK,81.62566752
SVN,78.88542636
SWE,95.51006745
SWZ,47
SYC,58.76981124
SYR,34.25340193
TCD,6.49999812
TGO,12.36022497
THA,52.89192934
TJK,21.96
TKM,21.25099741
TLS,27.49273173
TON,41.24872764
TTO,77.32605293
TUN,64.19081023
TUR,64.68461768
TUV,49.31833862
TWN,
TZA,25
UGA,23.70653091
UKR,58.88947945
URY,68.27966256
USA,87.26611282
UZB,52.30510079
VCT,22.00427798
VEN,72
VNM,58.14
VUT,25.71978784
WSM,33.61093932
XKX,83.89359681
YEM,26.71835477
ZAF,56.16739447
ZMB,27.8525791
ZWE,27.05548769
VAT,
